energy_ev,total_up,Pd_p_up,Pd_d_up,Sn_p_up,Sn_d_up,Te_p_up,Te_d_up
1.38369185,1.03696288,1.58089876,0.15672508,0.24599553,0.00382621,0.51857416,0.00000000
1.38969485,0.99287118,1.53132468,0.14853307,0.23691340,0.00367207,0.50288450,0.00000000
1.39569785,0.94929096,1.48282770,0.14037436,0.22797431,0.00351435,0.48800925,0.00000000
1.40170085,0.90734723,1.43711400,0.13242079,0.21942582,0.00335764,0.47449514,0.00000000
1.40770385,0.86811840,1.39582096,0.12483792,0.21149958,0.00320654,0.46285585,0.00000000
1.41370685,0.83260888,1.36047206,0.11778113,0.20440482,0.00306557,0.45355752,0.00000000
1.41970985,0.80172546,1.33243720,0.11139228,0.19832287,0.00293903,0.44700623,0.00000000
1.42571286,0.77625796,1.31289946,0.10579700,0.19340290,0.00283095,0.44353788,0.00000000
1.43171586,0.75686464,1.30282937,0.10110268,0.18975896,0.00274496,0.44341062,0.00000000
1.43771886,0.74406240,1.30296697,0.09739712,0.18746832,0.00268426,0.44680005,0.00000000
1.44372186,0.73822184,1.31381221,0.09474783,0.18657130,0.00265152,0.45379723,0.00000000
1.44972486,0.73956685,1.33562329,0.09320197,0.18707226,0.00264888,0.46440937,0.00000000
1.45572786,0.74817858,1.36842285,0.09278684,0.18894192,0.00267789,0.47856306,0.00000000
1.46173087,0.76400305,1.41201125,0.09351081,0.19212070,0.00273952,0.49610991,0.00000000
1.46773387,0.78686216,1.46598609,0.09536475,0.19652296,0.00283417,0.51683414,0.00000000
1.47373687,0.81646732,1.52976717,0.09832368,0.20204192,0.00296165,0.54046195,0.00000000
1.47973987,0.85243517,1.60262558,0.10234879,0.20855516,0.00312124,0.56667218,0.00000000
1.48574287,0.89430477,1.68371589,0.10738956,0.21593026,0.00331172,0.59510783,0.00000000
1.49174587,0.94155557,1.77211011,0.11338606,0.22403054,0.00353139,0.62538823,0.00000000
