energy_ev,total_up,Ca_p_up,Ca_d_up,N_s_up,N_p_up,Os_p_up,Os_d_up,S_s_up,S_p_up
-6.00000000,3.91782203,0.01698425,0.00000000,0.06246414,0.17712836,0.90597299,1.43234339,0.02225122,2.28745330
-5.99399700,3.80186699,0.01638028,0.00000000,0.06082526,0.17746094,0.87215901,1.39482169,0.02193770,2.20875495
-5.98799400,3.67685929,0.01574199,0.00000000,0.05900992,0.17774927,0.83651511,1.35394100,0.02154519,2.12451622
-5.98199100,3.54456041,0.01507802,0.00000000,0.05703554,0.17802720,0.79949917,1.31033731,0.02107920,2.03586973
-5.97598799,3.40677056,0.01439702,0.00000000,0.05492057,0.17832629,0.76157982,1.26465840,0.02054609,1.94397112
-5.96998499,3.26527452,0.01370745,0.00000000,0.05268412,0.17867442,0.72322104,1.21754410,0.01995285,1.84996486
-5.96398199,3.12179128,0.01301727,0.00000000,0.05034565,0.17909428,0.68486789,1.16960804,0.01930690,1.75495284
-5.95797899,2.97792946,0.01233379,0.00000000,0.04792476,0.17960202,0.64693393,1.12142126,0.01861589,1.65996684
-5.95197599,2.83514984,0.01166345,0.00000000,0.04544093,0.18020591,0.60979086,1.07349841,0.01788754,1.56594583
-5.94597299,2.69473621,0.01101176,0.00000000,0.04291335,0.18090528,0.57376070,1.02628697,0.01712950,1.47371854
-5.93996998,2.55777506,0.01038318,0.00000000,0.04036080,0.18168979,0.53911067,0.98015961,0.01634917,1.38399176
-5.93396698,2.42514439,0.00978115,0.00000000,0.03780150,0.18253895,0.50605080,0.93541007,0.01555363,1.29734418
-5.92796398,2.29751138,0.00920808,0.00000000,0.03525299,0.18342230,0.47473421,0.89225227,0.01474957,1.21422562
-5.92196098,2.17533843,0.00866542,0.00000000,0.03273203,0.18429991,0.44525987,0.85082272,0.01394320,1.13496115
-5.91595798,2.05889667,0.00815376,0.00000000,0.03025449,0.18512357,0.41767740,0.81118574,0.01314022,1.05975943
-5.90995498,1.94828587,0.00767297,0.00000000,0.02783518,0.18583844,0.39199367,0.77334128,0.01234580,0.98872448
-5.90395198,1.84345931,0.00722229,0.00000000,0.02548781,0.18638528,0.36818068,0.73723473,0.01156460,0.92187013
-5.89794897,1.74425245,0.00680054,0.00000000,0.02322479,0.18670315,0.34618421,0.70276821,0.01080073,0.85913613
-5.89194597,1.65041364,0.00640625,0.00000000,0.02105716,0.18673241,0.32593287,0.66981286,0.01005785,0.80040515
-5.88594297,1.56163564,0.00603779,0.00000000,0.01899447,0.18641807,0.30734697,0.63822135,0.00933910,0.74551985
-5.87993997,1.47758649,0.00569354,0.00000000,0.01704468,0.18571318,0.29034689,0.60784029,0.00864724,0.69429924
-5.87393697,1.39793845,0.00537202,0.00000000,0.01521411,0.18458222,0.27486053,0.57852183,0.00798462,0.64655377
-5.86793397,1.32239397,0.00507195,0.00000000,0.01350739,0.18300427,0.26082958,0.55013409,0.00735324,0.60209860
-5.86193097,1.25070789,0.00479239,0.00000000,0.01192750,0.18097582,0.24821439,0.52257004,0.00675482,0.56076470
-5.85592796,1.18270500,0.00453275,0.00000000,0.01047580,0.17851312,0.23699717,0.49575452,0.00619083,0.52240754
-5.84992496,1.11829285,0.00429289,0.00000000,0.00915209,0.17565381,0.22718376,0.46964928,0.00566251,0.48691331
-5.84392196,1.05746931,0.00407304,0.00000000,0.00795478,0.17245798,0.21880357,0.44425590,0.00517096,0.45420260
-5.83791896,1.00032531,0.00387388,0.00000000,0.00688102,0.16900833,0.21190822,0.41961664,0.00471714,0.42423168
-5.83191596,0.94704260,0.00369644,0.00000000,0.00592688,0.16540958,0.20656861,0.39581339,0.00430191,0.39699168
-5.82591296,0.89788737,0.00354210,0.00000000,0.00508757,0.16178706,0.20287101,0.37296482,0.00392606,0.37250589
-5.81990995,0.85320002,0.00341250,0.00000000,0.00435767,0.15828460,0.20091204,0.35122204,0.00359037,0.35082540
-5.81390695,0.81338190,0.00330946,0.00000000,0.00373131,0.15506168,0.20079321,0.33076303,0.00329556,0.33202370
-5.80790395,0.77887974,0.00323493,0.00000000,0.00320242,0.15228999,0.20261489,0.31178621,0.00304239,0.31619032
-5.80190095,0.75016846,0.00319088,0.00000000,0.00276496,0.15014956,0.20647034,0.29450339,0.00283159,0.30342409
-5.79589795,0.72773321,0.00317920,0.00000000,0.00241306,0.14882449,0.21243990,0.27913243,0.00266392,0.29382622
-5.78989495,0.71205123,0.00320168,0.00000000,0.00214121,0.14849847,0.22058562,0.26588997,0.00254016,0.28749356
-5.78389195,0.70357415,0.00325985,0.00000000,0.00194442,0.14935016,0.23094660,0.25498432,0.00246108,0.28451221
-5.77788894,0.70271135,0.00335497,0.00000000,0.00181830,0.15154867,0.24353515,0.24660884,0.00242746,0.28495184
-5.77188594,0.70981460,0.00348795,0.00000000,0.00175919,0.15524905,0.25833393,0.24093586,0.00244005,0.28886063
-5.76588294,0.72516446,0.00365929,0.00000000,0.00176414,0.16058809,0.27529424,0.23811139,0.00249955,0.29626108
-5.75987994,0.74895860,0.00386904,0.00000000,0.00183101,0.16768038,0.29433531,0.23825046,0.00260658,0.30714670
-5.75387694,0.78130204,0.00411679,0.00000000,0.00195842,0.17661475,0.31534468,0.24143336,0.00276166,0.32147951
-5.74787394,0.82219956,0.00440160,0.00000000,0.00214574,0.18745124,0.33817959,0.24770261,0.00296512,0.33918837
-5.74187094,0.87155004,0.00472206,0.00000000,0.00239302,0.20021841,0.36266923,0.25706079,0.00321710,0.36016803
-5.73586793,0.92914285,0.00507622,0.00000000,0.00270091,0.21491135,0.38861762,0.26946902,0.00351747,0.38427879
-5.72986493,0.99465612,0.00546164,0.00000000,0.00307058,0.23149020,0.41580712,0.28484630,0.00386574,0.41134681
-5.72386193,1.06765677,0.00587539,0.00000000,0.00350359,0.24987932,0.44400217,0.30306947,0.00426105,0.44116477
-5.71785893,1.14760236,0.00631407,0.00000000,0.00400174,0.26996712,0.47295320,0.32397387,0.00470208,0.47349296
-5.71185593,1.23384444,0.00677385,0.00000000,0.00456692,0.29160652,0.50240044,0.34735477,0.00518696,0.50806068
-5.70585293,1.32563365,0.00725050,0.00000000,0.00520096,0.31461623,0.53207756,0.37296929,0.00571326,0.54456786
-5.69984992,1.42212625,0.00773941,0.00000000,0.00590542,0.33878262,0.56171493,0.40053912,0.00627789,0.58268700
-5.69384692,1.52239216,0.00823568,0.00000000,0.00668138,0.36386238,0.59104242,0.42975381,0.00687708,0.62206523
-5.68784392,1.62542454,0.00873414,0.00000000,0.00752929,0.38958585,0.61979187,0.46027464,0.00750634,0.66232676
-5.68184092,1.73015078,0.00922941,0.00000000,0.00844871,0.41566103,0.64769897,0.49173914,0.00816046,0.70307554
-5.67583792,1.83544488,0.00971600,0.00000000,0.00943811,0.44177819,0.67450488,0.52376606,0.00883348,0.74389835
-5.66983492,1.94014120,0.01018832,0.00000000,0.01049472,0.46761502,0.69995750,0.55596092,0.00951876,0.78436823
-5.66383192,2.04304941,0.01064079,0.00000000,0.01161429,0.49284224,0.72381268,0.58792176,0.01020901,0.82404847
-5.65782891,2.14297061,0.01106792,0.00000000,0.01279097,0.51712958,0.74583534,0.61924537,0.01089635,0.86249707
