energy_ev,total_up,total_down,C_s_up,C_s_down,C_p_up,C_p_down,Cr_p_up,Cr_p_down,Cr_d_up,Cr_d_down,Te_p_up,Te_p_down,Te_d_up,Te_d_down,V_p_up,V_p_down,V_d_up,V_d_down
-6.00000000,4.42404948,-4.29714777,0.06510347,-0.03253371,0.64709370,-0.76877718,2.64395303,-4.14648947,0.84686666,-0.46208180,1.93484764,-1.85614887,0.00000000,-0.00000000,0.68250560,-0.70524548,0.40458989,-0.31260729
-5.99399700,4.42054241,-4.35176755,0.06528786,-0.03355136,0.63408773,-0.77456064,2.63848248,-4.19172332,0.83080662,-0.46849371,1.95788189,-1.88543719,0.00000000,-0.00000000,0.70044956,-0.71381816,0.40734341,-0.31977841
-5.98799400,4.41470286,-4.40169822,0.06527070,-0.03449442,0.62080318,-0.77858183,2.64279285,-4.22634910,0.81268581,-0.47418194,1.98024111,-1.91429022,0.00000000,-0.00000000,0.71992867,-0.72233408,0.40910591,-0.32670145
-5.98199100,4.40678224,-4.44621955,0.06506832,-0.03537002,0.60747611,-0.78070627,2.65707166,-4.24964216,0.79284047,-0.47903727,2.00169063,-1.94241003,0.00000000,-0.00000000,0.74081635,-0.73062304,0.40983626,-0.33337817
-5.97598799,4.39724847,-4.48477550,0.06470204,-0.03618873,0.59437706,-0.78083901,2.68150265,-4.26105716,0.77167096,-0.48297754,2.02208074,-1.96955154,0.00000000,-0.00000000,0.76298492,-0.73854887,0.40952320,-0.33981896
-5.96998499,4.38675895,-4.51700956,0.06419749,-0.03696428,0.58180161,-0.77893285,2.71624177,-4.26026575,0.74963052,-0.48595345,2.04134393,-1.99553479,0.00000000,-0.00000000,0.78630395,-0.74601584,0.40818465,-0.34604304
-5.96398199,4.37612150,-4.54279089,0.06358377,-0.03771327,0.57005912,-0.77499501,2.76138604,-4.24718794,0.72721183,-0.48795314,2.05948681,-2.02025312,0.00000000,-0.00000000,0.81063727,-0.75297277,0.40586577,-0.35207830
-5.95797899,4.36624579,-4.56222994,0.06289252,-0.03845469,0.55946039,-0.76909165,2.81693739,-4.22201561,0.70493208,-0.48900525,2.07657741,-2.04367722,0.00000000,-0.00000000,0.83583905,-0.75941476,0.40263594,-0.35796048
-5.95197599,4.35808810,-4.57568283,0.06215698,-0.03920938,0.55030469,-0.76135023,2.88276400,-4.18522671,0.68331714,-0.48918023,2.09272898,-2.06585482,0.00000000,-0.00000000,0.86174939,-0.76538267,0.39858483,-0.36373187
-5.94597299,4.35259290,-4.58374433,0.06141102,-0.03999939,0.54286684,-0.75195936,2.95856196,-4.13758941,0.66288554,-0.48858981,2.10808141,-2.08690618,0.00000000,-0.00000000,0.88818981,-0.77096030,0.39381778,-0.36943943
-5.93996998,4.35063473,-4.58722983,0.06068824,-0.04084734,0.53738513,-0.74116608,3.04382040,-4.08015569,0.64413290,-0.48738474,2.12278175,-2.10701584,0.00000000,-0.00000000,0.91495931,-0.77626963,0.38845085,-0.37513257
-5.93396698,4.35296375,-4.58714712,0.06002106,-0.04177566,0.53405047,-0.72927075,3.13779279,-4.01424466,0.62751745,-0.48575067,2.13696515,-2.12642109,0.00000000,-0.00000000,0.94183140,-0.78146438,0.38260577,-0.38086052
-5.92796398,4.36015828,-4.58465954,0.05943995,-0.04280592,0.53299742,-0.71661958,3.23947726,-3.94141604,0.61344715,-0.48390242,2.15073759,-2.14539782,0.00000000,-0.00000000,0.96855260,-0.78672225,0.37640499,-0.38666957
-5.92196098,4.37258691,-4.58104197,0.05897275,-0.04395805,0.53429750,-0.70359520,3.34760809,-3.86343502,0.60226880,-0.48207680,2.16416157,-2.16424471,0.00000000,-0.00000000,0.99484278,-0.79223624,0.36996727,-0.39260020
-5.91595798,4.39038239,-4.57763191,0.05864407,-0.04524969,0.53795509,-0.69060550,3.46066016,-3.78222976,0.59425956,-0.48052424,2.17724580,-2.18326642,0.00000000,-0.00000000,1.02039759,-0.79820541,0.36340379,-0.39868434
-5.90995498,4.41342867,-4.57577759,0.05847489,-0.04669551,0.54390614,-0.67807128,3.57686712,-3.69984342,0.58962095,-0.47949951,2.18993946,-2.20275673,0.00000000,-0.00000000,1.04489302,-0.80482560,0.35681511,-0.40494288
-5.90395198,4.44136161,-4.57678556,0.05848217,-0.04830659,0.55201962,-0.66641313,3.69425362,-3.61838234,0.58847557,-0.47925199,2.20213140,-2.22298235,0.00000000,-0.00000000,1.06799221,-0.81228028,0.35028894,-0.41138348
-5.89794897,4.47358323,-4.58186971,0.05867865,-0.05008992,0.56210180,-0.65603813,3.81068081,-3.53996249,0.59086645,-0.48001563,2.21365431,-2.24416823,0.00000000,-0.00000000,1.08935404,-0.82073217,0.34389885,-0.41799897
-5.89194597,4.50928839,-4.59210392,0.05907274,-0.05204791,0.57390304,-0.64732667,3.92390363,-3.46665602,0.59675888,-0.48199925,2.22429341,-2.26648482,0.00000000,-0.00000000,1.10864348,-0.83031559,0.33770378,-0.42476629
-5.88594297,4.54750226,-4.60837991,0.05966849,-0.05417796,0.58712670,-0.64062018,4.03163771,-3.40043963,0.60604461,-0.48537732,2.23379904,-2.29003793,0.00000000,-0.00000000,1.12554288,-0.84113008,0.33174841,-0.43164601
-5.87993997,4.58712614,-4.63137202,0.06046563,-0.05647228,0.60144000,-0.63620993,4.13163282,-3.34314629,0.61854814,-0.49028180,2.24190218,-2.31486131,0.00000000,-0.00000000,1.13976395,-0.85323525,0.32606405,-0.43858266
-5.87393697,4.62698907,-4.66150982,0.06145973,-0.05891761,0.61648598,-0.63432748,4.22174960,-3.29642157,0.63403462,-0.49679517,2.24833179,-2.34091234,0.00000000,-0.00000000,1.15105951,-0.86664713,0.32067003,-0.44550556
-5.86793397,4.66590203,-4.69895945,0.06264239,-0.06149524,0.63189634,-0.63513692,4.30003589,-3.26168563,0.65221928,-0.50494506,2.25283263,-2.36807068,0.00000000,-0.00000000,1.15923452,-0.88133600,0.31557542,-0.45233047
-5.86193097,4.70271183,-4.74361411,0.06400144,-0.06418108,0.64730442,-0.63872933,4.36479869,-3.24010130,0.67277770,-0.51470070,2.25518249,-2.39613988,0.00000000,-0.00000000,1.16415570,-0.89722575,0.31078079,-0.45896162
