energy_ev,total_up,C_s_up,C_p_up,Fe_p_up,Fe_d_up,Hf_p_up,Hf_d_up,S_s_up,S_p_up
-6.00000000,4.33418362,0.03366820,0.27917667,1.00213518,0.51921358,1.25114340,0.36053840,0.03847467,2.24113853
-5.99399700,4.39514963,0.03550817,0.28114402,1.00607101,0.53198668,1.27744752,0.36255888,0.04020264,2.27395628
-5.98799400,4.44615545,0.03722690,0.28294729,1.00788741,0.54312500,1.29983034,0.36431743,0.04183624,2.30093301
-5.98199100,4.48603784,0.03879872,0.28453595,1.00751185,0.55239860,1.31790414,0.36575464,0.04334070,2.32146077
-5.97598799,4.51383560,0.04019965,0.28586203,1.00492509,0.55960739,1.33135553,0.36681449,0.04468401,2.33505200
-5.96998499,4.52883151,0.04140811,0.28688185,1.00016876,0.56458762,1.33995570,0.36744725,0.04583783,2.34136274
-5.96398199,4.53058458,0.04240548,0.28755746,0.99334986,0.56721726,1.34356756,0.36761205,0.04677830,2.34021049
-5.95797899,4.51895149,0.04317668,0.28785762,0.98464188,0.56742019,1.34214954,0.36727878,0.04748678,2.33158582
-5.95197599,4.49409634,0.04371063,0.28775841,0.97428235,0.56516907,1.33575590,0.36642938,0.04795051,2.31565738
-5.94597299,4.45648891,0.04400062,0.28724342,0.96256714,0.56048669,1.32453395,0.36505857,0.04816321,2.29277035
-5.93996998,4.40689212,0.04404454,0.28630363,0.94984158,0.55344614,1.30871829,0.36317391,0.04812542,2.26343857
-5.93396698,4.34633991,0.04384507,0.28493695,0.93648907,0.54416959,1.28862270,0.36079533,0.04784486,2.22833122
-5.92796398,4.27610736,0.04340966,0.28314766,0.92291793,0.53282591,1.26463014,0.35795429,0.04733646,2.18825488
-5.92196098,4.19767496,0.04275046,0.28094570,0.90954698,0.51962738,1.23718160,0.35469259,0.04662241,2.14413206
-5.91595798,4.11268927,0.04188411,0.27834592,0.89679096,0.50482555,1.20676428,0.35106100,0.04573191,2.09697759
-5.90995498,4.02292217,0.04083139,0.27536750,0.88504644,0.48870652,1.17389969,0.34711788,0.04470088,2.04787391
-5.90395198,3.93023033,0.03961688,0.27203343,0.87467893,0.47158575,1.13913229,0.34292772,0.04357142,1.99794644
-5.89794897,3.83651684,0.03826846,0.26837016,0.86601193,0.45380262,1.10301878,0.33855996,0.04239129,1.94834006
-5.89194597,3.74369597,0.03681676,0.26440747,0.85931829,0.43571486,1.06611855,0.33408782,0.04121317,1.90019720
-5.88594297,3.65366184,0.03529462,0.26017851,0.85481420,0.41769288,1.02898519,0.32958738,0.04009381,1.85463839
-5.87993997,3.56826131,0.03373650,0.25571988,0.85265591,0.40011417,0.99215921,0.32513682,0.03909324,1.81274506
-5.87393697,3.48927075,0.03217786,0.25107193,0.85293913,0.38335775,0.95616176,0.32081572,0.03827372,1.77554485
-5.86793397,3.41837625,0.03065459,0.24627895,0.85570074,0.36779856,0.92148914,0.31670446,0.03769873,1.74399906
-5.86193097,3.35715637,0.02920245,0.24138931,0.86092249,0.35380207,0.88860799,0.31288356,0.03743192,1.71899176
-5.85592796,3.30706629,0.02785652,0.23645551,0.86853615,0.34171880,0.85795075,0.30943289,0.03753590,1.70132012
-5.84992496,3.26942261,0.02665071,0.23153395,0.87842956,0.33187891,0.82991123,0.30643069,0.03807111,1.69168532
-5.84392196,3.24538750,0.02561732,0.22668444,0.89045288,0.32458681,0.80484016,0.30395240,0.03909457,1.69068355
-5.83791896,3.23595182,0.02478663,0.22196946,0.90442473,0.32011581,0.78304050,0.30206911,0.04065860,1.69879675
-5.83191596,3.24191658,0.02418649,0.21745302,0.92013750,0.31870294,0.76476250,0.30084579,0.04280957,1.71638279
-5.82591296,3.26387293,0.02384206,0.21319927,0.93736168,0.32054384,0.75019874,0.30033923,0.04558661,1.74366509
-5.81990995,3.30218093,0.02377550,0.20927085,0.95584901,0.32578809,0.73947908,0.30059578,0.04902039,1.78072200
