energy_ev,total_up,Ir_p_up,Ir_d_up,N_s_up,N_p_up,Te_p_up,Te_d_up
-6.00000000,4.48200475,1.19536345,1.57213149,0.04037049,0.61409472,1.95981607,0.00000000
-5.99399700,4.24343984,1.12445493,1.50615491,0.03782636,0.57441553,1.84567009,0.00000000
-5.98799400,4.00498953,1.05412684,1.44102632,0.03521923,0.53412227,1.73095387,0.00000000
-5.98199100,3.77016244,0.98535216,1.37790184,0.03258693,0.49371358,1.61725724,0.00000000
-5.97598799,3.54221897,0.91902436,1.31785731,0.02996513,0.45366721,1.50605007,0.00000000
-5.96998499,3.32409828,0.85593774,1.26186345,0.02738666,0.41442774,1.39865115,0.00000000
-5.96398199,3.11836455,0.79677345,1.21076781,0.02488096,0.37639676,1.29620530,0.00000000
-5.95797899,2.92717310,0.74209127,1.16528388,0.02247368,0.33992563,1.19966901,0.00000000
-5.95197599,2.75225603,0.69232677,1.12598716,0.02018646,0.30531079,1.10980444,0.00000000
-5.94597299,2.59492617,0.64779363,1.09331782,0.01803685,0.27279156,1.02718118,0.00000000
-5.93996998,2.45609704,0.60869023,1.06758899,0.01603830,0.24255029,0.95218500,0.00000000
-5.93396698,2.33631617,0.57510983,1.04899968,0.01420037,0.21471451,0.88503240,0.00000000
-5.92796398,2.23580848,0.54705325,1.03765094,0.01252894,0.18936066,0.82578965,0.00000000
-5.92196098,2.15452601,0.52444319,1.03356385,0.01102657,0.16651919,0.77439495,0.00000000
-5.91595798,2.09220068,0.50713915,1.03669781,0.00969283,0.14618053,0.73068220,0.00000000
-5.90995498,2.04839624,0.49495202,1.04696777,0.00852476,0.12830153,0.69440512,0.00000000
-5.90395198,2.02255638,0.48765757,1.06425900,0.00751723,0.11281203,0.66526020,0.00000000
-5.89794897,2.01404631,0.48500817,1.08843835,0.00666338,0.09962128,0.64290765,0.00000000
-5.89194597,2.02218553,0.48674217,1.11936117,0.00595500,0.08862386,0.62698926,0.00000000
-5.88594297,2.04627047,0.49259078,1.15687341,0.00538288,0.07970489,0.61714252,0.00000000
-5.87993997,2.08558630,0.50228214,1.20080877,0.00493711,0.07274442,0.61301082,0.00000000
-5.87393697,2.13940806,0.51554286,1.25098112,0.00460738,0.06762090,0.61424933,0.00000000
