energy_ev,total_up,Cu_p_up,Cu_d_up,N_s_up,N_p_up,Ru_p_up,Ru_d_up,Te_p_up,Te_d_up
-6.00000000,6.05345052,1.32862532,4.40279891,0.00168216,0.58166861,1.32989195,0.63129821,0.65681391,0.00000000
-5.99399700,5.98749432,1.34386353,4.40339445,0.00161161,0.55158368,1.27602523,0.60879965,0.64330594,0.00000000
-5.98799400,5.92532153,1.36413337,4.40766482,0.00153770,0.52070592,1.22060587,0.58658265,0.62956655,0.00000000
-5.98199100,5.86862531,1.38994852,4.41608515,0.00146179,0.48951212,1.16459939,0.56501574,0.61579285,0.00000000
-5.97598799,5.81888637,1.42170414,4.42900136,0.00138519,0.45845617,1.10892424,0.54443874,0.60217328,0.00000000
-5.96998499,5.77732178,1.45965557,4.44661034,0.00130913,0.42795777,1.05442710,0.52515346,0.58888234,0.00000000
-5.96398199,5.74484156,1.50389971,4.46894322,0.00123475,0.39839278,1.00186168,0.50741598,0.57607573,0.00000000
-5.95797899,5.72201470,1.55436013,4.49585300,0.00116308,0.37008577,0.95187157,0.49143059,0.56388602,0.00000000
-5.95197599,5.70904641,1.61077673,4.52700741,0.00109500,0.34330455,0.90497752,0.47734575,0.55241906,0.00000000
-5.94597299,5.70576766,1.67270077,4.56188777,0.00103122,0.31825708,0.86156965,0.46525203,0.54175122,0.00000000
-5.93996998,5.71163791,1.73949613,4.59979452,0.00097232,0.29509049,0.82190433,0.45518206,0.53192768,0.00000000
-5.93396698,5.72576135,1.81034700,4.63985982,0.00091869,0.27389221,0.78610585,0.44711259,0.52296174,0.00000000
-5.92796398,5.74691641,1.88427253,4.68106732,0.00087059,0.25469294,0.75417248,0.44096835,0.51483528,0.00000000
-5.92196098,5.77359790,1.96014817,4.72227887,0.00082812,0.23747126,0.72598643,0.43662765,0.50750033,0.00000000
-5.91595798,5.80407060,2.03673343,4.76226769,0.00079126,0.22215955,0.70132729,0.43392934,0.50088174,0.00000000
-5.90995498,5.83643247,2.11270538,4.79975718,0.00075987,0.20865090,0.67988819,0.43268102,0.49488084,0.00000000
-5.90395198,5.86868545,2.18669677,4.83346402,0.00073371,0.19680671,0.66129393,0.43266797,0.48938000,0.00000000
-5.89794897,5.89881122,2.25733761,4.86214436,0.00071249,0.18646458,0.64512050,0.43366261,0.48424788,0.00000000
-5.89194597,5.92484902,2.32329846,4.88464105,0.00069585,0.17744632,0.63091502,0.43543398,0.47934517,0.00000000
-5.88594297,5.94497259,2.38333378,4.89993024,0.00068343,0.16956562,0.61821547,0.43775703,0.47453060,0.00000000
-5.87993997,5.95756293,2.43632356,4.90716520,0.00067484,0.16263529,0.60656955,0.44042126,0.46966695,0.00000000
-5.87393697,5.96127390,2.48131115,4.90571530,0.00066972,0.15647378,0.59555192,0.44323842,0.46462686,0.00000000
-5.86793397,5.95508770,2.51753577,4.89519828,0.00066774,0.15091082,0.58477937,0.44604910,0.45929808,0.00000000
-5.86193097,5.93835784,2.54445799,4.87550391,0.00066862,0.14579210,0.57392340,0.44872786,0.45358806,0.00000000
-5.85592796,5.91083733,2.56177698,4.84680771,0.00067211,0.14098291,0.56271993,0.45118686,0.44742763,0.00000000
-5.84992496,5.87269087,2.56943865,4.80957353,0.00067806,0.13637064,0.55097599,0.45337781,0.44077356,0.00000000
-5.84392196,5.82449022,2.56763418,4.76454446,0.00068635,0.13186628,0.53857308,0.45529237,0.43361008,0.00000000
-5.83791896,5.76719273,2.55678907,4.71272203,0.00069694,0.12740485,0.52546761,0.45696090,0.42594910,0.00000000
-5.83191596,5.70210409,2.53754318,4.65533415,0.00070985,0.12294493,0.51168822,0.45844986,0.41782942,0.00000000
-5.82591296,5.63082656,2.51072276,4.59379299,0.00072513,0.11846727,0.49733056,0.45985792,0.40931471,0.00000000
-5.81990995,5.55519539,2.47730583,4.52964426,0.00074289,0.11397284,0.48254972,0.46131107,0.40049073,0.00000000
-5.81390695,5.47720597,2.43838275,4.46451024,0.00076328,0.10948018,0.46755080,0.46295702,0.39146171,0.00000000
-5.80790395,5.39893536,2.39511377,4.40002877,0.00078643,0.10502241,0.45257820,0.46495911,0.38234623,0.00000000
-5.80190095,5.32246157,2.34868579,4.33779119,0.00081250,0.10064400,0.43790402,0.46749011,0.37327282,0.00000000
-5.79589795,5.24978448,2.30027027,4.27928184,0.00084161,0.09639738,0.42381621,0.47072601,0.36437544,0.00000000
-5.78989495,5.18275179,2.25098426,4.22582208,0.00087386,0.09233964,0.41060686,0.47484028,0.35578922,0.00000000
-5.78389195,5.12299338,2.20185631,4.17852128,0.00090931,0.08852932,0.39856116,0.47999848,0.34764639,0.00000000
-5.77788894,5.07186657,2.15379847,4.13823704,0.00094794,0.08502356,0.38794733,0.48635360,0.34007277,0.00000000
-5.77188594,5.03041463,2.10758540,4.10554644,0.00098969,0.08187547,0.37900789,0.49404203,0.33318483,0.00000000
-5.76588294,4.99933957,2.06384117,4.08072933,0.00103439,0.07913203,0.37195243,0.50318032,0.32708734,0.00000000
-5.75987994,4.97898993,2.02303367,4.06376431,0.00108181,0.07683231,0.36695201,0.51386250,0.32187163,0.00000000
-5.75387694,4.96936315,1.98547632,4.05433720,0.00113162,0.07500621,0.36413514,0.52615805,0.31761449,0.00000000
-5.74787394,4.97012151,1.95133632,4.05186118,0.00118343,0.07367362,0.36358548,0.54011032,0.31437745,0.00000000
-5.74187094,4.98061999,1.92064830,4.05550731,0.00123674,0.07284401,0.36534093,0.55573532,0.31220649,0.00000000
-5.73586793,4.99994372,1.89333213,4.06424352,0.00129102,0.07251639,0.36939401,0.57302066,0.31113204,0.00000000
-5.72986493,5.02695265,1.86921342,4.07687982,0.00134565,0.07267957,0.37569340,0.59192474,0.31116907,0.00000000
