energy_ev,total_up,N_s_up,N_p_up,Te_p_up,Te_d_up,V_p_up,V_d_up,Zr_p_up,Zr_d_up
-6.00000000,3.28305296,0.00422121,0.64853125,1.58052263,0.00000000,0.83050384,0.54072046,1.60966163,0.68905261
-5.99399700,3.22057946,0.00451623,0.62503939,1.56456105,0.00000000,0.82439150,0.53373250,1.57982875,0.67088352
-5.98799400,3.15345105,0.00483439,0.60073167,1.54619376,0.00000000,0.81691138,0.52583546,1.54625921,0.65208332
-5.98199100,3.08295377,0.00517150,0.57612171,1.52575957,0.00000000,0.80823363,0.51710102,1.50956544,0.63309766
-5.97598799,3.01030806,0.00552254,0.55169284,1.50358570,0.00000000,0.79852442,0.50760665,1.47035132,0.61433849
-5.96998499,2.93663181,0.00588183,0.52788450,1.47997624,0.00000000,0.78794004,0.49743368,1.42919443,0.59617151
-5.96398199,2.86290816,0.00624308,0.50508076,1.45520184,0.00000000,0.77662161,0.48666500,1.38663043,0.57890569
-5.95797899,2.78995973,0.00659959,0.48360127,1.42949104,0.00000000,0.76469065,0.47538275,1.34314005,0.56278543
-5.95197599,2.71843013,0.00694439,0.46369487,1.40302401,0.00000000,0.75224571,0.46366602,1.29913937,0.54798533
-5.94597299,2.64877370,0.00727046,0.44553607,1.37592885,0.00000000,0.73936026,0.45158875,1.25497368,0.53460793
-5.93996998,2.58125366,0.00757096,0.42922424,1.34828090,0.00000000,0.72608207,0.43921813,1.21091501,0.52268427
-5.93396698,2.51594853,0.00783940,0.41478556,1.32010491,0.00000000,0.71243393,0.42661338,1.16716344,0.51217714
-5.92796398,2.45276645,0.00806988,0.40217736,1.29138017,0.00000000,0.69841574,0.41382526,1.12385166,0.50298684
-5.92196098,2.39146627,0.00825731,0.39129462,1.26204807,0.00000000,0.68400784,0.40089610,1.08105265,0.49495903
-5.91595798,2.33168431,0.00839757,0.38197827,1.23202183,0.00000000,0.66917538,0.38786056,1.03878962,0.48789425
-5.90995498,2.27296528,0.00848767,0.37402480,1.20119761,0.00000000,0.65387339,0.37474690,0.99704775,0.48155867
-5.90395198,2.21479570,0.00852588,0.36719683,1.16946657,0.00000000,0.63805232,0.36157865,0.95578676,0.47569556
-5.89794897,2.15663810,0.00851181,0.36123413,1.13672695,0.00000000,0.62166372,0.34837673,0.91495379,0.47003704
-5.89194597,2.09796446,0.00844642,0.35586466,1.10289562,0.00000000,0.60466565,0.33516158,0.87449561,0.46431544
-5.88594297,2.03828715,0.00833203,0.35081530,1.06791841,0.00000000,0.58702774,0.32195538,0.83436965,0.45827413
