energy_ev,total_up,Co_p_up,Co_d_up,N_s_up,N_p_up,Pt_p_up,Pt_d_up,S_s_up,S_p_up
-6.00000000,4.15060091,0.61370744,0.52587978,0.00069657,0.74484341,1.42483245,1.59636848,0.00700088,1.13202227
-5.99399700,4.08168416,0.61092245,0.51214741,0.00071808,0.73067208,1.40187595,1.57596894,0.00723804,1.11278756
-5.98799400,4.01638574,0.60807606,0.49795625,0.00074905,0.71812456,1.38358383,1.55693050,0.00748548,1.09313822
-5.98199100,3.95679187,0.60534922,0.48356160,0.00078897,0.70765863,1.37081218,1.54007301,0.00774344,1.07349254
-5.97598799,3.90475411,0.60292322,0.46921207,0.00083719,0.69965343,1.36425086,1.52611792,0.00801181,1.05426190
-5.96998499,3.86182706,0.60097309,0.45514308,0.00089295,0.69439638,1.36439743,1.51566301,0.00829002,1.03583778
-5.96398199,3.82921688,0.59966091,0.44157098,0.00095537,0.69207327,1.37153713,1.50916172,0.00857705,1.01857953
-5.95797899,3.80774237,0.59912944,0.42868796,0.00102337,0.69276221,1.38572977,1.50690798,0.00887132,1.00280303
-5.95197599,3.79780978,0.59949623,0.41665789,0.00109579,0.69643136,1.40680398,1.50902688,0.00917075,0.98877064
-5.94597299,3.79940223,0.60084832,0.40561314,0.00117129,0.70294070,1.43435904,1.51547150,0.00947276,0.97668287
-5.93996998,3.81208357,0.60323790,0.39565236,0.00124846,0.71204763,1.46777446,1.52602589,0.00977430,0.96667182
-5.93396698,3.83501660,0.60667892,0.38683940,0.00132577,0.72341606,1.50622683,1.54031400,0.01007192,0.95879680
-5.92796398,3.86699464,0.61114493,0.37920312,0.00140164,0.73662889,1.54871361,1.55781409,0.01036188,0.95304213
-5.92196098,3.90648516,0.61656815,0.37273823,0.00147448,0.75120301,1.59408298,1.57787796,0.01064028,0.94931734
-5.91595798,3.95168383,0.62283993,0.36740707,0.00154273,0.76660651,1.64106876,1.59975434,0.01090314,0.94745976
-5.90995498,4.00057683,0.62981258,0.36314212,0.00160487,0.78227738,1.68832938,1.62261533,0.01114664,0.94723932
-5.90395198,4.05100936,0.63730254,0.35984929,0.00165950,0.79764291,1.73448934,1.64558512,0.01136719,0.94836571
-5.89794897,4.10075780,0.64509486,0.35741181,0.00170539,0.81213918,1.77818191,1.66776974,0.01156165,0.95049738
-5.89194597,4.14760301,0.65294884,0.35569458,0.00174149,0.82522999,1.81809147,1.68828701,0.01172750,0.95325237
-5.88594297,4.18940237,0.66060463,0.35454892,0.00176698,0.83642443,1.85299406,1.70629543,0.01186293,0.95622037
-5.87993997,4.22415806,0.66779068,0.35381750,0.00178129,0.84529263,1.88179469,1.72102134,0.01196702,0.95897593
-5.87393697,4.25007949,0.67423167,0.35333936,0.00178415,0.85147917,1.90356010,1.73178320,0.01203983,0.96109199
-5.86793397,4.26563772,0.67965675,0.35295488,0.00177554,0.85471370,1.91754583,1.73801250,0.01208246,0.96215358
-5.86193097,4.26961044,0.68380775,0.35251056,0.00175577,0.85481845,1.92321667,1.73927055,0.01209709,0.96177109
-5.85592796,4.26111610,0.68644709,0.35186343,0.00172538,0.85171264,1.92025996,1.73526079,0.01208696,0.95959255
-5.84992496,4.23963625,0.68736513,0.35088503,0.00168520,0.84541346,1.90859120,1.72583630,0.01205634,0.95531472
-5.84392196,4.20502584,0.68638664,0.34946486,0.00163628,0.83603393,1.88835208,1.71100244,0.01201039,0.94869235
-5.83791896,4.15751139,0.68337626,0.34751311,0.00157986,0.82377771,1.85990115,1.69091468,0.01195507,0.93954553
-5.83191596,4.09767732,0.67824268,0.34496272,0.00151733,0.80893117,1.82379762,1.66587183,0.01189691,0.92776473
-5.82591296,4.02644151,0.67094147,0.34177058,0.00145018,0.79185308,1.78077917,1.63630505,0.01184281,0.91331347
-5.81990995,3.94502114,0.66147644,0.33791803,0.00137998,0.77296235,1.73173484,1.60276314,0.01179979,0.89622854
-5.81390695,3.85489017,0.64989955,0.33341044,0.00130827,0.75272439,1.67767401,1.56589467,0.01177473,0.87661787
-5.80790395,3.75773047,0.63630936,0.32827611,0.00123659,0.73163646,1.61969303,1.52642768,0.01177408,0.85465612
-5.80190095,3.65537819,0.62084814,0.32256435,0.00116639,0.71021265,1.55894056,1.48514766,0.01180361,0.83057821
-5.79589795,3.54976741,0.60369782,0.31634295,0.00109899,0.68896899,1.49658321,1.44287454,0.01186811,0.80467119
-5.78989495,3.44287316,0.58507490,0.30969516,0.00103556,0.66840904,1.43377244,1.40043953,0.01197120,0.77726468
-5.78389195,3.33665553,0.56522452,0.30271619,0.00097713,0.64901059,1.37161411,1.35866239,0.01211510,0.74872031
-5.77788894,3.23300675,0.54441407,0.29550940,0.00092451,0.63121366,1.31114132,1.31833000,0.01230050,0.71942062
-5.77188594,3.13370277,0.52292637,0.28818246,0.00087832,0.61541019,1.25329153,1.28017666,0.01252642,0.68975779
-5.76588294,3.04036079,0.50105286,0.28084342,0.00083897,0.60193563,1.19888829,1.24486687,0.01279021,0.66012262
-5.75987994,2.95440360,0.47908693,0.27359703,0.00080671,0.59106261,1.14862797,1.21298070,0.01308758,0.63089420
-5.75387694,2.87703180,0.45731756,0.26654127,0.00078156,0.58299668,1.10307141,1.18500241,0.01341266,0.60243040
