energy_ev,total_up,B_p_up,B_d_up,Pt_p_up,Pt_d_up,Se_s_up,Se_p_up
-6.00000000,3.64807681,0.54252274,0.00000000,1.26741656,2.33572335,0.01028178,0.66003675
-5.99399700,3.72280760,0.54880904,0.00000000,1.31006301,2.37628889,0.00983306,0.68458342
-5.98799400,3.80147717,0.55516969,0.00000000,1.35351111,2.41869060,0.00943052,0.71080000
-5.98199100,3.88399575,0.56170541,0.00000000,1.39723249,2.46319320,0.00907337,0.73846794
-5.97598799,3.97018666,0.56851986,0.00000000,1.44068871,2.51001949,0.00876080,0.76732139
-5.96998499,4.05978329,0.57571434,0.00000000,1.48334817,2.55933625,0.00849205,0.79705387
-5.96398199,4.15242944,0.58338274,0.00000000,1.52470367,2.61124207,0.00826648,0.82732667
-5.95797899,4.24768385,0.59160668,0.00000000,1.56429003,2.66575797,0.00808361,0.85777865
-5.95197599,4.34502957,0.60045139,0.00000000,1.60170121,2.72282188,0.00794307,0.88803730
-5.94597299,4.44388821,0.60996258,0.00000000,1.63660624,2.78228745,0.00784464,0.91773065
-5.93996998,4.54363915,0.62016433,0.00000000,1.66876348,2.84392784,0.00778817,0.94649961
-5.93396698,4.64364311,0.63105841,0.00000000,1.69803228,2.90744434,0.00777353,0.97401036
-5.92796398,4.74326918,0.64262480,0.00000000,1.72438171,2.97247976,0.00780060,0.99996617
-5.92196098,4.84192413,0.65482352,0.00000000,1.74789556,3.03863593,0.00786915,1.02411822
-5.91595798,4.93908235,0.66759771,0.00000000,1.76877337,3.10549449,0.00797879,1.04627485
-5.90995498,5.03431478,0.68087753,0.00000000,1.78732698,3.17263983,0.00812893,1.06630876
-5.90395198,5.12731489,0.69458486,0.00000000,1.80397258,3.23968284,0.00831865,1.08416181
-5.89794897,5.21792002,0.70863837,0.00000000,1.81921826,3.30628401,0.00854671,1.09984696
-5.89194597,5.30612622,0.72295869,0.00000000,1.83364718,3.37217458,0.00881143,1.11344727
-5.88594297,5.39209544,0.73747321,0.00000000,1.84789705,3.43717404,0.00911065,1.12511182
-5.87993997,5.47615379,0.75212041,0.00000000,1.86263624,3.50120305,0.00944169,1.13504855
-5.87393697,5.55878049,0.76685325,0.00000000,1.87853763,3.56429057,0.00980131,1.14351441
-5.86793397,5.64058733,0.78164140,0.00000000,1.89625099,3.62657446,0.01018568,1.15080304
-5.86193097,5.72228914,0.79647229,0.00000000,1.91637508,3.68829532,0.01059037,1.15723052
-5.85592796,5.80466626,0.81135065,0.00000000,1.93943060,3.74978333,0.01101037,1.16311981
-5.84992496,5.88852043,0.82629675,0.00000000,1.96583508,3.81143865,0.01144015,1.16878464
-5.84392196,5.97462604,0.84134325,0.00000000,1.99588100,3.87370600,0.01187367,1.17451347
-5.83791896,6.06367882,0.85653086,0.00000000,2.02971798,3.93704446,0.01230449,1.18055435
-5.83191596,6.15624449,0.87190303,0.00000000,2.06733997,4.00189392,0.01272590,1.18710140
