energy_ev,total_up,Au_p_up,Au_d_up,C_s_up,C_p_up,Mn_p_up,Mn_d_up,Se_s_up,Se_p_up
-6.00000000,1.24987541,0.08957942,1.01779934,0.00199744,0.01057007,0.09455356,0.07687745,0.00365355,0.18738039
-5.99399700,1.21492187,0.08567814,0.99102761,0.00180807,0.00970137,0.08733705,0.07544158,0.00335993,0.18242309
-5.98799400,1.17995530,0.08203284,0.96389028,0.00162502,0.00888345,0.08050829,0.07401282,0.00306877,0.17768305
-5.98199100,1.14531118,0.07863724,0.93671298,0.00145011,0.00811696,0.07409992,0.07258257,0.00278366,0.17316526
-5.97598799,1.11128895,0.07548311,0.90979251,0.00128480,0.00740210,0.06813743,0.07114059,0.00250774,0.16887106
-5.96998499,1.07814842,0.07256058,0.88339235,0.00113021,0.00673867,0.06263890,0.06967576,0.00224367,0.16479867
-5.96398199,1.04610759,0.06985840,0.85773945,0.00098712,0.00612606,0.05761500,0.06817693,0.00199362,0.16094370
-5.95797899,1.01534155,0.06736429,0.83302207,0.00085600,0.00556326,0.05306905,0.06663363,0.00175927,0.15729966
-5.95197599,0.98598225,0.06506511,0.80938859,0.00073699,0.00504886,0.04899733,0.06503684,0.00154180,0.15385824
-5.94597299,0.95811888,0.06294714,0.78694691,0.00063001,0.00458115,0.04538950,0.06337956,0.00134191,0.15060953
-5.93996998,0.93179862,0.06099621,0.76576463,0.00053472,0.00415806,0.04222910,0.06165730,0.00115990,0.14754202
-5.93396698,0.90702769,0.05919775,0.74586955,0.00045062,0.00377727,0.03949412,0.05986826,0.00099569,0.14464253
-5.92796398,0.88377273,0.05753693,0.72725070,0.00037707,0.00343624,0.03715774,0.05801348,0.00084885,0.14189597
-5.92196098,0.86196233,0.05599861,0.70985985,0.00031331,0.00313223,0.03518898,0.05609674,0.00071871,0.13928511
-5.91595798,0.84148904,0.05456734,0.69361339,0.00025854,0.00286240,0.03355351,0.05412424,0.00060435,0.13679024
-5.90995498,0.82221181,0.05322739,0.67839500,0.00021190,0.00262380,0.03221444,0.05210426,0.00050475,0.13438903
-5.90395198,0.80395918,0.05196275,0.66405881,0.00017257,0.00241347,0.03113308,0.05004667,0.00041872,0.13205636
-5.89794897,0.78653323,0.05075718,0.65043350,0.00013970,0.00222845,0.03026976,0.04796237,0.00034507,0.12976440
-5.89194597,0.76971452,0.04959432,0.63732714,0.00011252,0.00206584,0.02958464,0.04586276,0.00028256,0.12748288
-5.88594297,0.75326793,0.04845783,0.62453289,0.00009030,0.00192284,0.02903847,0.04375921,0.00022999,0.12517959
-5.87993997,0.73694959,0.04733166,0.61183552,0.00007237,0.00179677,0.02859334,0.04166258,0.00018618,0.12282107
-5.87393697,0.72051448,0.04620035,0.59901852,0.00005815,0.00168512,0.02821338,0.03958288,0.00015004,0.12037358
-5.86793397,0.70372478,0.04504933,0.58587174,0.00004711,0.00158555,0.02786540,0.03752898,0.00012057,0.11780416
-5.86193097,0.68635846,0.04386539,0.57219910,0.00003883,0.00149593,0.02751947,0.03550844,0.00009687,0.11508192
-5.85592796,0.66821786,0.04263700,0.55782628,0.00003294,0.00141434,0.02714941,0.03352745,0.00007812,0.11217929
-5.84992496,0.64913775,0.04135479,0.54260782,0.00002916,0.00133908,0.02673316,0.03159094,0.00006363,0.10907325
-5.84392196,0.62899257,0.04001187,0.52643343,0.00002727,0.00126871,0.02625308,0.02970263,0.00005281,0.10574655
-5.83791896,0.60770235,0.03860416,0.50923313,0.00002713,0.00120199,0.02569606,0.02786529,0.00004516,0.10218862
-5.83191596,0.58523702,0.03713059,0.49098084,0.00002864,0.00113792,0.02505362,0.02608094,0.00004030,0.09839631
-5.82591296,0.56161877,0.03559324,0.47169641,0.00003177,0.00107570,0.02432175,0.02435110,0.00003792,0.09437436
-5.81990995,0.53692237,0.03399733,0.45144570,0.00003654,0.00101476,0.02350073,0.02267702,0.00003780,0.09013543
-5.81390695,0.51127338,0.03235112,0.43033897,0.00004302,0.00095470,0.02259477,0.02105993,0.00003979,0.08569992
-5.80790395,0.48484420,0.03066563,0.40852729,0.00005128,0.00089529,0.02161160,0.01950116,0.00004382,0.08109536
-5.80190095,0.45784832,0.02895432,0.38619749,0.00006147,0.00083646,0.02056195,0.01800227,0.00004987,0.07635551
-5.79589795,0.43053292,0.02723262,0.36356566,0.00007372,0.00077825,0.01945897,0.01656511,0.00005795,0.07151924
-5.78989495,0.40317018,0.02551741,0.34086955,0.00008820,0.00072081,0.01831760,0.01519184,0.00006813,0.06662919
-5.78389195,0.37604780,0.02382641,0.31836036,0.00010507,0.00066435,0.01715396,0.01388482,0.00008051,0.06173029
-5.77788894,0.34945909,0.02217758,0.29629405,0.00012450,0.00060914,0.01598470,0.01264661,0.00009519,0.05686823
-5.77188594,0.32369317,0.02058853,0.27492288,0.00014663,0.00055548,0.01482645,0.01147977,0.00011229,0.05208802
-5.76588294,0.29902555,0.01907590,0.25448723,0.00017159,0.00050369,0.01369522,0.01038674,0.00013194,0.04743253
-5.75987994,0.27570967,0.01765486,0.23520822,0.00019946,0.00045405,0.01260594,0.00936974,0.00015424,0.04294131
-5.75387694,0.25396955,0.01633865,0.21728131,0.00023030,0.00040683,0.01157210,0.00843059,0.00017927,0.03864952
-5.74787394,0.23399386,0.01513819,0.20087111,0.00026411,0.00036228,0.01060537,0.00757062,0.00020711,0.03458719
-5.74187094,0.21593155,0.01406185,0.18610753,0.00030081,0.00032059,0.00971541,0.00679057,0.00023775,0.03077864
-5.73586793,0.19988911,0.01311527,0.17308331,0.00034029,0.00028189,0.00890972,0.00609056,0.00027116,0.02724227
-5.72986493,0.18592953,0.01230129,0.16185299,0.00038234,0.00024627,0.00819362,0.00547006,0.00030725,0.02399056
-5.72386193,0.17407270,0.01162006,0.15243319,0.00042670,0.00021377,0.00757023,0.00492792,0.00034586,0.02103030
-5.71785893,0.16429741,0.01106916,0.14480416,0.00047303,0.00018437,0.00704058,0.00446247,0.00038677,0.01836304
-5.71185593,0.15654453,0.01064383,0.13891245,0.00052092,0.00015801,0.00660377,0.00407156,0.00042967,0.01598574
-5.70585293,0.15072136,0.01033734,0.13467455,0.00056993,0.00013461,0.00625721,0.00375278,0.00047419,0.01389149
-5.69984992,0.14670681,0.01014135,0.13198128,0.00061955,0.00011403,0.00599678,0.00350354,0.00051989,0.01207041
-5.69384692,0.14435733,0.01004636,0.13070279,0.00066926,0.00009613,0.00581718,0.00332131,0.00056626,0.01051049
-5.68784392,0.14351321,0.01004218,0.13069407,0.00071853,0.00008074,0.00571217,0.00320381,0.00061273,0.00919854
-5.68184092,0.14400523,0.01011840,0.13180056,0.00076683,0.00006771,0.00567486,0.00314918,0.00065869,0.00812107
-5.67583792,0.14566130,0.01026496,0.13386401,0.00081368,0.00005689,0.00569806,0.00315626,0.00070349,0.00726510
-5.66983492,0.14831298,0.01047253,0.13672812,0.00085866,0.00004812,0.00577450,0.00322471,0.00074647,0.00661895
-5.66383192,0.15180174,0.01073309,0.14024404,0.00090145,0.00004130,0.00589716,0.00335524,0.00078696,0.00617286
-5.65782891,0.15598468,0.01104023,0.14427544,0.00094180,0.00003634,0.00605950,0.00354978,0.00082430,0.00591961
-5.65182591,0.16073970,0.01138965,0.14870309,0.00097963,0.00003320,0.00625574,0.00381161,0.00085787,0.00585489
-5.64582291,0.16596981,0.01177933,0.15342879,0.00101498,0.00003191,0.00648107,0.00414543,0.00088712,0.00597763
-5.63981991,0.17160663,0.01220990,0.15837854,0.00104807,0.00003255,0.00673182,0.00455749,0.00091155,0.00629021
-5.63381691,0.17761288,0.01268469,0.16350484,0.00107925,0.00003528,0.00700568,0.00505556,0.00093076,0.00679848
-5.62781391,0.18398370,0.01320984,0.16878804,0.00110907,0.00004038,0.00730181,0.00564889,0.00094444,0.00751173
-5.62181091,0.19074696,0.01379430,0.17423671,0.00113821,0.00004824,0.00762095,0.00634816,0.00095243,0.00844249
-5.61580790,0.19796226,0.01444967,0.17988692,0.00116749,0.00005936,0.00796554,0.00716531,0.00095465,0.00960625
-5.60980490,0.20571885,0.01519002,0.18580052,0.00119785,0.00007446,0.00833973,0.00811332,0.00095119,0.01102108
-5.60380190,0.21413247,0.01603166,0.19206245,0.00123032,0.00009442,0.00874947,0.00920600,0.00094224,0.01270718
-5.59779890,0.22334112,0.01699271,0.19877708,0.00126595,0.00012037,0.00920248,0.01045770,0.00092816,0.01468635
-5.59179590,0.23350003,0.01809281,0.20606380,0.00130583,0.00015371,0.00970828,0.01188292,0.00090942,0.01698144
