energy_ev,total_up,C_s_up,C_p_up,Pt_p_up,Pt_d_up,S_s_up,S_p_up,Zn_p_up,Zn_d_up
-6.00000000,6.77662106,0.01780125,0.50690336,3.22410453,2.29322287,0.03365360,1.99588970,0.97557210,0.51711493
-5.99399700,6.68277523,0.01705507,0.50270110,3.21844125,2.25194073,0.03469564,1.97440981,0.96698326,0.50097182
-5.98799400,6.59558958,0.01629404,0.50009781,3.21086731,2.21688186,0.03604275,1.95287756,0.95843310,0.48479185
-5.98199100,6.51533233,0.01553055,0.49904004,3.20092046,2.18826777,0.03767858,1.93134282,0.94984071,0.46866091
-5.97598799,6.44220338,0.01477649,0.49949373,3.18821027,2.16625741,0.03958507,1.90981766,0.94110062,0.45266665
-5.96998499,6.37635299,0.01404296,0.50144834,3.17244252,2.15095514,0.04174205,1.88827892,0.93208943,0.43689837
-5.96398199,6.31790434,0.01333996,0.50492025,3.15344176,2.14242082,0.04412706,1.86667309,0.92267341,0.42144705
-5.95797899,6.26697846,0.01267615,0.50995521,3.13117101,2.14068133,0.04671514,1.84492279,0.91271665,0.40640542
-5.95197599,6.22371967,0.01205869,0.51662945,3.10574718,2.14574275,0.04947887,1.82293487,0.90208922,0.39186783
-5.94597299,6.18831948,0.01149314,0.52504942,3.07745102,2.15760219,0.05238856,1.80060951,0.89067524,0.37793004
-5.93996998,6.16103715,0.01098343,0.53534977,3.04673081,2.17625848,0.05541254,1.77784995,0.87838011,0.36468871
-5.93396698,6.14221483,0.01053187,0.54768964,3.01419881,2.20172076,0.05851772,1.75457229,0.86513687,0.35224053
-5.92796398,6.13228590,0.01013930,0.56224718,2.98062027,2.23401421,0.06167025,1.73071482,0.85091117,0.34068103
-5.92196098,6.13177522,0.00980522,0.57921219,2.94689486,2.27318225,0.06483637,1.70624657,0.83570475,0.33010300
-5.91595798,6.14129041,0.00952802,0.59877734,2.91403080,2.31928493,0.06798333,1.68117446,0.81955722,0.32059466
-5.90995498,6.16150410,0.00930522,0.62112790,2.88311266,2.37239302,0.07108038,1.65554877,0.80254614,0.31223744
-5.90395198,6.19312741,0.00913370,0.64643046,2.85526360,2.43257833,0.07409985,1.62946670,0.78478531,0.30510369
-5.89794897,6.23687567,0.00901003,0.67482103,2.83160380,2.49990025,0.07701809,1.60307381,0.76642160,0.29925416
-5.89194597,6.29342771,0.00893067,0.70639306,2.81320666,2.57438940,0.07981643,1.57656328,0.74763034,0.29473562
-5.88594297,6.36338096,0.00889225,0.74118571,2.80105465,2.65602922,0.08248195,1.55017303,0.72860953,0.29157852
-5.87993997,6.44720447,0.00889176,0.77917320,2.79599694,2.74473662,0.08500802,1.52418087,0.70957338,0.28979499
-5.87393697,6.54519259,0.00892670,0.82025560,2.79871081,2.84034298,0.08739471,1.49889783,0.69074527,0.28937709
-5.86793397,6.65742199,0.00899521,0.86425170,2.80966860,2.94257665,0.08964882,1.47466016,0.67235065,0.29029569
-5.86193097,6.78371466,0.00909611,0.91089445,2.82911217,3.05104846,0.09178369,1.45182004,0.65461020,0.29249977
-5.85592796,6.92360931,0.00922889,0.95982926,2.85703602,3.16524116,0.09381868,1.43073573,0.63773350,0.29591643
-5.84992496,7.07634315,0.00939368,1.01061569,2.89318017,3.28450391,0.09577836,1.41176126,0.62191354,0.30045155
-5.84392196,7.24084553,0.00959114,1.06273234,2.93703334,3.40805237,0.09769141,1.39523633,0.60732226,0.30599112
-5.83791896,7.41574435,0.00982229,1.11558535,2.98784649,3.53497483,0.09958935,1.38147648,0.59410724,0.31240325
-5.83191596,7.59938517,0.01008839,1.16852002,3.04465615,3.66424427,0.10150496,1.37076412,0.58238962,0.31954078
-5.82591296,7.78986271,0.01039070,1.22083541,3.10631663,3.79473608,0.10347076,1.36334047,0.57226323,0.32724450
-5.81990995,7.98506304,0.01073030,1.27180145,3.17153969,3.92525046,0.10551721,1.35939877,0.56379479,0.33534672
-5.81390695,8.18271490,0.01110794,1.32067783,3.23893981,4.05453876,0.10767119,1.35907876,0.55702515,0.34367528
-5.80790395,8.38044733,0.01152381,1.36673413,3.30708287,4.18133214,0.10995433,1.36246255,0.55197124,0.35205766
-5.80190095,8.57585115,0.01197743,1.40927022,3.37453611,4.30437140,0.11238169,1.36957203,0.54862860,0.36032524
-5.79589795,8.76654103,0.01246757,1.44763622,3.43991682,4.42243630,0.11496060,1.38036744,0.54697420,0.36831733
-5.78989495,8.95021542,0.01299215,1.48125110,3.50193767,4.53437315,0.11768981,1.39474750,0.54696932,0.37588507
-5.78389195,9.12471166,0.01354829,1.50961924,3.55944647,4.63911924,0.12055896,1.41255065,0.54856234,0.38289485
-5.77788894,9.28805376,0.01413228,1.53234422,3.61145873,4.73572331,0.12354846,1.43355748,0.55169114,0.38923124
-5.77188594,9.43849146,0.01473972,1.54913924,3.65718168,4.82336126,0.12662971,1.45749428,0.55628521,0.39479933
-5.76588294,9.57452914,0.01536563,1.55983388,3.69602885,4.90134687,0.12976571,1.48403757,0.56226711,0.39952636
