energy_ev,total_up,C_s_up,C_p_up,Cr_p_up,Cr_d_up,Hg_p_up,Hg_d_up,Te_p_up,Te_d_up
-6.00000000,1.48820882,0.00410074,0.10341433,0.81739049,0.34987366,0.55874605,0.20111671,0.66102422,0.00000000
-5.99399700,1.57027825,0.00470474,0.11208865,0.87000769,0.36328590,0.60795063,0.21115305,0.70193895,0.00000000
-5.98799400,1.64899677,0.00536489,0.12082118,0.92139328,0.37531017,0.65778893,0.22067149,0.74167332,0.00000000
-5.98199100,1.72348257,0.00608030,0.12950908,0.97096368,0.38580359,0.70769200,0.22958339,0.77974822,0.00000000
-5.97598799,1.79286846,0.00684878,0.13804129,1.01812797,0.39464266,0.75703812,0.23780634,0.81567923,0.00000000
-5.96998499,1.85631625,0.00766676,0.14630074,1.06229844,0.40172523,0.80516426,0.24526494,0.84898599,0.00000000
-5.96398199,1.91303154,0.00852913,0.15416680,1.10290173,0.40697196,0.85138003,0.25189135,0.87920219,0.00000000
-5.95797899,1.96227844,0.00942924,0.16151823,1.13939028,0.41032739,0.89498362,0.25762574,0.90588597,0.00000000
-5.95197599,2.00339412,0.01035889,0.16823620,1.17125391,0.41176047,0.93527933,0.26241650,0.92863037,0.00000000
-5.94597299,2.03580265,0.01130832,0.17420754,1.19803117,0.41126469,0.97159604,0.26622041,0.94707360,0.00000000
-5.93996998,2.05902801,0.01226637,0.17932793,1.21932006,0.40885780,1.00330599,0.26900273,0.96090871,0.00000000
-5.93396698,2.07270567,0.01322062,0.18350499,1.23478798,0.40458116,1.02984302,0.27073728,0.96989229,0.00000000
-5.92796398,2.07659250,0.01415759,0.18666111,1.24418042,0.39849867,1.05071972,0.27140651,0.97385188,0.00000000
-5.92196098,2.07057457,0.01506310,0.18873591,1.24732809,0.39069543,1.06554256,0.27100170,0.97269174,0.00000000
-5.91595798,2.05467245,0.01592251,0.18968820,1.24415234,0.38127612,1.07402446,0.26952311,0.96639680,0.00000000
-5.90995498,2.02904381,0.01672117,0.18949737,1.23466854,0.37036304,1.07599424,0.26698022,0.95503437,0.00000000
-5.90395198,1.99398298,0.01744477,0.18816419,1.21898721,0.35809395,1.07140253,0.26339204,0.93875381,0.00000000
-5.89794897,1.94991751,0.01807981,0.18571087,1.19731297,0.34461969,1.06032388,0.25878738,0.91778381,0.00000000
-5.89194597,1.89740145,0.01861399,0.18218053,1.16994117,0.33010163,1.04295498,0.25320504,0.89242754,0.00000000
-5.88594297,1.83710582,0.01903658,0.17763595,1.13725228,0.31470899,1.01960908,0.24669393,0.86305580,0.00000000
-5.87993997,1.76980612,0.01933884,0.17215785,1.09970428,0.29861601,0.99070706,0.23931312,0.83009838,0.00000000
-5.87393697,1.69636753,0.01951427,0.16584256,1.05782323,0.28199921,0.95676521,0.23113156,0.79403394,0.00000000
-5.86793397,1.61772811,0.01955888,0.15879940,1.01219238,0.26503454,0.91838073,0.22222767,0.75537888,0.00000000
-5.86193097,1.53488050,0.01947132,0.15114768,0.96344012,0.24789473,0.87621522,0.21268864,0.71467554,0.00000000
-5.85592796,1.44885291,0.01925297,0.14301369,0.91222729,0.23074672,0.83097709,0.20260944,0.67248023,0.00000000
-5.84992496,1.36068979,0.01890786,0.13452754,0.85923419,0.21374933,0.78340363,0.19209163,0.62935151,0.00000000
-5.84392196,1.27143301,0.01844265,0.12582019,0.80514778,0.19705124,0.73424325,0.18124185,0.58583903,0.00000000
-5.83791896,1.18210403,0.01786630,0.11702067,0.75064944,0.18078919,0.68423882,0.17017017,0.54247355,0.00000000
