energy_ev,total_up,B_p_up,B_d_up,Te_p_up,Te_d_up,Y_p_up,Y_d_up
-6.00000000,0.54500334,0.03247913,0.00000000,0.33005662,0.00000000,0.17184323,0.08777003
-5.99399700,0.54322352,0.03574392,0.00000000,0.32399036,0.00000000,0.17362061,0.09267063
-5.98799400,0.54544355,0.03966436,0.00000000,0.31957937,0.00000000,0.17703756,0.09894902
-5.98199100,0.55230778,0.04431069,0.00000000,0.31719744,0.00000000,0.18223097,0.10674021
-5.97598799,0.56444394,0.04974841,0.00000000,0.31720981,0.00000000,0.18933454,0.11617643
-5.96998499,0.58244387,0.05603594,0.00000000,0.31996350,0.00000000,0.19847231,0.12738225
-5.96398199,0.60684435,0.06322217,0.00000000,0.32577769,0.00000000,0.20975218,0.14046950
-5.95797899,0.63810840,0.07134409,0.00000000,0.33493444,0.00000000,0.22325958,0.15553230
-5.95197599,0.67660774,0.08042443,0.00000000,0.34766997,0.00000000,0.23905166,0.17264227
-5.94597299,0.72260727,0.09046958,0.00000000,0.36416693,0.00000000,0.25715229,0.19184420
-5.93996998,0.77625197,0.10146777,0.00000000,0.38454790,0.00000000,0.27754815,0.21315225
-5.93396698,0.83755715,0.11338765,0.00000000,0.40887041,0.00000000,0.30018639,0.23654706
-5.92796398,0.90640261,0.12617735,0.00000000,0.43712393,0.00000000,0.32497394,0.26197388
-5.92196098,0.98253114,0.13976415,0.00000000,0.46922881,0.00000000,0.35177882,0.28934176
-5.91595798,1.06555197,0.15405477,0.00000000,0.50503767,0.00000000,0.38043350,0.31852413
-5.90995498,1.15494928,0.16893627,0.00000000,0.54433914,0.00000000,0.41074046,0.34936066
-5.90395198,1.25009581,0.18427773,0.00000000,0.58686420,0.00000000,0.44247979,0.38166055
-5.89794897,1.35027151,0.19993254,0.00000000,0.63229484,0.00000000,0.47541863,0.41520699
-5.89194597,1.45468671,0.21574128,0.00000000,0.68027514,0.00000000,0.50932221,0.44976295
-5.88594297,1.56250903,0.23153518,0.00000000,0.73042425,0.00000000,0.54396597,0.48507777
-5.87993997,1.67289334,0.24713999,0.00000000,0.78235096,0.00000000,0.57914822,0.52089458
-5.87393697,1.78501336,0.26238005,0.00000000,0.83566938,0.00000000,0.61470275,0.55695804
-5.86793397,1.89809363,0.27708261,0.00000000,0.89001498,0.00000000,0.65051064,0.59302214
-5.86193097,2.01144048,0.29108207,0.00000000,0.94506038,0.00000000,0.68651062,0.62885768
-5.85592796,2.12447026,0.30422397,0.00000000,1.00053009,0.00000000,0.72270714,0.66425904
-5.84992496,2.23673353,0.31636874,0.00000000,1.05621340,0.00000000,0.75917571,0.69904985
-5.84392196,2.34793361,0.32739491,0.00000000,1.11197477,0.00000000,0.79606487,0.73308737
-5.83791896,2.45793844,0.33720175,0.00000000,1.16776090,0.00000000,0.83359429,0.76626523
-5.83191596,2.56678474,0.34571118,0.00000000,1.22360406,0.00000000,0.87204911,0.79851433
-5.82591296,2.67467387,0.35286906,0.00000000,1.27962124,0.00000000,0.91177013,0.82980197
-5.81990995,2.78195921,0.35864560,0.00000000,1.33600890,0.00000000,0.95314035,0.86012910
-5.81390695,2.88912548,0.36303513,0.00000000,1.39303331,0.00000000,0.99656822,0.88952586
-5.80790395,2.99676040,0.36605517,0.00000000,1.45101689,0.00000000,1.04246816,0.91804562
-5.80190095,3.10552009,0.36774485,0.00000000,1.51032077,0.00000000,1.09123929,0.94575786
-5.79589795,3.21608965,0.36816287,0.00000000,1.57132452,0.00000000,1.14324331,0.97274019
-5.78989495,3.32914066,0.36738499,0.00000000,1.63440379,0.00000000,1.19878260,0.99907004
-5.78389195,3.44528777,0.36550130,0.00000000,1.69990693,0.00000000,1.25807960,1.02481638
-5.77788894,3.56504646,0.36261332,0.00000000,1.76813171,0.00000000,1.32125863,1.05003202
-5.77188594,3.68879407,0.35883100,0.00000000,1.83930330,0.00000000,1.38833107,1.07474681
-5.76588294,3.81673623,0.35426981,0.00000000,1.91355460,0.00000000,1.45918477,1.09896222
-5.75987994,3.94888019,0.34904807,0.00000000,1.99090987,0.00000000,1.53357824,1.12264759
-5.75387694,4.08501659,0.34328435,0.00000000,2.07127259,0.00000000,1.61114002,1.14573819
-5.74787394,4.22471049,0.33709533,0.00000000,2.15441804,0.00000000,1.69137339,1.16813522
-5.74187094,4.36730203,0.33059386,0.00000000,2.23999104,0.00000000,1.77366613,1.18970791
-5.73586793,4.51191655,0.32388748,0.00000000,2.32750881,0.00000000,1.85730478,1.21029724
-5.72986493,4.65748370,0.31707716,0.00000000,2.41636892,0.00000000,1.94149295,1.22972149
-5.72386193,4.80276405,0.31025652,0.00000000,2.50586163,0.00000000,2.02537249,1.24778293
-5.71785893,4.94638207,0.30351121,0.00000000,2.59518605,0.00000000,2.10804653,1.26427544
-5.71185593,5.08686341,0.29691864,0.00000000,2.68346932,0.00000000,2.18860336,1.27899268
-5.70585293,5.22267462,0.29054786,0.00000000,2.76978763,0.00000000,2.26613990,1.29173620
-5.69984992,5.35226332,0.28445961,0.00000000,2.85318822,0.00000000,2.33978371,1.30232311
