energy_ev,total_up,Mn_p_up,Mn_d_up,Mo_p_up,Mo_d_up,N_s_up,N_p_up,S_s_up,S_p_up
-6.00000000,4.08647236,1.05878918,0.72303642,1.37732921,0.81984665,0.00451341,0.76592768,0.01977215,1.83116440
-5.99399700,4.20894139,1.09983212,0.73700409,1.43509570,0.84765987,0.00455485,0.79181829,0.01962112,1.88485987
-5.98799400,4.32925478,1.14180619,0.74944760,1.49781177,0.87489745,0.00458937,0.81769724,0.01939559,1.93743263
-5.98199100,4.44549394,1.18412500,0.76010612,1.56463883,0.90111132,0.00461669,0.84322809,0.01909975,1.98801259
-5.97598799,4.55582658,1.22620773,0.76875037,1.63467204,0.92586798,0.00463673,0.86807943,0.01873886,2.03578094
-5.96998499,4.65854571,1.26749209,0.77518715,1.70695756,0.94875825,0.00464959,0.89193195,0.01831905,2.07998792
-5.96398199,4.75210551,1.30744637,0.77926309,1.78051070,0.96940670,0.00465557,0.91448544,0.01784712,2.11996830
-5.95797899,4.83515344,1.34558037,0.78086756,1.85433496,0.98748060,0.00465510,0.93546562,0.01733028,2.15515436
-5.95197599,4.90655776,1.38145488,0.77993476,1.92744128,1.00269807,0.00464870,0.95463069,0.01677596,2.18508597
-5.94597299,4.96542998,1.41468960,0.77644484,1.99886736,1.01483516,0.00463700,0.97177729,0.01619158,2.20941775
-5.93996998,5.01114132,1.44496912,0.77042416,2.06769626,1.02373171,0.00462061,0.98674574,0.01558439,2.22792311
-5.93396698,5.04333291,1.47204693,0.76194445,2.13307400,1.02929549,0.00460015,0.99942427,0.01496134,2.24049515
-5.92796398,5.06191910,1.49574739,0.75112108,2.19422553,1.03150470,0.00457621,1.00975200,0.01432895,2.24714439
-5.92196098,5.06708363,1.51596549,0.73811027,2.25046845,1.03040834,0.00454929,1.01772061,0.01369325,2.24799355
-5.91595798,5.05926868,1.53266460,0.72310542,2.30122430,1.02612454,0.00451978,1.02337426,0.01305975,2.24326948
-5.90995498,5.03915676,1.54587222,0.70633248,2.34602674,1.01883679,0.00448798,1.02680799,0.01243344,2.23329256
-5.90395198,5.00764602,1.55567390,0.68804457,2.38452656,1.00878803,0.00445402,1.02816430,0.01181881,2.21846392
