energy_ev,total_up,C_s_up,C_p_up,Ca_p_up,Ca_d_up,Re_p_up,Re_d_up,Se_s_up,Se_p_up
-6.00000000,4.49748000,0.02490179,0.51549287,0.01854161,0.00000000,1.58708206,1.90224844,0.04323994,2.27983693
-5.99399700,4.65034750,0.02558138,0.53579612,0.01901115,0.00000000,1.63900099,1.96812420,0.04368016,2.35671399
-5.98799400,4.81468648,0.02629240,0.55718855,0.01949999,0.00000000,1.69676373,2.03926896,0.04421661,2.43966292
-5.98199100,4.98944498,0.02702899,0.57963068,0.02000704,0.00000000,1.76006556,2.11520479,0.04484349,2.52800047
-5.97598799,5.17342107,0.02778533,0.60307085,0.02053116,0.00000000,1.82852597,2.19537939,0.04555348,2.62095371
-5.96998499,5.36527365,0.02855569,0.62744323,0.02107113,0.00000000,1.90169130,2.27916794,0.04633794,2.71767113
-5.96398199,5.56353463,0.02933452,0.65266573,0.02162573,0.00000000,1.97903795,2.36587599,0.04718719,2.81723519
-5.95797899,5.76662244,0.03011644,0.67863793,0.02219369,0.00000000,2.05997640,2.45474357,0.04809084,2.91867611
-5.95197599,5.97285693,0.03089624,0.70523929,0.02277369,0.00000000,2.14385608,2.54495069,0.04903803,3.02098642
-5.94597299,6.18047580,0.03166890,0.73232764,0.02336431,0.00000000,2.22997118,2.63562445,0.05001776,3.12313614
-5.93996998,6.38765276,0.03242953,0.75973846,0.02396400,0.00000000,2.31756747,2.72584794,0.05101922,3.22408827
-5.93396698,6.59251757,0.03317338,0.78728489,0.02457104,0.00000000,2.40585034,2.81467103,0.05203202,3.32281437
-5.92796398,6.79317815,0.03389574,0.81475868,0.02518351,0.00000000,2.49399392,2.90112305,0.05304650,3.41830995
-5.92196098,6.98774467,0.03459195,0.84193226,0.02579924,0.00000000,2.58115157,2.98422743,0.05405398,3.50960944
-5.91595798,7.17435555,0.03525735,0.86856190,0.02641579,0.00000000,2.66646743,3.06301799,0.05504692,3.59580058
-5.90995498,7.35120506,0.03588724,0.89439186,0.02703045,0.00000000,2.74908907,3.13655661,0.05601912,3.67603786
-5.90395198,7.51657213,0.03647692,0.91915966,0.02764027,0.00000000,2.82818100,3.20395189,0.05696583,3.74955494
-5.89794897,7.66884952,0.03702166,0.94260193,0.02824202,0.00000000,2.90293881,3.26437820,0.05788380,3.81567576
-5.89194597,7.80657286,0.03751678,0.96446101,0.02883230,0.00000000,2.97260354,3.31709450,0.05877123,3.87382414
-5.88594297,7.92844839,0.03795770,0.98449172,0.02940758,0.00000000,3.03647602,3.36146220,0.05962780,3.92353171
-5.87993997,8.03337877,0.03834003,1.00246814,0.02996425,0.00000000,3.09393068,3.39696137,0.06045441,3.96444404
-5.87393697,8.12048586,0.03865974,1.01819004,0.03049873,0.00000000,3.14442853,3.42320467,0.06125310,3.99632492
-5.86793397,8.18912985,0.03891321,1.03148877,0.03100756,0.00000000,3.18752879,3.43994824,0.06202677,4.01905867
-5.86193097,8.23892405,0.03909746,1.04223213,0.03148749,0.00000000,3.22289904,3.44709921,0.06277889,4.03265069
-5.85592796,8.26974486,0.03921028,1.05032831,0.03193558,0.00000000,3.25032337,3.44471945,0.06351324,4.03722616
-5.84992496,8.28173683,0.03925042,1.05572857,0.03234931,0.00000000,3.26970848,3.43302534,0.06423361,4.03302715
-5.84392196,8.27531281,0.03921770,1.05842856,0.03272664,0.00000000,3.28108757,3.41238366,0.06494354,4.02040846
-5.83791896,8.25114924,0.03911324,1.05846852,0.03306618,0.00000000,3.28462192,3.38330389,0.06564605,3.99983213
-5.83191596,8.21017734,0.03893953,1.05593213,0.03336718,0.00000000,3.28060021,3.34642704,0.06634352,3.97186117
-5.82591296,8.15357029,0.03870053,1.05094447,0.03362970,0.00000000,3.26943560,3.30251191,0.06703753,3.93715254
-5.81990995,8.08272732,0.03840182,1.04366892,0.03385462,0.00000000,3.25166075,3.25241902,0.06772887,3.89644959
-5.81390695,7.99925495,0.03805055,1.03430350,0.03404372,0.00000000,3.22792077,3.19709309,0.06841757,3.85057403
-5.80790395,7.90494597,0.03765548,1.02307669,0.03419973,0.00000000,3.19896430,3.13754466,0.06910308,3.80041752
-5.80190095,7.80175635,0.03722692,1.01024294,0.03432636,0.00000000,3.16563273,3.07483140,0.06978443,3.74693258
-5.79589795,7.69178018,0.03677661,0.99607803,0.03442831,0.00000000,3.12884764,3.01003959,0.07046055,3.69112290
-5.78989495,7.57722260,0.03631759,0.98087454,0.03451123,0.00000000,3.08959647,2.94426620,0.07113053,3.63403255
-5.78389195,7.46037037,0.03586397,0.96493723,0.03458170,0.00000000,3.04891641,2.87860182,0.07179394,3.57673384
-5.77788894,7.34355981,0.03543065,0.94857865,0.03464712,0.00000000,3.00787650,2.81411440,0.07245114,3.52031357
