energy_ev,total_up,C_s_up,C_p_up,Pd_p_up,Pd_d_up,Sc_p_up,Sc_d_up,Se_s_up,Se_p_up
-6.00000000,4.11618436,0.02774699,0.08886602,1.62701048,2.54581852,0.57276795,0.21041580,0.00777843,1.41539734
-5.99399700,4.14216833,0.02759949,0.09306408,1.62274874,2.58073861,0.56935492,0.20709021,0.00780292,1.40800696
-5.98799400,4.16263482,0.02740142,0.09723296,1.61811999,2.61187252,0.56535669,0.20346879,0.00783790,1.39863851
-5.98199100,4.17759024,0.02715146,0.10133228,1.61352460,2.63901746,0.56080590,0.19960587,0.00788049,1.38746912
-5.97598799,4.18703142,0.02684860,0.10532558,1.60933301,2.66197011,0.55572798,0.19555499,0.00792766,1.37467079
-5.96998499,4.19094905,0.02649223,0.10918163,1.60587832,2.68053317,0.55014219,0.19136778,0.00797625,1.36040675
-5.96398199,4.18933445,0.02608221,0.11287556,1.60345090,2.69452385,0.54406348,0.18709324,0.00802314,1.34482943
-5.95797899,4.18218944,0.02561906,0.11638982,1.60229507,2.70378386,0.53750487,0.18277717,0.00806530,1.32807973
-5.95197599,4.16953820,0.02510400,0.11971478,1.60260761,2.70819020,0.53048033,0.17846191,0.00809985,1.31028770
-5.94597299,4.15144049,0.02453903,0.12284910,1.60453811,2.70766616,0.52300777,0.17418644,0.00812418,1.29157434
-5.93996998,4.12800490,0.02392706,0.12579970,1.60819080,2.70219159,0.51511206,0.16998651,0.00813600,1.27205435
-5.93396698,4.09940132,0.02327191,0.12858147,1.61362771,2.69181186,0.50682765,0.16589517,0.00813336,1.25183944
-5.92796398,4.06587159,0.02257839,0.13121661,1.62087294,2.67664470,0.49820083,0.16194325,0.00811471,1.23104198
-5.92196098,4.02773753,0.02185229,0.13373378,1.62991779,2.65688458,0.48929132,0.15816000,0.00807893,1.20977866
-5.91595798,3.98540574,0.02110038,0.13616701,1.64072649,2.63280406,0.48017315,0.15457380,0.00802531,1.18817390
-5.90995498,3.93936897,0.02033040,0.13855451,1.65324252,2.60475217,0.47093483,0.15121273,0.00795358,1.16636267
-5.90395198,3.89020378,0.01955101,0.14093740,1.66739507,2.57314966,0.46167867,0.14810521,0.00786386,1.14449267
