energy_ev,total_up,Ag_p_up,Ag_d_up,N_s_up,N_p_up,Se_s_up,Se_p_up
-6.00000000,2.72575063,0.45120152,1.44468840,0.00164103,0.43250579,0.04037307,0.27438056
-5.99399700,2.76068894,0.46180825,1.46021729,0.00189853,0.43523439,0.04224601,0.28836137
-5.98799400,2.81274753,0.47685278,1.48310808,0.00219790,0.44044302,0.04437381,0.30613256
-5.98199100,2.88452780,0.49686366,1.51463971,0.00254183,0.44853395,0.04680228,0.32802828
-5.97598799,2.97846172,0.52232383,1.55602872,0.00293266,0.45988346,0.04957528,0.35434095
-5.96998499,3.09672819,0.55365356,1.60838924,0.00337223,0.47482968,0.05273276,0.38530831
-5.96398199,3.24116455,0.59119253,1.67269012,0.00386173,0.49365977,0.05630864,0.42110006
-5.95797899,3.41317629,0.63518144,1.74971059,0.00440154,0.51659675,0.06032865,0.46180435
-5.95197599,3.61364861,0.68574397,1.83999643,0.00499109,0.54378661,0.06480844,0.50741484
-5.94597299,3.84286428,0.74286992,1.94381871,0.00562877,0.57528630,0.06975174,0.55781885
-5.93996998,4.10043251,0.80640047,2.06113758,0.00631181,0.61105325,0.07514893,0.61278756
-5.93396698,4.38523367,0.87601665,2.19157339,0.00703630,0.65093721,0.08097597,0.67196871
-5.92796398,4.69538453,0.95123193,2.33438767,0.00779710,0.69467505,0.08719386,0.73488287
-5.92196098,5.02822832,1.03138987,2.48847594,0.00858799,0.74188919,0.09374863,0.80092361
-5.91595798,5.38035281,1.11566761,2.65237414,0.00940165,0.79209008,0.10057192,0.86936242
-5.90995498,5.74763870,1.20308575,2.82427984,0.01022992,0.84468318,0.10758223,0.93935841
-5.90395198,6.12533914,1.29252486,3.00208850,0.01106390,0.89898047,0.11468671,1.00997311
-5.89794897,6.50818944,1.38274859,3.18344467,0.01189424,0.95421650,0.12178355,1.08019014
-5.89194597,6.89054465,1.47243290,3.36580671,0.01271137,1.00956846,0.12876487,1.14893938
-5.88594297,7.26654069,1.56020078,3.54652320,0.01350577,1.06417987,0.13551993,1.21512480
-5.87993997,7.63027325,1.64466109,3.72291800,0.01426830,1.11718688,0.14193865,1.27765520
-5.87393697,7.97598755,1.72445040,3.89238075,0.01499047,1.16774622,0.14791523,1.33547651
-5.86793397,8.29827065,1.79827586,4.05245857,0.01566466,1.21506363,0.15335167,1.38760446
-5.86193097,8.59223780,1.86495747,4.20094504,0.01628438,1.25842142,0.15816113,1.43315608
-5.85592796,8.85370408,1.92346785,4.33596177,0.01684446,1.29720389,0.16227089,1.47137867
-5.84992496,9.07933304,1.97296754,4.45602895,0.01734114,1.33091946,0.16562479,1.50167496
-5.84392196,9.26675494,2.01283435,4.56012090,0.01777214,1.35921824,0.16818510,1.52362311
