energy_ev,total_up,C_s_up,C_p_up,Na_s_up,S_s_up,S_p_up,W_p_up,W_d_up
-6.00000000,3.11277541,0.02757968,0.45473462,0.14885246,0.06619004,1.25359559,1.96539305,0.81265018
-5.99399700,3.04617685,0.02899348,0.42354821,0.15695011,0.06636794,1.25101917,1.89994597,0.78361103
-5.98799400,2.99365426,0.03041270,0.39449062,0.16474491,0.06667721,1.25292155,1.84475845,0.75953070
-5.98199100,2.95484811,0.03181352,0.36769098,0.17205168,0.06708966,1.25885361,1.80029937,0.74044050
-5.97598799,2.92931694,0.03317313,0.34326366,0.17869761,0.06757615,1.26834737,1.76697797,0.72633476
-5.96998499,2.91657671,0.03447036,0.32130942,0.18452679,0.06810766,1.28093821,1.74515857,0.71717873
-5.96398199,2.91614504,0.03568622,0.30191760,0.18940441,0.06865644,1.29618826,1.73517994,0.71291805
-5.95797899,2.92758757,0.03680450,0.28516928,0.19322049,0.06919724,1.31370955,1.73737756,0.71348937
-5.95197599,2.95056325,0.03781218,0.27114086,0.19589299,0.06970847,1.33318581,1.75210663,0.71883124
-5.94597299,2.98486547,0.03869977,0.25990768,0.19737016,0.07017325,1.35439132,1.77976361,0.72889459
-5.93996998,3.03045568,0.03946153,0.25154729,0.19763186,0.07058029,1.37720578,1.82080378,0.74365185
-5.93396698,3.08748638,0.04009559,0.24614185,0.19668994,0.07092451,1.40162379,1.87575263,0.76310406
-5.92796398,3.15631102,0.04060387,0.24377939,0.19458746,0.07120736,1.42775816,1.94520895,0.78728500
-5.92196098,3.23747865,0.04099190,0.24455344,0.19139690,0.07143684,1.45583628,2.02983797,0.81626194
-5.91595798,3.33171188,0.04126853,0.24856098,0.18721732,0.07162714,1.48618924,2.13035326,0.85013226
-5.90995498,3.43986801,0.04144545,0.25589850,0.18217063,0.07179792,1.51923361,2.24748686,0.88901602
-5.90395198,3.56288347,0.04153667,0.26665618,0.17639706,0.07197329,1.55544650,2.38194766,0.93304404
-5.89794897,3.70170331,0.04155789,0.28091042,0.17005009,0.07218049,1.59533441,2.53436902,0.98234207
-5.89194597,3.85719816,0.04152577,0.29871490,0.16329101,0.07244830,1.63939725,2.70524699,1.03701132
-5.88594297,4.03007191,0.04145722,0.32009063,0.15628329,0.07280531,1.68808899,2.89487184,1.09710618
-5.87993997,4.22076461,0.04136861,0.34501542,0.14918710,0.07327815,1.74177671,3.10325565,1.16261017
-5.87393697,4.42935515,0.04127508,0.37341345,0.14215412,0.07388960,1.80070004,3.33005987,1.23341128
-5.86793397,4.65546927,0.04118981,0.40514549,0.13532281,0.07465701,1.86493323,3.57452675,1.30927814
-5.86193097,4.89819815,0.04112346,0.44000038,0.12881441,0.07559068,1.93435175,3.83541904,1.38983845
-5.85592796,5.15603307,0.04108358,0.47768856,0.12272974,0.07669268,2.00860581,4.11097230,1.47456125
-5.84992496,5.42682104,0.04107432,0.51783803,0.11714692,0.07795600,2.08710221,4.39886376,1.56274431
-5.84392196,5.70774550,0.04109612,0.55999340,0.11211997,0.07936399,2.16899638,4.69620152,1.65350816
-5.83791896,5.99533550,0.04114564,0.60361822,0.10767852,0.08089042,2.25319548,4.99953665,1.74579751
-5.83191596,6.28550500,0.04121585,0.64810096,0.10382831,0.08249985,2.33837313,5.30490021,1.83839098
-5.82591296,6.57362299,0.04129626,0.69276466,0.10055265,0.08414853,2.42299588,5.60786570,1.92991934
-5.81990995,6.85461327,0.04137334,0.73687990,0.09781461,0.08578569,2.50536074,5.90363637,2.01889209
-5.81390695,7.12308095,0.04143102,0.77968111,0.09555980,0.08735525,2.58364248,6.18715531,2.10373192
-5.80790395,7.37346180,0.04145140,0.82038538,0.09371972,0.08879772,2.65594922,6.45323501,2.18281574
-5.80190095,7.60018831,0.04141550,0.85821330,0.09221535,0.09005244,2.72038369,6.69670173,2.25452106
-5.79589795,7.79786604,0.04130403,0.89241090,0.09096094,0.09105986,2.77510784,6.91254919,2.31727564
-5.78989495,7.96145240,0.04109831,0.92227191,0.08986783,0.09176381,2.81840786,7.09609505,2.36960838
-5.78389195,8.08643002,0.04078103,0.94715934,0.08884804,0.09211368,2.84875645,7.24313345,2.41019918
-5.77788894,8.16896663,0.04033707,0.96652534,0.08781768,0.09206648,2.86486976,7.35007678,2.43792536
-5.77188594,8.20605398,0.03975416,0.97992867,0.08669986,0.09158844,2.86575608,7.41407992,2.45190259
-5.76588294,8.19561933,0.03902346,0.98704880,0.08542723,0.09065641,2.85075411,7.43314139,2.45151811
-5.75987994,8.13660418,0.03814000,0.98769605,0.08394385,0.08925869,2.81955906,7.40617633,2.43645482
-5.75387694,8.02900654,0.03710289,0.98181740,0.08220658,0.08739551,2.77223534,7.33305794,2.40670501
-5.74787394,7.87388502,0.03591544,0.96949759,0.08018579,0.08507897,2.70921547,7.21462546,2.36257292
-5.74187094,7.67332472,0.03458506,0.95095559,0.07786551,0.08233256,2.63128540,7.05265833,2.30466623
-5.73586793,7.43036686,0.03312301,0.92653654,0.07524311,0.07919023,2.53955706,6.84981778,2.23387681
-5.72986493,7.14890596,0.03154397,0.89669963,0.07232833,0.07569512,2.43542981,6.60955893,2.15135172
-5.72386193,6.83355965,0.02986552,0.86200248,0.06914210,0.07189803,2.32054268,6.33601750,2.05845594
-5.71785893,6.48951754,0.02810753,0.82308276,0.06571489,0.06785559,2.19671986,6.03387653,1.95672859
-5.71185593,6.12237639,0.02629142,0.78063782,0.06208487,0.06362842,2.06591209,5.70821928,1.84783478
-5.70585293,5.73796897,0.02443949,0.73540335,0.05829598,0.05927919,1.93013670,5.36437486,1.73351518
-5.69984992,5.34219422,0.02257414,0.68813182,0.05439593,0.05487083,1.79141881,5.00776311,1.61553568
-5.69384692,4.94085561,0.02071725,0.63957171,0.05043423,0.05046477,1.65173640,4.64374524,1.49563905
-5.68784392,4.53951398,0.01888953,0.59044817,0.04646037,0.04611947,1.51297107,4.27748563,1.37550071
-5.68184092,4.14335988,0.01710995,0.54144590,0.04252224,0.04188922,1.37686631,3.91382977,1.25668988
-5.67583792,3.75710930,0.01539540,0.49319461,0.03866468,0.03782317,1.24499450,3.55720202,1.14063762
