energy_ev,total_up,Ga_p_up,Ga_d_up,Te_p_up,Te_d_up,W_p_up,W_d_up
-6.00000000,0.84685347,0.13320391,0.00000000,0.38518743,0.00000000,0.39216935,0.25725356
-5.99399700,0.89444131,0.13730912,0.00000000,0.40882537,0.00000000,0.42224329,0.27674647
-5.98799400,0.95357181,0.14365457,0.00000000,0.43775796,0.00000000,0.45749732,0.29961008
-5.98199100,1.02371476,0.15217060,0.00000000,0.47175520,0.00000000,0.49777620,0.32565402
-5.97598799,1.10418609,0.16275512,0.00000000,0.51051475,0.00000000,0.54286301,0.35463440
-5.96998499,1.19414823,0.17527469,0.00000000,0.55366130,0.00000000,0.59247505,0.38625351
-5.96398199,1.29261292,0.18956605,0.00000000,0.60074692,0.00000000,0.64626018,0.42016094
-5.95797899,1.39844725,0.20543839,0.00000000,0.65125313,0.00000000,0.70379405,0.45595632
-5.95197599,1.51038374,0.22267630,0.00000000,0.70459476,0.00000000,0.76457867,0.49319420
-5.94597299,1.62703512,0.24104363,0.00000000,0.76012617,0.00000000,0.82804284,0.53139097
-5.93996998,1.74691444,0.26028818,0.00000000,0.81714995,0.00000000,0.89354470,0.57003409
-5.93396698,1.86846046,0.28014730,0.00000000,0.87492817,0.00000000,0.96037698,0.60859344
-5.92796398,1.99006847,0.30035437,0.00000000,0.93269627,0.00000000,1.02777483,0.64653472
-5.92196098,2.11012585,0.32064594,0.00000000,0.98967926,0.00000000,1.09492654,0.68333442
-5.91595798,2.22705160,0.34076941,0.00000000,1.04510984,0.00000000,1.16098696,0.71849596
-5.90995498,2.33933853,0.36049110,0.00000000,1.09824795,0.00000000,1.22509344,0.75156635
-5.90395198,2.44559669,0.37960415,0.00000000,1.14840105,0.00000000,1.28638385,0.78215269
-5.89794897,2.54459604,0.39793612,0.00000000,1.19494428,0.00000000,1.34401610,0.80993759
-5.89194597,2.63530658,0.41535587,0.00000000,1.23733954,0.00000000,1.39718862,0.83469290
-5.88594297,2.71693371,0.43177923,0.00000000,1.27515274,0.00000000,1.44516090,0.85629074
-5.87993997,2.78894690,0.44717317,0.00000000,1.30806814,0.00000000,1.48727340,0.87471123
-5.87393697,2.85109992,0.46155812,0.00000000,1.33589899,0.00000000,1.52296583,0.89004621
-5.86793397,2.90344087,0.47500811,0.00000000,1.35859384,0.00000000,1.55179309,0.90249859
-5.86193097,2.94631105,0.48764862,0.00000000,1.37623784,0.00000000,1.57343813,0.91237686
-5.85592796,2.98033193,0.49965188,0.00000000,1.38904886,0.00000000,1.58772098,0.92008488
-5.84992496,3.00637999,0.51122987,0.00000000,1.39736814,0.00000000,1.59460348,0.92610707
-5.84392196,3.02555011,0.52262488,0.00000000,1.40164590,0.00000000,1.59418952,0.93098934
-5.83791896,3.03910843,0.53409808,0.00000000,1.40242207,0.00000000,1.58672039,0.93531652
-5.83191596,3.04843635,0.54591654,0.00000000,1.40030306,0.00000000,1.57256567,0.93968705
-5.82591296,3.05496800,0.55833892,0.00000000,1.39593538,0.00000000,1.55220967,0.94468607
-5.81990995,3.06012371,0.57160081,0.00000000,1.38997719,0.00000000,1.52623416,0.95085797
-5.81390695,3.06524249,0.58590006,0.00000000,1.38306921,0.00000000,1.49529796,0.95867981
-5.80790395,3.07151675,0.60138306,0.00000000,1.37580612,0.00000000,1.46011436,0.96853669
-5.80190095,3.07993242,0.61813255,0.00000000,1.36870999,0.00000000,1.42142724,0.98070051
-5.79589795,3.09121766,0.63615773,0.00000000,1.36220698,0.00000000,1.37998711,0.99531310
-5.78989495,3.10580277,0.65538728,0.00000000,1.35660847,0.00000000,1.33652788,1.01237479
-5.78389195,3.12379393,0.67566583,0.00000000,1.35209777,0.00000000,1.29174571,1.03173909
-5.77788894,3.14496217,0.69675416,0.00000000,1.34872299,0.00000000,1.24628048,1.05311396
-5.77188594,3.16874884,0.71833351,0.00000000,1.34639662,0.00000000,1.20070103,1.07606987
-5.76588294,3.19428762,0.74001381,0.00000000,1.34490198,0.00000000,1.15549443,1.10005444
-5.75987994,3.22044246,0.76134579,0.00000000,1.34390620,0.00000000,1.11105981,1.12441322
-5.75387694,3.24586004,0.78183646,0.00000000,1.34297937,0.00000000,1.06770687,1.14841569
-5.74787394,3.26903423,0.80096741,0.00000000,1.34161869,0.00000000,1.02565880,1.17128558
-5.74187094,3.28837990,0.81821511,0.00000000,1.33927674,0.00000000,0.98505936,1.19223396
-5.73586793,3.30231225,0.83307239,0.00000000,1.33539226,0.00000000,0.94598354,1.21049374
-5.72986493,3.30932805,0.84507007,0.00000000,1.32942208,0.00000000,0.90845088,1.22535402
-5.72386193,3.30808462,0.85379768,0.00000000,1.32087246,0.00000000,0.87244082,1.23619255
