energy_ev,total_up,Ag_p_up,Ag_d_up,C_s_up,C_p_up,Hg_p_up,Hg_d_up,Te_p_up,Te_d_up
-2.52426213,1.76600469,0.92405797,0.21210050,0.08980181,0.35479679,0.89132694,0.09362546,0.70516985,0.00000000
-2.51825913,1.80971367,0.96098075,0.21690345,0.09211364,0.36375540,0.91077775,0.09587969,0.72259923,0.00000000
-2.51225613,1.85054525,0.99614208,0.22106948,0.09429501,0.37235189,0.92728333,0.09817348,0.73764151,0.00000000
-2.50625313,1.88785157,1.02901774,0.22453375,0.09635021,0.38035884,0.94040804,0.10048675,0.75005599,0.00000000
-2.50025013,1.92111479,1.05915184,0.22725177,0.09828946,0.38756685,0.94979827,0.10280508,0.75967471,0.00000000
-2.49424712,1.94996107,1.08616743,0.22920051,0.10012842,0.39379028,0.95519370,0.10511983,0.76640835,0.00000000
-2.48824412,1.97416825,1.10977430,0.23037881,0.10188716,0.39887211,0.95643515,0.10742803,0.77024914,0.00000000
-2.48224112,1.99366709,1.12977404,0.23080686,0.10358905,0.40268755,0.95346856,0.10973186,0.77127059,0.00000000
-2.47623812,2.00853623,1.14606211,0.23052486,0.10525930,0.40514650,0.94634530,0.11203790,0.76962413,0.00000000
-2.47023512,2.01899120,1.15862714,0.22959097,0.10692342,0.40619470,0.93521858,0.11435616,0.76553286,0.00000000
-2.46423212,2.02536840,1.16754747,0.22807862,0.10860569,0.40581361,0.92033658,0.11669891,0.75928259,0.00000000
-2.45822911,2.02810479,1.17298534,0.22607327,0.11032756,0.40401919,0.90203243,0.11907936,0.75121084,0.00000000
-2.45222611,2.02771465,1.17517911,0.22366897,0.11210639,0.40085957,0.88071181,0.12151043,0.74169414,0.00000000
-2.44622311,2.02476463,1.17443385,0.22096456,0.11395428,0.39641187,0.85683872,0.12400337,0.73113437,0.00000000
-2.44022011,2.01984829,1.17111083,0.21806014,0.11587735,0.39077833,0.83092010,0.12656668,0.71994475,0.00000000
-2.43421711,2.01356165,1.16561654,0.21505347,0.11787533,0.38408196,0.80349008,0.12920507,0.70853606,0.00000000
