energy_ev,total_up,total_down,Ni_p_up,Ni_p_down,Ni_d_up,Ni_d_down,S_s_up,S_s_down,S_p_up,S_p_down,Si_p_up,Si_p_down,Si_d_up,Si_d_down
-6.00000000,1.23096774,-0.80193403,0.27339222,-0.17724005,0.33518612,-0.21828042,0.01644639,-0.01258389,0.23987155,-0.15009833,0.38948987,-0.25685038,0.00000000,-0.00000000
-5.99399700,1.34898433,-0.89451361,0.30564495,-0.20177921,0.37002158,-0.24540920,0.01727371,-0.01335311,0.25998855,-0.16555957,0.42998642,-0.28882385,0.00000000,-0.00000000
-5.98799400,1.47346382,-0.99548056,0.34051956,-0.22908933,0.40707767,-0.27519546,0.01809530,-0.01414903,0.28079021,-0.18217152,0.47308571,-0.32394221,0.00000000,-0.00000000
-5.98199100,1.60387870,-1.10494012,0.37796922,-0.25928774,0.44622868,-0.30769697,0.01890464,-0.01496968,0.30214161,-0.19991193,0.51864483,-0.36227613,0.00000000,-0.00000000
-5.97598799,1.73953635,-1.22284216,0.41789044,-0.29245076,0.48729537,-0.34292557,0.01969471,-0.01581204,0.32388647,-0.21873295,0.56645810,-0.40384201,0.00000000,-0.00000000
-5.96998499,1.87957562,-1.34895907,0.46011769,-0.32860478,0.53004229,-0.38083961,0.02045813,-0.01667189,0.34584891,-0.23855901,0.61625385,-0.44859306,0.00000000,-0.00000000
-5.96398199,2.02296816,-1.48286682,0.50441934,-0.36771752,0.57417669,-0.42133728,0.02118735,-0.01754380,0.36783597,-0.25928540,0.66769279,-0.49641121,0.00000000,-0.00000000
-5.95797899,2.16852520,-1.62393028,0.55049538,-0.40969027,0.61934890,-0.46425093,0.02187495,-0.01842119,0.38964090,-0.28077777,0.72036839,-0.54710029,0.00000000,-0.00000000
-5.95197599,2.31491013,-1.77129409,0.59797716,-0.45435119,0.66515484,-0.50934308,0.02251386,-0.01929639,0.41104722,-0.30287259,0.77380951,-0.60038109,0.00000000,-0.00000000
-5.94597299,2.46065721,-1.92388007,0.64642965,-0.50145045,0.71114043,-0.55630419,0.02309769,-0.02016086,0.43183339,-0.32537883,0.82748536,-0.65588860,0.00000000,-0.00000000
-5.93996998,2.60419644,-2.08039202,0.69535618,-0.55065744,0.75680819,-0.60475269,0.02362097,-0.02100537,0.45177806,-0.34808069,0.88081313,-0.71317186,0.00000000,-0.00000000
-5.93396698,2.74388443,-2.23932874,0.74420603,-0.60156058,0.80162603,-0.65423759,0.02407948,-0.02182032,0.47066575,-0.37074156,0.93316807,-0.77169679,0.00000000,-0.00000000
-5.92796398,2.87804065,-2.39900540,0.79238464,-0.65367002,0.84503807,-0.70424365,0.02447047,-0.02259611,0.48829288,-0.39310907,0.98389604,-0.83085219,0.00000000,-0.00000000
-5.92196098,3.00498832,-2.55758349,0.83926654,-0.70642344,0.88647731,-0.75419936,0.02479291,-0.02332346,0.50447377,-0.41492114,1.03232834,-0.88995909,0.00000000,-0.00000000
-5.91595798,3.12309882,-2.71310896,0.88421047,-0.75919518,0.92537974,-0.80348774,0.02504766,-0.02399386,0.51904664,-0.43591293,1.07779827,-0.94828326,0.00000000,-0.00000000
-5.90995498,3.23083809,-2.86355768,0.92657643,-0.81130845,0.96119970,-0.85145956,0.02523755,-0.02459996,0.53187920,-0.45582443,1.11965915,-1.00505094,0.00000000,-0.00000000
-5.90395198,3.32681327,-3.00688714,0.96574395,-0.86205060,0.99342559,-0.89744896,0.02536746,-0.02513593,0.54287370,-0.47440837,1.15730296,-1.05946722,0.00000000,-0.00000000
-5.89794897,3.40981786,-3.14109276,1.00113102,-0.91069104,1.02159559,-0.94079080,0.02544423,-0.02559782,0.55197110,-0.49143833,1.19017899,-1.11073665,0.00000000,-0.00000000
-5.89194597,3.47887310,-3.26426687,1.03221270,-0.95650116,1.04531265,-0.98083933,0.02547660,-0.02598383,0.55915416,-0.50671658,1.21781172,-1.15808543,0.00000000,-0.00000000
-5.88594297,3.53326363,-3.37465806,1.05853870,-0.99877564,1.06425791,-1.01698734,0.02547491,-0.02629452,0.56444931,-0.52008135,1.23981701,-1.20078435,0.00000000,-0.00000000
-5.87993997,3.57256551,-3.47072846,1.07974907,-1.03685438,1.07820210,-1.04868517,0.02545088,-0.02653293,0.56792693,-0.53141318,1.25591588,-1.23817151,0.00000000,-0.00000000
-5.87393697,3.59666467,-3.55120641,1.09558708,-1.07014388,1.08701409,-1.07545866,0.02541718,-0.02670457,0.56970004,-0.54064007,1.26594510,-1.26967397,0.00000000,-0.00000000
-5.86793397,3.60576461,-3.61513197,1.10590870,-1.09813744,1.09066620,-1.09692528,0.02538701,-0.02681734,0.56992135,-0.54774104,1.26986395,-1.29482728,0.00000000,-0.00000000
-5.86193097,3.60038226,-3.66189286,1.11068802,-1.12043291,1.08923580,-1.11280757,0.02537358,-0.02688128,0.56877848,-0.55274795,1.26775669,-1.31329188,0.00000000,-0.00000000
-5.85592796,3.58133164,-3.69124889,1.11001825,-1.13674729,1.08290311,-1.12294330,0.02538959,-0.02690828,0.56648769,-0.55574531,1.25983047,-1.32486568,0.00000000,-0.00000000
-5.84992496,3.54969559,-3.70334321,1.10410815,-1.14692723,1.07194499,-1.12729162,0.02544665,-0.02691163,0.56328603,-0.55686803,1.24640859,-1.32949195,0.00000000,-0.00000000
-5.84392196,3.50678643,-3.69869927,1.09327395,-1.15095497,1.05672513,-1.12593494,0.02555474,-0.02690548,0.55942238,-0.55629704,1.22791937,-1.32726210,0.00000000,-0.00000000
-5.83791896,3.45409707,-3.67820333,1.07792698,-1.14894916,1.03768084,-1.11907622,0.02572169,-0.02690429,0.55514760,-0.55425298,1.20488095,-1.31841305,0.00000000,-0.00000000
-5.83191596,3.39324462,-3.64307257,1.05855774,-1.14116048,1.01530712,-1.10703175,0.02595269,-0.02692215,0.55070426,-0.55098795,1.17788279,-1.30331917,0.00000000,-0.00000000
-5.82591296,3.32590912,-3.59481020,1.03571698,-1.12796219,0.99013875,-1.09021961,0.02624993,-0.02697216,0.54631637,-0.54677582,1.14756457,-1.28247904,0.00000000,-0.00000000
-5.81990995,3.25377035,-3.53514898,1.00999474,-1.10983583,0.96273119,-1.06914432,0.02661230,-0.02706576,0.54217967,-0.54190134,1.11459367,-1.25649760,0.00000000,-0.00000000
-5.81390695,3.17844568,-3.46598585,0.98199846,-1.08735291,0.93364125,-1.04437831,0.02703525,-0.02721211,0.53845291,-0.53664855,1.07964203,-1.22606435,0.00000000,-0.00000000
-5.80790395,3.10143221,-3.38931053,0.95233116,-1.06115321,0.90340851,-1.01654111,0.02751077,-0.02741759,0.53525067,-0.53128899,1.04336379,-1.19192871,0.00000000,-0.00000000
-5.80190095,3.02405606,-3.30713127,0.92157069,-1.03192084,0.87253829,-0.98627717,0.02802748,-0.02768531,0.53263810,-0.52607033,1.00637459,-1.15487354,0.00000000,-0.00000000
-5.79589795,2.94743128,-3.22140138,0.89025119,-1.00035924,0.84148716,-0.95423340,0.02857100,-0.02801484,0.53062788,-0.52120579,0.96923350,-1.11568816,0.00000000,-0.00000000
-5.78989495,2.87243063,-3.13395006,0.85884751,-0.96716610,0.81065135,-0.92103746,0.02912427,-0.02840204,0.52917974,-0.51686513,0.93242850,-1.07514204,0.00000000,-0.00000000
-5.78389195,2.79966933,-3.04642067,0.82776329,-0.93300965,0.78035894,-0.88727781,0.02966820,-0.02883902,0.52820254,-0.51316743,0.89636601,-1.03396039,0.00000000,-0.00000000
-5.77788894,2.72950258,-2.96021953,0.79732310,-0.89850720,0.75086570,-0.85348648,0.03018229,-0.02931435,0.52755889,-0.51017628,0.86136489,-0.99280275,0.00000000,-0.00000000
-5.77188594,2.66203674,-2.87647745,0.76776896,-0.86420702,0.72235494,-0.82012521,0.03064543,-0.02981334,0.52707220,-0.50789749,0.82765495,-0.95224551,0.00000000,-0.00000000
-5.76588294,2.59715310,-2.79602580,0.73926111,-0.83057421,0.69494102,-0.78757566,0.03103668,-0.03031856,0.52653582,-0.50627955,0.79537990,-0.91276903,0.00000000,-0.00000000
-5.75987994,2.53454278,-2.71938783,0.71188281,-0.79798122,0.66867622,-0.75613385,0.03133612,-0.03081047,0.52572376,-0.50521690,0.76460438,-0.87474974,0.00000000,-0.00000000
-5.75387694,2.47375046,-2.64678541,0.68564860,-0.76670311,0.64356044,-0.72600903,0.03152568,-0.03126812,0.52440265,-0.50455577,0.73532426,-0.83845753,0.00000000,-0.00000000
-5.74787394,2.41422428,-2.57816038,0.66051547,-0.73691767,0.61955297,-0.69732689,0.03158986,-0.03167002,0.52234410,-0.50410249,0.70747981,-0.80405815,0.00000000,-0.00000000
-5.74187094,2.35536901,-2.51320892,0.63639606,-0.70871014,0.59658558,-0.67013648,0.03151643,-0.03199500,0.51933708,-0.50363369,0.68097043,-0.77162032,0.00000000,-0.00000000
