energy_ev,total_up,N_s_up,N_p_up,Ni_p_up,Ni_d_up,Pd_p_up,Pd_d_up,S_s_up,S_p_up
-6.00000000,5.07625196,0.01228453,0.47887654,0.98611652,1.02028807,1.47729662,1.81105026,0.00701332,2.04246758
-5.99399700,5.08732223,0.01236057,0.48572212,0.98544843,1.02270793,1.47279885,1.82079007,0.00684015,2.03854951
-5.98799400,5.07883026,0.01236035,0.49077171,0.98089770,1.02093222,1.46145809,1.82374768,0.00668390,2.02663372
-5.98199100,5.05080576,0.01228368,0.49394109,0.97257335,1.01489760,1.44359406,1.81984673,0.00653957,2.00687700
-5.97598799,5.00355559,0.01213183,0.49517349,0.96062971,1.00461719,1.41964083,1.80909757,0.00640268,1.97954431
-5.96998499,4.93766150,0.01190751,0.49444161,0.94526295,0.99018212,1.39013661,1.79159892,0.00626941,1.94500382
-5.96398199,4.85397390,0.01161481,0.49174914,0.92670755,0.97176118,1.35571196,1.76753851,0.00613673,1.90372087
-5.95797899,4.75360183,0.01125907,0.48713161,0.90523283,0.94959860,1.31707683,1.73719243,0.00600253,1.85625098
-5.95197599,4.63789939,0.01084672,0.48065666,0.88113961,0.92400997,1.27500683,1.70092342,0.00586564,1.80323201
-5.94597299,4.50844873,0.01038512,0.47242358,0.85475696,0.89537658,1.23032919,1.65917783,0.00572583,1.74537566
-5.93996998,4.36703970,0.00988238,0.46256233,0.82643891,0.86413818,1.18390853,1.61248138,0.00558386,1.68345826
-5.93396698,4.21564612,0.00934706,0.45123181,0.79656110,0.83078442,1.13663292,1.56143344,0.00544135,1.61831081
-5.92796398,4.05639889,0.00878806,0.43861757,0.76551717,0.79584528,1.08940035,1.50669996,0.00530074,1.55080835
-5.92196098,3.89155577,0.00821430,0.42492890,0.73371480,0.75988047,1.04310568,1.44900494,0.00516519,1.48185839
-5.91595798,3.72346809,0.00763457,0.41039543,0.70157128,0.72346837,0.99862832,1.38912031,0.00503841,1.41238859
-5.90995498,3.55454454,0.00705732,0.39526322,0.66950847,0.68719441,0.95682054,1.32785443,0.00492456,1.34333348
-5.90395198,3.38721222,0.00649046,0.37979042,0.63794712,0.65163938,0.91849650,1.26603924,0.00482804,1.27562031
