energy_ev,total_up,Cu_p_up,Cu_d_up,Mg_p_up,Mg_d_up,N_s_up,N_p_up,Te_p_up,Te_d_up
-6.00000000,0.44787655,0.15710547,0.17108322,0.11373608,0.00000000,0.01253160,0.04912763,0.12508528,0.00000000
-5.99399700,0.49525914,0.17197045,0.19194307,0.12650392,0.00000000,0.01269453,0.05353194,0.13773143,0.00000000
-5.98799400,0.54713886,0.18834420,0.21541206,0.14022400,0.00000000,0.01277178,0.05842302,0.15155499,0.00000000
-5.98199100,0.60350030,0.20613955,0.24149809,0.15490300,0.00000000,0.01276272,0.06374484,0.16666282,0.00000000
-5.97598799,0.66431094,0.22526699,0.27019776,0.17053975,0.00000000,0.01266873,0.06943844,0.18316546,0.00000000
-5.96998499,0.72951853,0.24563603,0.30149428,0.18712476,0.00000000,0.01249317,0.07544256,0.20117424,0.00000000
-5.96398199,0.79904858,0.26715665,0.33535535,0.20464002,0.00000000,0.01224128,0.08169437,0.22079809,0.00000000
-5.95797899,0.87280177,0.28974061,0.37173128,0.22305883,0.00000000,0.01192002,0.08813024,0.24213984,0.00000000
-5.95197599,0.95065147,0.31330281,0.41055314,0.24234596,0.00000000,0.01153789,0.09468668,0.26529232,0.00000000
-5.94597299,1.03244126,0.33776224,0.45173129,0.26245774,0.00000000,0.01110461,0.10130131,0.29033418,0.00000000
-5.93996998,1.11798240,0.36304276,0.49515392,0.28334244,0.00000000,0.01063092,0.10791377,0.31732565,0.00000000
-5.93396698,1.20705130,0.38907340,0.54068595,0.30494056,0.00000000,0.01012815,0.11446663,0.34630438,0.00000000
-5.92796398,1.29938689,0.41578813,0.58816803,0.32718520,0.00000000,0.00960801,0.12090622,0.37728141,0.00000000
-5.92196098,1.39468802,0.44312513,0.63741575,0.35000247,0.00000000,0.00908218,0.12718327,0.41023748,0.00000000
-5.91595798,1.49261074,0.47102537,0.68821906,0.37331169,0.00000000,0.00856203,0.13325340,0.44511982,0.00000000
-5.90995498,1.59276575,0.49943066,0.74034186,0.39702561,0.00000000,0.00805836,0.13907736,0.48183944,0.00000000
-5.90395198,1.69471601,0.52828121,0.79352180,0.42105053,0.00000000,0.00758112,0.14462110,0.52026919,0.00000000
-5.89794897,1.79797466,0.55751266,0.84747034,0.44528623,0.00000000,0.00713923,0.14985557,0.56024255,0.00000000
