energy_ev,total_up,C_s_up,C_p_up,Te_p_up,Te_d_up,W_p_up,W_d_up,Zn_p_up,Zn_d_up
-6.00000000,6.49068760,0.02219639,1.45641125,1.92139136,0.00000000,3.93296212,2.06852378,0.43515037,0.29905909
-5.99399700,6.48666027,0.02224586,1.44254626,1.92072022,0.00000000,3.87600356,2.09298655,0.44595857,0.29678652
-5.98799400,6.47714150,0.02248411,1.42647893,1.92026965,0.00000000,3.81958996,2.11547246,0.45595393,0.29351971
-5.98199100,6.46352055,0.02291494,1.40856878,1.92043741,0.00000000,3.76494270,2.13630489,0.46500293,0.28933152
-5.97598799,6.44704170,0.02354067,1.38915238,1.92151522,0.00000000,3.71300224,2.15578447,0.47297253,0.28430746
-5.96998499,6.42876810,0.02436178,1.36853646,1.92367971,0.00000000,3.66440859,2.17417410,0.47973422,0.27854341
-5.96398199,6.40955449,0.02537661,1.34699297,1.92698837,0.00000000,3.61949573,2.19168531,0.48516831,0.27214322
-5.95797899,6.39002946,0.02658113,1.32475591,1.93138031,0.00000000,3.57829975,2.20846685,0.48916801,0.26521603
-5.95197599,6.37058782,0.02796879,1.30202017,1.93668213,0.00000000,3.54057982,2.22459606,0.49164337,0.25787367
-5.94597299,6.35139333,0.02953046,1.27894208,1.94261821,0.00000000,3.50585080,2.24007378,0.49252466,0.25022803
-5.93996998,6.33239157,0.03125446,1.25564145,1.94882542,0.00000000,3.47342542,2.25482330,0.49176525,0.24238862
-5.93396698,6.31333250,0.03312670,1.23220507,1.95487142,0.00000000,3.44246427,2.26869366,0.48934372,0.23446034
-5.92796398,6.29380203,0.03513078,1.20869130,1.96027606,0.00000000,3.41203083,2.28146767,0.48526527,0.22654163
-5.92196098,6.27326126,0.03724823,1.18513541,1.96453500,0.00000000,3.38114937,2.29287434,0.47956229,0.21872292
-5.91595798,6.25109226,0.03945880,1.16155555,1.96714480,0.00000000,3.34886297,2.30260575,0.47229416,0.21108555
-5.90995498,6.22664849,0.04174071,1.13795888,1.96762843,0.00000000,3.31428945,2.31033760,0.46354640,0.20370111
-5.90395198,6.19930810,0.04407099,1.11434774,1.96556055,0.00000000,3.27667276,2.31575278,0.45342910,0.19663121
-5.89794897,6.16852807,0.04642577,1.09072550,1.96059130,0.00000000,3.23542819,2.31856702,0.44207487,0.18992764
-5.89194597,6.13389705,0.04878066,1.06710183,1.95246804,0.00000000,3.19017947,2.31855542,0.42963648,0.18363295
-5.88594297,6.09518479,0.05111106,1.04349735,1.94105404,0.00000000,3.14078680,2.31557864,0.41628407,0.17778121
-5.87993997,6.05238615,0.05339252,1.01994737,1.92634351,0.00000000,3.08736493,2.30960748,0.40220245,0.17239911
-5.87393697,6.00575778,0.05560107,0.99650460,1.90847239,0.00000000,3.03029083,2.30074448,0.38758818,0.16750712
-5.86793397,5.95584588,0.05771363,0.97324090,1.88772442,0.00000000,2.97020114,2.28924144,0.37264695,0.16312074
-5.86193097,5.90350358,0.05970834,0.95024793,1.86453223,0.00000000,2.90797971,2.27551167,0.35759094,0.15925173
-5.85592796,5.84989697,0.06156499,0.92763679,1.83947342,0.00000000,2.84473591,2.26013616,0.34263655,0.15590920
-5.84992496,5.79649916,0.06326537,0.90553664,1.81326153,0.00000000,2.78177485,2.24386306,0.32800228,0.15310058
-5.84392196,5.74507197,0.06479371,0.88409250,1.78673220,0.00000000,2.72056056,2.22759987,0.31390682,0.15083239
