energy_ev,total_up,Cr_p_up,Cr_d_up,Cu_p_up,Cu_d_up,N_s_up,N_p_up,S_s_up,S_p_up
-6.00000000,6.31703688,2.52321155,0.90081152,1.03189985,1.09066491,0.01489292,0.74240255,0.11380032,2.86667243
-5.99399700,6.31411945,2.51382090,0.90258981,1.04439064,1.11875984,0.01454488,0.76937586,0.11130810,2.82774647
-5.98799400,6.31729168,2.50558704,0.90540671,1.05895506,1.14853268,0.01419799,0.79799985,0.10883691,2.79055418
-5.98199100,6.32730780,2.49856514,0.90932024,1.07587881,1.18006530,0.01386161,0.82836582,0.10640887,2.75540801
-5.97598799,6.34477166,2.49277407,0.91433956,1.09541058,1.21341203,0.01354461,0.86053635,0.10404521,2.72256614
-5.96998499,6.37011792,2.48819826,0.92042336,1.11775250,1.24859592,0.01325517,0.89454024,0.10176574,2.69222836
-5.96398199,6.40359830,2.48479050,0.92748041,1.14305168,1.28560595,0.01300061,0.93036822,0.09958839,2.66453379
-5.95797899,6.44527374,2.48247573,0.93537220,1.17139329,1.32439551,0.01278720,0.96796986,0.09752885,2.63956077
-5.95197599,6.49501325,2.48115579,0.94391762,1.20279559,1.36488224,0.01262008,1.00725176,0.09560021,2.61732884
-5.94597299,6.55249985,2.48071510,0.95289961,1.23720701,1.40694929,0.01250319,1.04807732,0.09381278,2.59780311
-5.93996998,6.61724358,2.48102717,0.96207340,1.27450567,1.45044808,0.01243920,1.09026808,0.09217398,2.58090058
-5.93396698,6.68860099,2.48196164,0.97117612,1.31450130,1.49520245,0.01242957,1.13360662,0.09068830,2.56649846
-5.92796398,6.76580049,2.48339167,0.97993717,1.35693941,1.54101395,0.01247460,1.17784108,0.08935744,2.55444376
-5.92196098,6.84797202,2.48520117,0.98808912,1.40150771,1.58766802,0.01257344,1.22269099,0.08818046,2.54456385
-5.91595798,6.93417965,2.48729161,0.99537835,1.44784435,1.63494078,0.01272423,1.26785410,0.08715408,2.53667732
-5.90995498,7.02345518,2.48958776,1.00157518,1.49554760,1.68260591,0.01292422,1.31301413,0.08627294,2.53060431
-5.90395198,7.11483078,2.49204198,1.00648281,1.54418648,1.73044124,0.01316982,1.35784874,0.08553003,2.52617591
-5.89794897,7.20736885,2.49463655,1.00994478,1.59331190,1.77823467,0.01345678,1.40203755,0.08491702,2.52324168
-5.89194597,7.30018726,2.49738375,1.01185050,1.64246769,1.82578891,0.01378030,1.44526971,0.08442466,2.52167497
-5.88594297,7.39247856,2.50032337,1.01213871,1.69120101,1.87292492,0.01413508,1.48725063,0.08404315,2.52137558
-5.87993997,7.48352201,2.50351759,1.01079859,1.73907173,1.91948356,0.01451549,1.52770760,0.08376243,2.52226945
-5.87393697,7.57268809,2.50704325,1.00786861,1.78566040,1.96532565,0.01491563,1.56639409,0.08357248,2.52430540
-5.86793397,7.65943524,2.51098196,1.00343323,1.83057455,2.01033016,0.01532941,1.60309244,0.08346351,2.52744915
-5.86193097,7.74329962,2.51540832,0.99761756,1.87345317,2.05439097,0.01575065,1.63761515,0.08342614,2.53167495
-5.85592796,7.82387875,2.52037700,0.99058042,1.91396943,2.09741228,0.01617313,1.66980457,0.08345146,2.53695538
-5.84992496,7.90081091,2.52590949,0.98250617,1.95183168,2.13930314,0.01659067,1.69953141,0.08353106,2.54325011
-5.84392196,7.97375185,2.53198136,0.97359575,1.98678308,2.17997157,0.01699718,1.72669219,0.08365700,2.55049451
-5.83791896,8.04235118,2.53851093,0.96405743,2.01860011,2.21931882,0.01738679,1.75120597,0.08382171,2.55858885
-5.83191596,8.10623054,2.54535029,0.95409786,2.04709033,2.25723417,0.01775384,1.77301076,0.08401790,2.56738911
-5.82591296,8.16496545,2.55227950,0.94391379,2.07208991,2.29359086,0.01809301,1.79205995,0.08423838,2.57670019
-5.81990995,8.21807285,2.55900443,0.93368494,2.09346113,2.32824358,0.01839939,1.80831907,0.08447592,2.58627215
