energy_ev,total_up,Nb_p_up,Nb_d_up,P_s_up,P_p_up,Te_p_up,Te_d_up
-6.00000000,0.90519728,0.37800424,0.31429763,0.00297406,0.15417105,0.37975417,0.00000000
-5.99399700,0.95768783,0.38117248,0.33149603,0.00308026,0.15319165,0.41150687,0.00000000
-5.98799400,1.01377790,0.38682245,0.34982490,0.00321172,0.15333752,0.44452048,0.00000000
-5.98199100,1.07281920,0.39473136,0.36907069,0.00336719,0.15454228,0.47848097,0.00000000
-5.97598799,1.13407988,0.40461471,0.38898999,0.00354497,0.15671152,0.51304924,0.00000000
-5.96998499,1.19676192,0.41613666,0.40931601,0.00374297,0.15972702,0.54786704,0.00000000
-5.96398199,1.26002030,0.42892160,0.42976560,0.00395872,0.16345156,0.58256339,0.00000000
-5.95797899,1.32298331,0.44256666,0.45004669,0.00418946,0.16773396,0.61676155,0.00000000
-5.95197599,1.38477318,0.45665452,0.46986570,0.00443218,0.17241420,0.65008606,0.00000000
-5.94597299,1.44452613,0.47076623,0.48893483,0.00468366,0.17732853,0.68216972,0.00000000
-5.93996998,1.50141145,0.48449343,0.50697884,0.00494055,0.18231426,0.71266016,0.00000000
-5.93396698,1.55464862,0.49744973,0.52374112,0.00519939,0.18721419,0.74122592,0.00000000
-5.92796398,1.60352232,0.50928075,0.53898889,0.00545666,0.19188050,0.76756161,0.00000000
-5.92196098,1.64739464,0.51967273,0.55251745,0.00570885,0.19617805,0.79139238,0.00000000
-5.91595798,1.68571463,0.52835936,0.56415332,0.00595245,0.19998708,0.81247722,0.00000000
-5.90995498,1.71802490,0.53512680,0.57375633,0.00618404,0.20320512,0.83061152,0.00000000
-5.90395198,1.74396555,0.53981681,0.58122072,0.00640028,0.20574840,0.84562855,0.00000000
-5.89794897,1.76327562,0.54232807,0.58647533,0.00659797,0.20755247,0.85740026,0.00000000
-5.89194597,1.77579241,0.54261585,0.58948296,0.00677406,0.20857241,0.86583742,0.00000000
-5.88594297,1.78144917,0.54069005,0.59023920,0.00692576,0.20878249,0.87088924,0.00000000
-5.87993997,1.78027141,0.53661199,0.58877072,0.00705048,0.20817542,0.87254269,0.00000000
-5.87393697,1.77237253,0.53049015,0.58513334,0.00714598,0.20676134,0.87082163,0.00000000
-5.86793397,1.75794878,0.52247501,0.57940994,0.00721034,0.20456660,0.86578586,0.00000000
-5.86193097,1.73727420,0.51275342,0.57170830,0.00724206,0.20163239,0.85753011,0.00000000
-5.85592796,1.71069530,0.50154252,0.56215907,0.00724009,0.19801333,0.84618313,0.00000000
-5.84992496,1.67862597,0.48908361,0.55091379,0.00720389,0.19377601,0.83190658,0.00000000
-5.84392196,1.64154219,0.47563601,0.53814298,0.00713346,0.18899766,0.81489393,0.00000000
-5.83791896,1.59997672,0.46147102,0.52403441,0.00702939,0.18376476,0.79536902,0.00000000
-5.83191596,1.55451338,0.44686617,0.50879123,0.00689288,0.17817175,0.77358427,0.00000000
-5.82591296,1.50578083,0.43209980,0.49263023,0.00672573,0.17231982,0.74981841,0.00000000
-5.81990995,1.45444569,0.41744597,0.47577989,0.00653040,0.16631573,0.72437354,0.00000000
-5.81390695,1.40120471,0.40316968,0.45847826,0.00630989,0.16027058,0.69757150,0.00000000
-5.80790395,1.34677614,0.38952262,0.44097072,0.00606781,0.15429872,0.66974960,0.00000000
-5.80190095,1.29189008,0.37673928,0.42350740,0.00580825,0.14851649,0.64125551,0.00000000
-5.79589795,1.23727817,0.36503351,0.40634046,0.00553573,0.14304106,0.61244174,0.00000000
-5.78989495,1.18366261,0.35459564,0.38972115,0.00525514,0.13798921,0.58365953,0.00000000
-5.78389195,1.13174499,0.34559018,0.37389671,0.00497161,0.13347605,0.55525258,0.00000000
-5.77788894,1.08219521,0.33815408,0.35910729,0.00469043,0.12961379,0.52755074,0.00000000
-5.77188594,1.03564073,0.33239578,0.34558280,0.00441691,0.12651044,0.50086386,0.00000000
