energy_ev,total_up,C_s_up,C_p_up,Ca_p_up,Ca_d_up,Os_p_up,Os_d_up,S_s_up,S_p_up
-6.00000000,4.24928039,0.02792790,0.15353983,0.02196373,0.00000000,0.70118589,1.58875441,0.09781851,2.00280573
-5.99399700,4.19681437,0.02833017,0.14761730,0.02162602,0.00000000,0.65659219,1.57564647,0.09688165,1.98226939
-5.98799400,4.12446401,0.02858928,0.14161579,0.02118792,0.00000000,0.61486710,1.55380042,0.09541888,1.95161466
-5.98199100,4.03187817,0.02869129,0.13548599,0.02064949,0.00000000,0.57553015,1.52314817,0.09343261,1.91077347
-5.97598799,3.91933848,0.02862653,0.12919846,0.02001363,0.00000000,0.53818103,1.48388121,0.09093864,1.85996232
-5.96998499,3.78772394,0.02838981,0.12274275,0.01928589,0.00000000,0.50249894,1.43643306,0.08796544,1.79966719
-5.96398199,3.63845605,0.02798044,0.11612594,0.01847426,0.00000000,0.46823952,1.38145391,0.08455292,1.73061925
-5.95797899,3.47342743,0.02740215,0.10937071,0.01758878,0.00000000,0.43522984,1.31977916,0.08075080,1.65376300
-5.95197599,3.29491791,0.02666280,0.10251309,0.01664121,0.00000000,0.40336166,1.25239306,0.07661682,1.57021823
-5.94597299,3.10550204,0.02577400,0.09559985,0.01564455,0.00000000,0.37258355,1.18038955,0.07221459,1.48123795
-5.93996998,2.90795263,0.02475066,0.08868591,0.01461263,0.00000000,0.34289216,1.10493193,0.06761144,1.38816415
-5.93396698,2.70514461,0.02361039,0.08183169,0.01355958,0.00000000,0.31432328,1.02721320,0.06287624,1.29238354
-5.92796398,2.49996320,0.02237291,0.07510066,0.01249944,0.00000000,0.28694302,0.94841866,0.05807729,1.19528506
-5.92196098,2.29522030,0.02105935,0.06855708,0.01144574,0.00000000,0.26083944,0.86969220,0.05328042,1.09822097
-5.91595798,2.09358177,0.01969164,0.06226413,0.01041113,0.00000000,0.23611522,0.79210740,0.04854727,1.00247293
-5.90995498,1.89750813,0.01829185,0.05628245,0.00940711,0.00000000,0.21288133,0.71664430,0.04393390,0.90922420
-5.90395198,1.70921003,0.01688161,0.05066907,0.00844381,0.00000000,0.19125221,0.64417233,0.03948972,0.81953861
-5.89794897,1.53061913,0.01548162,0.04547688,0.00752980,0.00000000,0.17134234,0.57543950,0.03525677,0.73434668
-5.89194597,1.36337422,0.01411119,0.04075450,0.00667208,0.00000000,0.15326444,0.51106776,0.03126931,0.65443892
-5.88594297,1.20882168,0.01278790,0.03654661,0.00587602,0.00000000,0.13712907,0.45155401,0.02755375,0.58046581
-5.87993997,1.06802869,0.01152741,0.03289459,0.00514542,0.00000000,0.12304562,0.39727623,0.02412888,0.51294382
-5.87393697,0.94180733,0.01034325,0.02983747,0.00448266,0.00000000,0.11112445,0.34850361,0.02100633,0.45226658
-5.86793397,0.83074686,0.00924682,0.02741315,0.00388882,0.00000000,0.10147995,0.30541007,0.01819124,0.39872007
-5.86193097,0.73525191,0.00824740,0.02565953,0.00336383,0.00000000,0.09423409,0.26808974,0.01568308,0.35250060
-5.85592796,0.65558355,0.00735225,0.02461588,0.00290675,0.00000000,0.08952031,0.23657365,0.01347653,0.31373427
-5.84992496,0.59190088,0.00656676,0.02432383,0.00251587,0.00000000,0.08748714,0.21084652,0.01156248,0.28249681
-5.84392196,0.54430028,0.00589467,0.02482834,0.00218901,0.00000000,0.08830137,0.19086262,0.00992890,0.25883245
-5.83791896,0.51285044,0.00533822,0.02617824,0.00192364,0.00000000,0.09215020,0.17656015,0.00856179,0.24277075
-5.83191596,0.49762095,0.00489844,0.02842633,0.00171706,0.00000000,0.09924220,0.16787320,0.00744598,0.23434065
-5.82591296,0.49870302,0.00457524,0.03162909,0.00156656,0.00000000,0.10980654,0.16474092,0.00656581,0.23358069
-5.81990995,0.51622121,0.00436769,0.03584577,0.00146952,0.00000000,0.12409047,0.16711365,0.00590577,0.24054510
-5.81390695,0.55033552,0.00427407,0.04113690,0.00142346,0.00000000,0.14235455,0.17495557,0.00545092,0.25530527
-5.80790395,0.60123366,0.00429201,0.04756233,0.00142611,0.00000000,0.16486579,0.18824420,0.00518722,0.27794646
-5.80190095,0.66911371,0.00441852,0.05517857,0.00147541,0.00000000,0.19188849,0.20696662,0.00510178,0.30855998
-5.79589795,0.75415815,0.00464997,0.06403579,0.00156948,0.00000000,0.22367304,0.23111295,0.00518288,0.34723097
-5.78989495,0.85650028,0.00498212,0.07417435,0.00170656,0.00000000,0.26044274,0.26066737,0.00542003,0.39402253
-5.78389195,0.97618489,0.00540998,0.08562108,0.00188498,0.00000000,0.30237916,0.29559744,0.00580385,0.44895671
-5.77788894,1.11312506,0.00592777,0.09838548,0.00210301,0.00000000,0.34960648,0.33584223,0.00632594,0.51199356
-5.77188594,1.26705759,0.00652879,0.11245593,0.00235881,0.00000000,0.40217535,0.38130017,0.00697868,0.58300906
-5.76588294,1.43749962,0.00720536,0.12779628,0.00265031,0.00000000,0.46004720,0.43181728,0.00775509,0.66177338
-5.75987994,1.62370913,0.00794873,0.14434284,0.00297509,0.00000000,0.52307961,0.48717682,0.00864859,0.74793065
-5.75387694,1.82465213,0.00874903,0.16200211,0.00333031,0.00000000,0.59101372,0.54709086,0.00965286,0.84098162
-5.74787394,2.03897906,0.00959528,0.18064940,0.00371263,0.00000000,0.66346462,0.61119476,0.01076172,0.94027042
-5.74187094,2.26501276,0.01047544,0.20012855,0.00411812,0.00000000,0.73991535,0.67904502,0.01196907,1.04497674
-5.73586793,2.50074996,0.01137654,0.22025283,0.00454230,0.00000000,0.81971547,0.75012102,0.01326882,1.15411429
-5.72986493,2.74387749,0.01228485,0.24080720,0.00498007,0.00000000,0.90208463,0.82383080,0.01465501,1.26653644
-5.72386193,2.99180386,0.01318610,0.26155180,0.00542578,0.00000000,0.98612165,0.89952108,0.01612183,1.38094939
-5.71785893,3.24170617,0.01406583,0.28222685,0.00587332,0.00000000,1.07081912,0.97649120,0.01766383,1.49593297
-5.71185593,3.49059107,0.01490967,0.30255861,0.00631615,0.00000000,1.15508349,1.05401041,0.01927604,1.60996886
-5.70585293,3.73536810,0.01570376,0.32226642,0.00674753,0.00000000,1.23776011,1.13133809,0.02095417,1.72147535
-5.69984992,3.97293265,0.01643518,0.34107041,0.00716058,0.00000000,1.31766263,1.20774561,0.02269479,1.82884774
-5.69384692,4.20025506,0.01709229,0.35869966,0.00754855,0.00000000,1.39360555,1.28253898,0.02449550,1.93050265
-5.68784392,4.41447211,0.01766518,0.37490045,0.00790496,0.00000000,1.46443880,1.35508096,0.02635497,2.02492476
-5.68184092,4.61297640,0.01814599,0.38944422,0.00822384,0.00000000,1.52908288,1.42481135,0.02827300,2.11071367
-5.67583792,4.79349945,0.01852921,0.40213485,0.00849990,0.00000000,1.58656302,1.49126428,0.03025045,2.18662911
-5.66983492,4.95418417,0.01881194,0.41281489,0.00872876,0.00000000,1.63604072,1.55408131,0.03228903,2.25163220
-5.66383192,5.09364312,0.01899404,0.42137054,0.00890709,0.00000000,1.67684137,1.61301955,0.03439101,2.30492081
-5.65782891,5.21099930,0.01907814,0.42773496,0.00903276,0.00000000,1.70847640,1.66795410,0.03655887,2.34595757
-5.65182591,5.30590750,0.01906970,0.43188984,0.00910499,0.00000000,1.73065905,1.71887451,0.03879473,2.37448882
-5.64582291,5.37855503,0.01897680,0.43386523,0.00912438,0.00000000,1.74331288,1.76587547,0.04109986,2.39055392
-5.63981991,5.42964186,0.01881000,0.43373743,0.00909297,0.00000000,1.74657278,1.80914202,0.04347402,2.39448438
-5.63381691,5.46034153,0.01858203,0.43162525,0.00901422,0.00000000,1.74077829,1.84893033,0.04591481,2.38689292
-5.62781391,5.47224496,0.01830743,0.42768482,0.00889295,0.00000000,1.72645986,1.88554507,0.04841715,2.36865317
-5.62181091,5.46729054,0.01800221,0.42210312,0.00873527,0.00000000,1.70431856,1.91931480,0.05097270,2.34087105
-5.61580790,5.44768439,0.01768339,0.41509073,0.00854843,0.00000000,1.67520057,1.95056704,0.05356948,2.30484929
-5.60980490,5.41581524,0.01736860,0.40687400,0.00834067,0.00000000,1.64006759,1.97960451,0.05619164,2.26204694
-5.60380190,5.37416833,0.01707566,0.39768726,0.00812102,0.00000000,1.59996473,2.00668423,0.05881940,2.21403569
-5.59779890,5.32524292,0.01682219,0.38776521,0.00789911,0.00000000,1.55598748,2.03200069,0.06142923,2.16245503
-5.59179590,5.27147702,0.01662526,0.37733602,0.00768495,0.00000000,1.50924905,2.05567430,0.06399425,2.10896802
-5.58579290,5.21518269,0.01650109,0.36661526,0.00748871,0.00000000,1.46084971,2.07774573,0.06648481,2.05521940
-5.57978989,5.15849412,0.01646475,0.35580107,0.00732048,0.00000000,1.41184904,2.09817649,0.06886940,2.00279743
-5.57378689,5.10332964,0.01653003,0.34507049,0.00719008,0.00000000,1.36324218,2.11685558,0.07111555,1.95320035
-5.56778389,5.05136798,0.01670922,0.33457709,0.00710686,0.00000000,1.31594050,2.13361157,0.07319104,1.90780817
-5.56178089,5.00403780,0.01701303,0.32444999,0.00707945,0.00000000,1.27075712,2.14822919,0.07506508,1.86786007
-5.55577789,4.96251902,0.01745049,0.31479382,0.00711568,0.00000000,1.22839712,2.16046908,0.07670952,1.83443727
-5.54977489,4.92775346,0.01802893,0.30568990,0.00722232,0.00000000,1.18945229,2.17008927,0.07810000,1.80845099
-5.54377189,4.90046227,0.01875394,0.29719798,0.00740505,0.00000000,1.15439982,2.17686672,0.07921706,1.79063504
-5.53776888,4.88116721,0.01962932,0.28935867,0.00766827,0.00000000,1.12360441,2.18061740,0.08004695,1.78154230
-5.53176588,4.87021317,0.02065711,0.28219609,0.00801503,0.00000000,1.09732299,2.18121353,0.08058231,1.78154440
-5.52576288,4.86778959,0.02183755,0.27572066,0.00844701,0.00000000,1.07571147,2.17859682,0.08082254,1.79083415
-5.51975988,4.87394915,0.02316905,0.26993174,0.00896447,0.00000000,1.05883267,2.17278694,0.08077396,1.80943005
