energy_ev,total_up,total_down,C_s_up,C_s_down,C_p_up,C_p_down,Co_p_up,Co_p_down,Co_d_up,Co_d_down,Sc_p_up,Sc_p_down,Sc_d_up,Sc_d_down,Te_p_up,Te_p_down,Te_d_up,Te_d_down
-6.00000000,0.55419909,-0.55419910,0.00277753,-0.00277753,0.08460977,-0.08460978,0.26066952,-0.26066954,0.08856786,-0.08856786,0.13853141,-0.13853140,0.00262512,-0.00262512,0.26007434,-0.26007437,0.00000000,-0.00000000
-5.99399700,0.50800566,-0.50800567,0.00303143,-0.00303143,0.07623342,-0.07623343,0.23812035,-0.23812036,0.08119448,-0.08119448,0.12644771,-0.12644770,0.00236459,-0.00236459,0.23941753,-0.23941755,0.00000000,-0.00000000
-5.98799400,0.46647016,-0.46647018,0.00337201,-0.00337200,0.06835757,-0.06835758,0.21697636,-0.21697637,0.07481872,-0.07481873,0.11525371,-0.11525370,0.00218504,-0.00218504,0.22106063,-0.22106066,0.00000000,-0.00000000
-5.98199100,0.42997833,-0.42997836,0.00379847,-0.00379847,0.06102555,-0.06102556,0.19748647,-0.19748649,0.06948998,-0.06948999,0.10508085,-0.10508085,0.00207768,-0.00207768,0.20520952,-0.20520955,0.00000000,-0.00000000
-5.97598799,0.39888037,-0.39888041,0.00431011,-0.00431011,0.05427314,-0.05427315,0.17986271,-0.17986273,0.06526116,-0.06526118,0.09604560,-0.09604560,0.00203514,-0.00203514,0.19205315,-0.19205319,0.00000000,-0.00000000
-5.96998499,0.37348248,-0.37348252,0.00490593,-0.00490593,0.04812775,-0.04812776,0.16427849,-0.16427850,0.06218651,-0.06218653,0.08824825,-0.08824826,0.00205128,-0.00205128,0.18175968,-0.18175971,0.00000000,-0.00000000
-5.96398199,0.35404042,-0.35404048,0.00558435,-0.00558435,0.04260808,-0.04260809,0.15086826,-0.15086827,0.06031966,-0.06031968,0.08177235,-0.08177235,0.00212107,-0.00212107,0.17447320,-0.17447324,0.00000000,-0.00000000
-5.95797899,0.34075479,-0.34075485,0.00634286,-0.00634286,0.03772426,-0.03772427,0.13972827,-0.13972829,0.05971181,-0.05971183,0.07668440,-0.07668441,0.00224038,-0.00224038,0.17031111,-0.17031115,0.00000000,-0.00000000
-5.95197599,0.33376757,-0.33376764,0.00717776,-0.00717776,0.03347840,-0.03347841,0.13091820,-0.13091822,0.06041002,-0.06041004,0.07303396,-0.07303397,0.00240586,-0.00240586,0.16936191,-0.16936195,0.00000000,-0.00000000
-5.94597299,0.33315986,-0.33315994,0.00808386,-0.00808386,0.02986538,-0.02986538,0.12446339,-0.12446341,0.06245558,-0.06245561,0.07085374,-0.07085375,0.00261486,-0.00261486,0.17168329,-0.17168334,0.00000000,-0.00000000
-5.93996998,0.33895032,-0.33895040,0.00905436,-0.00905436,0.02687390,-0.02687391,0.12035761,-0.12035763,0.06588242,-0.06588245,0.07015990,-0.07015991,0.00286532,-0.00286532,0.17730047,-0.17730052,0.00000000,-0.00000000
-5.93396698,0.35109415,-0.35109424,0.01008062,-0.01008062,0.02448772,-0.02448773,0.11856594,-0.11856596,0.07071546,-0.07071549,0.07095210,-0.07095211,0.00315575,-0.00315575,0.18620456,-0.18620462,0.00000000,-0.00000000
-5.92796398,0.36948264,-0.36948275,0.01115219,-0.01115219,0.02268692,-0.02268693,0.11902785,-0.11902787,0.07696911,-0.07696915,0.07321361,-0.07321362,0.00348526,-0.00348526,0.19835121,-0.19835128,0.00000000,-0.00000000
-5.92196098,0.39394311,-0.39394323,0.01225679,-0.01225679,0.02144923,-0.02144923,0.12166023,-0.12166025,0.08464581,-0.08464585,0.07691117,-0.07691119,0.00385359,-0.00385359,0.21365928,-0.21365935,0.00000000,-0.00000000
