energy_ev,total_up,C_s_up,C_p_up,Mo_p_up,Mo_d_up,Na_s_up,Se_s_up,Se_p_up
-6.00000000,2.53612245,0.01959647,0.45153385,1.95264693,0.84977286,0.08569707,0.05675046,1.04520879
-5.99399700,2.48822695,0.02006000,0.43609805,1.90578008,0.82546684,0.08609346,0.05735223,1.03307708
-5.98799400,2.43890628,0.02043689,0.42114594,1.85665330,0.80252814,0.08690043,0.05785689,1.01914304
-5.98199100,2.38885764,0.02072908,0.40681223,1.80605363,0.78120736,0.08813148,0.05827112,1.00367009
-5.97598799,2.33885025,0.02094103,0.39323145,1.75480972,0.76176019,0.08979677,0.05860378,0.98696970
-5.96998499,2.28970554,0.02107959,0.38053457,1.70377545,0.74443958,0.09190191,0.05886547,0.96939374
-5.96398199,2.24227319,0.02115368,0.36884499,1.65381140,0.72948667,0.09444671,0.05906801,0.95132501
-5.95797899,2.19740417,0.02117400,0.35827420,1.60576441,0.71712093,0.09742404,0.05922381,0.93316621
-5.95197599,2.15592188,0.02115256,0.34891732,1.56044598,0.70753018,0.10081887,0.05934524,0.91532786
-5.94597299,2.11859293,0.02110222,0.34084875,1.51861030,0.70086101,0.10460755,0.05944403,0.89821565
-5.93996998,2.08609890,0.02103612,0.33411835,1.48093268,0.69721020,0.10875733,0.05953064,0.88221774
-5.93396698,2.05901042,0.02096719,0.32874821,1.44798935,0.69661769,0.11322626,0.05961372,0.86769256
-5.92796398,2.03776487,0.02090761,0.32473034,1.42023939,0.69906130,0.11796343,0.05969973,0.85495760
-5.92196098,2.02264865,0.02086833,0.32202536,1.39800976,0.70445373,0.12290957,0.05979259,0.84427968
-5.91595798,2.01378486,0.02085862,0.32056239,1.38148392,0.71264183,0.12799807,0.05989352,0.83586704
-5.90995498,2.01112678,0.02088575,0.32024004,1.37069474,0.72340820,0.13315622,0.06000102,0.82986350
-5.90395198,2.01445746,0.02095468,0.32092857,1.36552198,0.73647509,0.13830687,0.06011096,0.82634488
-5.89794897,2.02339516,0.02106791,0.32247311,1.36569449,0.75151030,0.14337023,0.06021679,0.82531776
-5.89194597,2.03740427,0.02122539,0.32469781,1.37079706,0.76813491,0.14826583,0.06030993,0.82672041
-5.88594297,2.05581119,0.02142459,0.32741066,1.38028172,0.78593232,0.15291458,0.06038015,0.83042584
-5.87993997,2.07782413,0.02166057,0.33040894,1.39348290,0.80445839,0.15724075,0.06041606,0.83624667
-5.87393697,2.10255612,0.02192620,0.33348489,1.40963606,0.82325213,0.16117389,0.06040563,0.84394155
-5.86793397,2.12905003,0.02221248,0.33643150,1.42789892,0.84184659,0.16465051,0.06033668,0.85322275
-5.86193097,2.15630474,0.02250885,0.33904813,1.44737453,0.85977958,0.16761555,0.06019737,0.86376466
-5.85592796,2.18330144,0.02280356,0.34114583,1.46713546,0.87660389,0.17002348,0.05997663,0.87521279
-5.84992496,2.20902921,0.02308416,0.34255207,1.48624820,0.89189674,0.17183911,0.05966456,0.88719301
-5.84392196,2.23250915,0.02333785,0.34311484,1.50379710,0.90526816,0.17303793,0.05925267,0.89932067
-5.83791896,2.25281644,0.02355195,0.34270600,1.51890705,0.91636835,0.17360625,0.05873419,0.91120949
-5.83191596,2.26909985,0.02371431,0.34122379,1.53076439,0.92489361,0.17354085,0.05810411,0.92247990
-5.82591296,2.28059851,0.02381365,0.33859441,1.53863550,0.93059114,0.17284837,0.05735937,0.93276678
-5.81990995,2.28665548,0.02383996,0.33477283,1.54188267,0.93326237,0.17154451,0.05649876,0.94172643
-5.81390695,2.28672825,0.02378473,0.32974271,1.53997695,0.93276501,0.16965296,0.05552295,0.94904270
-5.80790395,2.28039605,0.02364124,0.32351550,1.53250785,0.92901389,0.16720421,0.05443437,0.95443225
-5.80190095,2.26736400,0.02340468,0.31612894,1.51918973,0.92198049,0.16423434,0.05323707,0.95764887
-5.79589795,2.24746424,0.02307230,0.30764479,1.49986483,0.91169134,0.16078374,0.05193662,0.95848686
-5.78989495,2.22065420,0.02264342,0.29814620,1.47450315,0.89822535,0.15689591,0.05053988,0.95678343
-5.78389195,2.18701211,0.02211947,0.28773453,1.44319916,0.88171014,0.15261634,0.04905487,0.95242014
-5.77788894,2.14673010,0.02150386,0.27652592,1.40616568,0.86231747,0.14799148,0.04749055,0.94532338
-5.77188594,2.10010497,0.02080189,0.26464768,1.36372504,0.84025788,0.14306788,0.04585665,0.93546394
-5.76588294,2.04752714,0.02002055,0.25223457,1.31629796,0.81577473,0.13789149,0.04416350,0.92285565
-5.75987994,1.98946791,0.01916832,0.23942509,1.26439044,0.78913772,0.13250704,0.04242178,0.90755319
-5.75387694,1.92646557,0.01825491,0.22635793,1.20857910,0.76063607,0.12695762,0.04064239,0.88964920
-5.74787394,1.85911068,0.01729099,0.21316865,1.14949533,0.73057166,0.12128436,0.03883623,0.86927066
-5.74187094,1.78803105,0.01628787,0.19998661,1.08780886,0.69925211,0.11552626,0.03701406,0.84657487
-5.73586793,1.71387672,0.01525725,0.18693235,1.02421102,0.66698426,0.10971999,0.03518630,0.82174495
-5.72986493,1.63730558,0.01421088,0.17411538,0.95939834,0.63406799,0.10389993,0.03336288,0.79498515
-5.72386193,1.55896990,0.01316031,0.16163246,0.89405687,0.60079075,0.09809807,0.03155315,0.76651614
-5.71785893,1.47950425,0.01211660,0.14956645,0.82884767,0.56742285,0.09234408,0.02976572,0.73657030
-5.71185593,1.39951498,0.01109012,0.13798561,0.76439379,0.53421364,0.08666533,0.02800840,0.70538727
-5.70585293,1.31957161,0.01009031,0.12694343,0.70126916,0.50138869,0.08108695,0.02628815,0.67320985
-5.69984992,1.24020029,0.00912558,0.11647900,0.63998951,0.46914788,0.07563184,0.02461101,0.64028026
-5.69384692,1.16187917,0.00820312,0.10661773,0.58100565,0.43766462,0.07032074,0.02298217,0.60683693
