energy_ev,total_up,C_s_up,C_p_up,Li_s_up,Se_s_up,Se_p_up,Zn_p_up,Zn_d_up
-6.00000000,1.25355720,0.04432918,0.00885514,0.02058797,0.01868811,0.08807687,0.13400865,0.91969166
-5.99399700,1.14044873,0.04064176,0.00794891,0.01882514,0.01702280,0.08049737,0.12253389,0.83579822
-5.98799400,1.03122656,0.03702467,0.00708604,0.01714298,0.01540790,0.07313186,0.11133584,0.75493318
-5.98199100,0.92679052,0.03351618,0.00627365,0.01556426,0.01385820,0.06605659,0.10052859,0.67771920
-5.97598799,0.82788903,0.03014902,0.00551712,0.01410939,0.01238599,0.05933653,0.09020855,0.60467142
-5.96998499,0.73511199,0.02695015,0.00482012,0.01279632,0.01100090,0.05302497,0.08045397,0.53619162
-5.96398199,0.64889034,0.02394072,0.00418475,0.01164057,0.00971001,0.04716366,0.07132494,0.47256726
-5.95797899,0.56950130,0.02113624,0.00361168,0.01065532,0.00851793,0.04178320,0.06286414,0.41397504
-5.95197599,0.49707854,0.01854685,0.00310034,0.00985158,0.00742696,0.03690379,0.05509792,0.36048794
-5.94597299,0.43162593,0.01617785,0.00264908,0.00923828,0.00643731,0.03253624,0.04803783,0.31208518
-5.93996998,0.37303394,0.01403014,0.00225542,0.00882254,0.00554741,0.02868303,0.04168241,0.26866418
-5.93396698,0.32109767,0.01210094,0.00191622,0.00860968,0.00475413,0.02533952,0.03601914,0.23005367
-5.92796398,0.27553531,0.01038435,0.00162787,0.00860344,0.00405312,0.02249517,0.03102648,0.19602733
-5.92196098,0.23600651,0.00887208,0.00138647,0.00880591,0.00343907,0.02013472,0.02667588,0.16631732
-5.91595798,0.20212975,0.00755404,0.00118794,0.00921759,0.00290597,0.01823929,0.02293374,0.14062719
-5.90995498,0.17349825,0.00641900,0.00102819,0.00983729,0.00244738,0.01678737,0.01976324,0.11864362
-5.90395198,0.14969406,0.00545512,0.00090321,0.01066197,0.00205663,0.01575565,0.01712592,0.10004701
-5.89794897,0.13030009,0.00465045,0.00080912,0.01168662,0.00172701,0.01511982,0.01498313,0.08452040
-5.89194597,0.11491003,0.00399336,0.00074227,0.01290402,0.00145195,0.01485508,0.01329725,0.07175689
-5.88594297,0.10313606,0.00347288,0.00069922,0.01430461,0.00122511,0.01493666,0.01203262,0.06146543
-5.87993997,0.09461468,0.00307896,0.00067682,0.01587629,0.00104046,0.01534018,0.01115631,0.05337510
-5.87393697,0.08901063,0.00280267,0.00067218,0.01760439,0.00089241,0.01604196,0.01063866,0.04723800
-5.86793397,0.08601931,0.00263631,0.00068268,0.01947165,0.00077578,0.01701922,0.01045365,0.04283084
-5.86193097,0.08536783,0.00257344,0.00070597,0.02145838,0.00068587,0.01825040,0.01057905,0.03995552
-5.85592796,0.08681504,0.00260887,0.00073998,0.02354273,0.00061843,0.01971531,0.01099648,0.03843873
-5.84992496,0.09015076,0.00273858,0.00078290,0.02570118,0.00056970,0.02139544,0.01169133,0.03813094
-5.84392196,0.09519444,0.00295957,0.00083319,0.02790912,0.00053633,0.02327427,0.01265263,0.03890474
-5.83791896,0.10179346,0.00326969,0.00088960,0.03014170,0.00051543,0.02533765,0.01387274,0.04065282
-5.83191596,0.10982124,0.00366744,0.00095117,0.03237478,0.00050449,0.02757418,0.01534710,0.04328573
-5.82591296,0.11917530,0.00415174,0.00101729,0.03458601,0.00050141,0.02997575,0.01707391,0.04672942
-5.81990995,0.12977532,0.00472165,0.00108771,0.03675610,0.00050441,0.03253800,0.01905377,0.05092281
-5.81390695,0.14156123,0.00537612,0.00116257,0.03887005,0.00051209,0.03526086,0.02128935,0.05581533
-5.80790395,0.15449152,0.00611375,0.00124252,0.04091844,0.00052335,0.03814905,0.02378503,0.06136459
-5.80190095,0.16854145,0.00693250,0.00132871,0.04289869,0.00053741,0.04121253,0.02654656,0.06753411
-5.79589795,0.18370141,0.00782951,0.00142288,0.04481613,0.00055378,0.04446683,0.02958078,0.07429134
-5.78989495,0.19997531,0.00880085,0.00152743,0.04668498,0.00057226,0.04793329,0.03289533,0.08160574
-5.78389195,0.21737875,0.00984138,0.00164549,0.04852901,0.00059294,0.05163909,0.03649834,0.08944714
-5.77788894,0.23593727,0.01094463,0.00178095,0.05038195,0.00061617,0.05561706,0.04039827,0.09778429
-5.77188594,0.25568425,0.01210269,0.00193855,0.05228749,0.00064255,0.05990529,0.04460367,0.10658361
-5.76588294,0.27665871,0.01330622,0.00212392,0.05429895,0.00067294,0.06454647,0.04912301,0.11580815
-5.75987994,0.29890281,0.01454449,0.00234359,0.05647846,0.00070843,0.06958691,0.05396454,0.12541682
-5.75387694,0.32245911,0.01580543,0.00260505,0.05889576,0.00075031,0.07507535,0.05913619,0.13536374
-5.74787394,0.34736755,0.01707582,0.00291670,0.06162655,0.00080005,0.08106151,0.06464548,0.14559789
-5.74187094,0.37366228,0.01834149,0.00328787,0.06475044,0.00085930,0.08759437,0.07049940,0.15606285
-5.73586793,0.40136826,0.01958753,0.00372873,0.06834853,0.00092981,0.09472029,0.07670441,0.16669687
-5.72986493,0.43049787,0.02079865,0.00425025,0.07250070,0.00101339,0.10248104,0.08326635,0.17743302
-5.72386193,0.46104742,0.02195946,0.00486405,0.07728268,0.00111190,0.11091168,0.09019040,0.18819960
-5.71785893,0.49299393,0.02305483,0.00558229,0.08276294,0.00122717,0.12003858,0.09748099,0.19892069
-5.71185593,0.52629213,0.02407031,0.00641744,0.08899959,0.00136094,0.12987737,0.10514172,0.20951689
-5.70585293,0.56087180,0.02499243,0.00738210,0.09603733,0.00151480,0.14043123,0.11317524,0.21990625
-5.69984992,0.59663578,0.02580909,0.00848872,0.10390458,0.00169014,0.15168931,0.12158304,0.23000533
-5.69384692,0.63345855,0.02650991,0.00974930,0.11261095,0.00188810,0.16362559,0.13036527,0.23973041
-5.68784392,0.67118563,0.02708651,0.01117508,0.12214509,0.00210947,0.17619806,0.13952040,0.24899885
-5.68184092,0.70963385,0.02753276,0.01277616,0.13247308,0.00235469,0.18934844,0.14904487,0.25773050
-5.67583792,0.74859259,0.02784496,0.01456116,0.14353746,0.00262375,0.20300233,0.15893264,0.26584921
-5.66983492,0.78782593,0.02802198,0.01653681,0.15525695,0.00291622,0.21706995,0.16917467,0.27328443
-5.66383192,0.82707578,0.02806531,0.01870761,0.16752690,0.00323116,0.23144735,0.17975833,0.27997267
-5.65782891,0.86606591,0.02797898,0.02107541,0.18022056,0.00356714,0.24601811,0.19066675,0.28585905
-5.65182591,0.90450673,0.02776950,0.02363915,0.19319110,0.00392225,0.26065558,0.20187813,0.29089867
-5.64582291,0.94210078,0.02744562,0.02639451,0.20627442,0.00429411,0.27522536,0.21336508,0.29505783
-5.63981991,0.97854862,0.02701807,0.02933372,0.21929260,0.00467991,0.28958825,0.22509387,0.29831503
-5.63381691,1.01355502,0.02649923,0.03244539,0.23205799,0.00507645,0.30360322,0.23702390,0.30066174
-5.62781391,1.04683519,0.02590272,0.03571445,0.24437778,0.00548019,0.31713064,0.24910711,0.30210285
