energy_ev,total_up,Bi_p_up,Bi_d_up,S_s_up,S_p_up,Y_p_up,Y_d_up
-6.00000000,1.87851249,0.23032463,0.00138292,0.03203216,1.12399108,0.36055089,0.71150656
-5.99399700,1.95394176,0.23615297,0.00143777,0.03381780,1.17131028,0.38041236,0.74440636
-5.98799400,2.03314751,0.24237496,0.00149683,0.03569288,1.22087110,0.40123794,0.77868638
-5.98199100,2.11537164,0.24891397,0.00155998,0.03764447,1.27221117,0.42290883,0.81404210
-5.97598799,2.19979843,0.25569199,0.00162708,0.03965967,1.32482869,0.44530430,0.85014807
-5.96998499,2.28558610,0.26263263,0.00169799,0.04172623,1.37820184,0.46830757,0.88666982
-5.96398199,2.37190059,0.26966436,0.00177259,0.04383300,1.43180933,0.49181180,0.92327624
-5.95797899,2.45795008,0.27672408,0.00185080,0.04597048,1.48515121,0.51572572,0.95965233
-5.95197599,2.54301878,0.28376074,0.00193259,0.04813127,1.53776912,0.53997867,0.99551128
-5.94597299,2.62649844,0.29073901,0.00201798,0.05031047,1.58926483,0.56452477,1.03060572
-5.93996998,2.70791588,0.29764259,0.00210711,0.05250601,1.63931638,0.58934588,1.06473743
-5.93396698,2.78695528,0.30447722,0.00220018,0.05471881,1.68769087,0.61445310,1.09776497
-5.92796398,2.86347393,0.31127292,0.00229749,0.05695285,1.73425336,0.63988680,1.12960903
-5.92196098,2.93751039,0.31808550,0.00239943,0.05921506,1.77897135,0.66571490,1.16025496
-5.91595798,3.00928444,0.32499702,0.00250647,0.06151508,1.82191445,0.69202945,1.18975253
-5.90995498,3.07918862,0.33211513,0.00261915,0.06386481,1.86324940,0.71894169,1.21821272
-5.90395198,3.14777136,0.33957111,0.00273805,0.06627783,1.90323047,0.74657560,1.24580179
-5.89794897,3.21571243,0.34751673,0.00286378,0.06876868,1.94218570,0.77506038,1.27273271
-5.89194597,3.28379149,0.35611980,0.00299693,0.07135202,1.98049960,0.80452201,1.29925456
-5.88594297,3.35285113,0.36555854,0.00313806,0.07404169,2.01859324,0.83507444,1.32564016
-5.87993997,3.42375617,0.37601505,0.00328767,0.07684969,2.05690254,0.86681076,1.35217272
-5.87393697,3.49735080,0.38766790,0.00344612,0.07978524,2.09585584,0.89979480,1.37913196
-5.86793397,3.57441578,0.40068426,0.00361365,0.08285378,2.13585201,0.93405359,1.40678051
-5.86193097,3.65562767,0.41521189,0.00379036,0.08605614,2.17723995,0.96957118,1.43535121
-5.85592796,3.74152199,0.43137125,0.00397613,0.08938780,2.22030061,1.00628397,1.46503575
-5.84992496,3.83246223,0.44924821,0.00417065,0.09283838,2.26523235,1.04407809,1.49597544
-5.84392196,3.92861608,0.46888769,0.00437341,0.09639127,2.31214041,1.08278877,1.52825432
-5.83791896,4.02994028,0.49028855,0.00458370,0.10002362,2.36103079,1.12220201,1.56189494
-5.83191596,4.13617476,0.51340001,0.00480060,0.10370653,2.41180908,1.16205835,1.59685707
-5.82591296,4.24684642,0.53812003,0.00502304,0.10740552,2.46428391,1.20205884,1.63303926
-5.81990995,4.36128250,0.56429557,0.00524977,0.11108134,2.51817517,1.24187283,1.67028307
-5.81390695,4.47863297,0.59172491,0.00547946,0.11469094,2.57312614,1.28114736,1.70837993
-5.80790395,4.59790087,0.62016220,0.00571071,0.11818872,2.62871925,1.31951787,1.74707997
-5.80190095,4.71797916,0.64932373,0.00594210,0.12152795,2.68449435,1.35661965,1.78610257
-5.79589795,4.83769248,0.67889613,0.00617220,0.12466229,2.73996868,1.39209969,1.82514800
-5.78989495,4.95584169,0.70854587,0.00639970,0.12754737,2.79465758,1.42562840,1.86390950
-5.78389195,5.07124912,0.73792979,0.00662336,0.13014236,2.84809465,1.45691075,1.90208534
-5.77788894,5.18280239,0.76670631,0.00684211,0.13241142,2.89985059,1.48569628,1.93939014
-5.77188594,5.28949461,0.79454651,0.00705506,0.13432506,2.94954973,1.51178772,1.97556497
-5.76588294,5.39045912,0.82114498,0.00726151,0.13586120,2.99688331,1.53504766,2.01038574
-5.75987994,5.48499715,0.84622949,0.00746097,0.13700602,3.04161907,1.55540318,2.04366957
-5.75387694,5.57259706,0.86956943,0.00765314,0.13775440,3.08360668,1.57284802,2.07527877
-5.74787394,5.65294439,0.89098228,0.00783793,0.13811015,3.12277877,1.58744247,2.10512239
-5.74187094,5.72592246,0.91033803,0.00801541,0.13808578,3.15914771,1.59931070,2.13315538
-5.73586793,5.79160360,0.92756121,0.00818578,0.13770192,3.19279838,1.60863587,2.15937541
-5.72986493,5.85023180,0.94263056,0.00834934,0.13698652,3.22387749,1.61565310,2.18381768
-5.72386193,5.90219781,0.95557627,0.00850642,0.13597369,3.25258015,1.62064069,2.20654814
-5.71785893,5.94800840,0.96647504,0.00865737,0.13470232,3.27913445,1.62390996,2.22765545
-5.71185593,5.98825141,0.97544326,0.00880249,0.13321458,3.30378514,1.62579404,2.24724241
-5.70585293,6.02355871,0.98262861,0.00894199,0.13155436,3.32677725,1.62663637,2.26541718
-5.69984992,6.05456913,0.98820061,0.00907595,0.12976562,3.34834064,1.62677899,2.28228495
-5.69384692,6.08189327,0.99234059,0.00920429,0.12789093,3.36867628,1.62655155,2.29794050
