energy_ev,total_up,Li_s_up,N_s_up,N_p_up,Os_p_up,Os_d_up,Te_p_up,Te_d_up
-6.00000000,2.50309678,0.49365397,0.00451372,0.18418088,0.51970970,0.66014578,1.48185085,0.00000000
-5.99399700,2.56519826,0.51779205,0.00468660,0.19301582,0.52495951,0.67802151,1.51310939,0.00000000
-5.98799400,2.61692162,0.54003300,0.00484251,0.20136045,0.52818129,0.69317874,1.53785442,0.00000000
-5.98199100,2.65772659,0.56008152,0.00497949,0.20913772,0.52928823,0.70547754,1.55581057,0.00000000
-5.97598799,2.68732591,0.57768951,0.00509621,0.21628301,0.52825540,0.71484400,1.56685971,0.00000000
-5.96998499,2.70569034,0.59266372,0.00519195,0.22274526,0.52512103,0.72127178,1.57104265,0.00000000
-5.96398199,2.71304530,0.60487169,0.00526664,0.22848760,0.51998560,0.72482169,1.56855536,0.00000000
-5.95797899,2.70985968,0.61424577,0.00532089,0.23348751,0.51300887,0.72561936,1.55974030,0.00000000
-5.95197599,2.69682760,0.62078489,0.00535594,0.23773656,0.50440503,0.72385128,1.54507332,0.00000000
-5.94597299,2.67484423,0.62455425,0.00537365,0.24123983,0.49443617,0.71975944,1.52514678,0.00000000
-5.93996998,2.64497703,0.62568260,0.00537643,0.24401481,0.48340463,0.71363486,1.50064995,0.00000000
-5.93396698,2.60843382,0.62435761,0.00536723,0.24609023,0.47164425,0.70581051,1.47234739,0.00000000
-5.92796398,2.56652934,0.62081916,0.00534941,0.24750457,0.45951127,0.69665383,1.44105653,0.00000000
-5.92196098,2.52065148,0.61535122,0.00532669,0.24830443,0.44737496,0.68655922,1.40762530,0.00000000
-5.91595798,2.47222877,0.60827236,0.00530304,0.24854301,0.43560852,0.67594076,1.37291054,0.00000000
-5.90995498,2.42269990,0.59992549,0.00528263,0.24827845,0.42458043,0.66522541,1.33775821,0.00000000
-5.90395198,2.37348637,0.59066721,0.00526970,0.24757234,0.41464655,0.65484669,1.30298570,0.00000000
-5.89794897,2.32596859,0.58085710,0.00526849,0.24648837,0.40614319,0.64523900,1.26936678,0.00000000
-5.89194597,2.28146569,0.57084754,0.00528319,0.24509105,0.39938115,0.63683249,1.23761938,0.00000000
-5.88594297,2.24121904,0.56097422,0.00531780,0.24344474,0.39464089,0.63004833,1.20839625,0.00000000
