energy_ev,total_up,Au_p_up,Au_d_up,N_s_up,N_p_up,S_s_up,S_p_up
-6.00000000,7.40973931,1.79374324,5.16679070,0.01202009,1.16147485,0.02434903,0.52313957
-5.99399700,7.23539586,1.74745553,5.05330299,0.01113691,1.13094075,0.02321463,0.50876031
-5.98799400,7.05343770,1.70080293,4.93345426,0.01027093,1.09827622,0.02207365,0.49558786
-5.98199100,6.86705803,1.65480494,4.80929236,0.00942983,1.06402988,0.02093750,0.48394187
-5.97598799,6.67950944,1.61046873,4.68292422,0.00862077,1.02877736,0.01981768,0.47411087
-5.96998499,6.49401940,1.56876503,4.55646116,0.00785029,0.99310708,0.01872546,0.46634352
-5.96398199,6.31371285,1.53060677,4.43196817,0.00712419,0.95760662,0.01767157,0.46084167
-5.95797899,6.14154417,1.49683091,4.31141881,0.00644748,0.92284999,0.01666590,0.45775562
-5.95197599,5.98024007,1.46818404,4.19665673,0.00582431,0.88938610,0.01571723,0.45718151
-5.94597299,5.83225420,1.44531151,4.08936443,0.00525803,0.85772861,0.01483312,0.45916101
-5.93996998,5.69973375,1.42875038,3.99103949,0.00475123,0.82834735,0.01401972,0.46368309
-5.93396698,5.58449745,1.41892556,3.90297791,0.00430577,0.80166121,0.01328176,0.47068771
-5.92796398,5.48802403,1.41614908,3.82626416,0.00392287,0.77803253,0.01262252,0.48007108
-5.92196098,5.41144954,1.42062175,3.76176681,0.00360324,0.75776296,0.01204386,0.49169217
-5.91595798,5.35557190,1.43243667,3.71013889,0.00334713,0.74109048,0.01154637,0.50538001
-5.90995498,5.32086064,1.45158412,3.67182160,0.00315448,0.72818765,0.01112944,0.52094139
-5.90395198,5.30747003,1.47795712,3.64705041,0.00302492,0.71916070,0.01079146,0.53816839
-5.89794897,5.31525384,1.51135721,3.63586220,0.00295794,0.71404960,0.01052998,0.55684553
-5.89194597,5.34378025,1.55150015,3.63810287,0.00295288,0.71282869,0.01034187,0.57675602
-5.88594297,5.39234602,1.59802105,3.65343452,0.00300897,0.71540806,0.01022353,0.59768686
-5.87993997,5.45998919,1.65047909,3.68134205,0.00312535,0.72163552,0.01017103,0.61943264
-5.87393697,5.54550039,1.70836150,3.72113906,0.00330107,0.73129912,0.01018027,0.64179796
-5.86793397,5.64743294,1.77108725,3.77197347,0.00353502,0.74413039,0.01024711,0.66459834
-5.86193097,5.76411278,1.83801052,3.83283313,0.00382594,0.75980830,0.01036747,0.68765988
-5.85592796,5.89364905,1.90842421,3.90255253,0.00417228,0.77796387,0.01053737,0.71081775
-5.84992496,6.03394672,1.98156406,3.97982106,0.00457220,0.79818579,0.01075304,0.73391384
-5.84392196,6.18272259,2.05661356,4.06319397,0.00502345,0.82002672,0.01101085,0.75679378
-5.83791896,6.33752561,2.13271006,4.15110657,0.00552328,0.84301060,0.01130738,0.77930379
-5.83191596,6.49576277,2.20895235,4.24189242,0.00606841,0.86664067,0.01163934,0.80128762
-5.82591296,6.65473077,2.28440983,4.33380558,0.00665492,0.89040830,0.01200355,0.82258388
-5.81990995,6.81165374,2.35813336,4.42504716,0.00727822,0.91380228,0.01239687,0.84302420
-5.81390695,6.96372665,2.42916766,4.51379561,0.00793303,0.93631853,0.01281610,0.86243211
-5.80790395,7.10816324,2.49656516,4.59824013,0.00861333,0.95746984,0.01325794,0.88062323
-5.80190095,7.24224745,2.55940081,4.67661618,0.00931244,0.97679547,0.01371891,0.89740632
-5.79589795,7.36338631,2.61678754,4.74724175,0.01002299,0.99387015,0.01419524,0.91258571
-5.78989495,7.46916253,2.66789195,4.80855310,0.01073705,1.00831241,0.01468285,0.92596450
-5.78389195,7.55738453,2.71194944,4.85913834,0.01144619,1.01979166,0.01517728,0.93734876
-5.77788894,7.62613202,2.74827864,4.89776760,0.01214166,1.02803408,0.01567364,0.94655229
-5.77188594,7.67379507,2.77629425,4.92341827,0.01281445,1.03282687,0.01616660,0.95340179
-5.76588294,7.69910534,2.79551812,4.93529462,0.01345554,1.03402096,0.01665042,0.95774213
-5.75987994,7.70115815,2.80558810,4.93284074,0.01405606,1.03153193,0.01711896,0.95944146
-5.75387694,7.67942482,2.80626441,4.91574676,0.01460747,1.02533933,0.01756574,0.95839591
