energy_ev,total_up,total_down,Mg_p_up,Mg_p_down,Mg_d_up,Mg_d_down,Mn_p_up,Mn_p_down,Mn_d_up,Mn_d_down,N_s_up,N_s_down,N_p_up,N_p_down,Se_s_up,Se_s_down,Se_p_up,Se_p_down
-6.00000000,0.65305503,-1.53745055,0.05399270,-0.35123006,0.00000000,-0.00000000,0.12956654,-0.72221769,0.12884814,-0.47779013,0.01175334,-0.00442942,0.09032915,-0.44391351,0.06145189,-0.00632086,0.26380001,-0.51112845
-5.99399700,0.65384145,-1.52953745,0.05520431,-0.34903199,0.00000000,-0.00000000,0.12318703,-0.69366591,0.12754761,-0.48105036,0.01212402,-0.00487895,0.08688226,-0.43852423,0.06182142,-0.00685039,0.26873483,-0.51103256
-5.98799400,0.65365871,-1.52755459,0.05664300,-0.34646731,0.00000000,-0.00000000,0.11772832,-0.66880065,0.12627058,-0.48653963,0.01244056,-0.00534801,0.08348805,-0.43646030,0.06191177,-0.00752754,0.27335278,-0.51102148
-5.98199100,0.65251932,-1.53113580,0.05829797,-0.34351061,0.00000000,-0.00000000,0.11306800,-0.64777097,0.12500684,-0.49397929,0.01270085,-0.00583069,0.08011000,-0.43755940,0.06174506,-0.00836285,0.27768239,-0.51105556
-5.97598799,0.65049370,-1.53979011,0.06015969,-0.34013319,0.00000000,-0.00000000,0.10909942,-0.63064924,0.12375803,-0.50304896,0.01290403,-0.00632042,0.07672430,-0.44159764,0.06134888,-0.00936661,0.28176797,-0.51107895
-5.96998499,0.64770018,-1.55291228,0.06221900,-0.33630330,0.00000000,-0.00000000,0.10573154,-0.61742915,0.12253576,-0.51339386,0.01305040,-0.00681013,0.07331928,-0.44829517,0.06075500,-0.01054829,0.28566477,-0.51102033
-5.96398199,0.64429253,-1.56979679,0.06446598,-0.33198705,0.00000000,-0.00000000,0.10288783,-0.60802538,0.12135915,-0.52463324,0.01314140,-0.00729235,0.06989435,-0.45732291,0.05999784,-0.01191598,0.28943341,-0.51079455
-5.95797899,0.64044615,-1.58965492,0.06688879,-0.32714968,0.00000000,-0.00000000,0.10050457,-0.60227525,0.12025204,-0.53636952,0.01317943,-0.00775939,0.06645843,-0.46831050,0.05911296,-0.01347573,0.29313394,-0.51030528
-5.95197599,0.63634352,-1.61163420,0.06947262,-0.32175732,0.00000000,-0.00000000,0.09852855,-0.59994199,0.11924021,-0.54819809,0.01316770,-0.00820353,0.06302820,-0.48085490,0.05813542,-0.01523094,0.29681995,-0.50944835
-5.94597299,0.63216010,-1.63483938,0.07219871,-0.31577905,0.00000000,-0.00000000,0.09691470,-0.60071981,0.11834859,-0.55971707,0.01311004,-0.00861722,0.05962612,-0.49452962,0.05709828,-0.01718171,0.30053299,-0.50811577
-5.93996998,0.62805152,-1.65835422,0.07504364,-0.30918913,0.00000000,-0.00000000,0.09562355,-0.60424044,0.11759883,-0.57053705,0.01301069,-0.00899329,0.05627847,-0.50889409,0.05603124,-0.01932430,0.30429787,-0.50619993
-5.93396698,0.62414290,-1.68126338,0.07797899,-0.30196928,0.00000000,-0.00000000,0.09461912,-0.61008120,0.11700735,-0.58029020,0.01287406,-0.00932518,0.05301352,-0.52350313,0.05495944,-0.02165058,0.30811911,-0.50359812
-5.92796398,0.62052088,-1.70267349,0.08097132,-0.29411084,0.00000000,-0.00000000,0.09386701,-0.61777430,0.11658394,-0.58863860,0.01270453,-0.00960710,0.04985982,-0.53791606,0.05390260,-0.02414765,0.31197868,-0.50021670
-5.92196098,0.61722911,-1.72173303,0.08398268,-0.28561663,0.00000000,-0.00000000,0.09333317,-0.62681723,0.11633116,-0.59528152,0.01250630,-0.00983424,0.04684481,-0.55170549,0.05287445,-0.02679755,0.31583558,-0.49597506
