energy_ev,total_up,total_down,C_s_up,C_s_down,C_p_up,C_p_down,Co_p_up,Co_p_down,Co_d_up,Co_d_down,Se_s_up,Se_s_down,Se_p_up,Se_p_down,Ti_p_up,Ti_p_down,Ti_d_up,Ti_d_down
-6.00000000,1.60232525,-1.60232525,0.02889088,-0.02889088,0.04383488,-0.04383488,0.58062854,-0.58062855,0.22306809,-0.22306809,0.02097273,-0.02097273,0.97141931,-0.97141931,0.57597951,-0.57597952,0.09808004,-0.09808004
-5.99399700,1.61509285,-1.61509285,0.02717622,-0.02717622,0.04610241,-0.04610241,0.60497765,-0.60497766,0.22634524,-0.22634525,0.01995586,-0.01995586,0.97803376,-0.97803376,0.58089117,-0.58089117,0.09797548,-0.09797548
-5.98799400,1.63463851,-1.63463852,0.02544342,-0.02544342,0.04868599,-0.04868599,0.63287403,-0.63287404,0.23064068,-0.23064069,0.01901073,-0.01901073,0.98860214,-0.98860214,0.58783529,-0.58783529,0.09826047,-0.09826047
-5.98199100,1.66149822,-1.66149823,0.02372166,-0.02372166,0.05158405,-0.05158405,0.66437218,-0.66437219,0.23602344,-0.23602344,0.01814892,-0.01814892,1.00346349,-1.00346350,0.59701246,-0.59701246,0.09898010,-0.09898010
-5.97598799,1.69598082,-1.69598083,0.02203812,-0.02203812,0.05478717,-0.05478717,0.69942552,-0.69942553,0.24252977,-0.24252977,0.01738002,-0.01738002,1.02281978,-1.02281978,0.60854168,-0.60854168,0.10016625,-0.10016625
-5.96998499,1.73814782,-1.73814783,0.02041738,-0.02041738,0.05827787,-0.05827787,0.73788001,-0.73788002,0.25016042,-0.25016042,0.01671133,-0.01671133,1.04672327,-1.04672328,0.62245357,-0.62245358,0.10183620,-0.10183620
-5.96398199,1.78780154,-1.78780156,0.01888103,-0.01888103,0.06203055,-0.06203055,0.77947097,-0.77947097,0.25887907,-0.25887907,0.01614764,-0.01614764,1.07506908,-1.07506909,0.63868664,-0.63868664,0.10399179,-0.10399179
-5.95797899,1.84448230,-1.84448231,0.01744731,-0.01744731,0.06601178,-0.06601178,0.82382339,-0.82382340,0.26861224,-0.26861225,0.01569099,-0.01569099,1.10759309,-1.10759309,0.65708687,-0.65708688,0.10661901,-0.10661901
-5.95197599,1.90747487,-1.90747488,0.01613096,-0.01613096,0.07018087,-0.07018087,0.87045593,-0.87045593,0.27925067,-0.27925067,0.01534071,-0.01534071,1.14387547,-1.14387548,0.67741075,-0.67741075,0.10968821,-0.10968821
-5.94597299,1.97582420,-1.97582422,0.01494311,-0.01494311,0.07449068,-0.07449069,0.91878845,-0.91878846,0.29065202,-0.29065202,0.01509336,-0.01509336,1.18334987,-1.18334987,0.69933145,-0.69933145,0.11315476,-0.11315476
-5.93996998,2.04835988,-2.04835989,0.01389135,-0.01389135,0.07888882,-0.07888882,0.96815325,-0.96815326,0.30264509,-0.30264509,0.01494288,-0.01494288,1.22531778,-1.22531779,0.72244812,-0.72244812,0.11696023,-0.11696023
-5.93396698,2.12372848,-2.12372850,0.01297982,-0.01297982,0.08331894,-0.08331894,1.01780943,-1.01780944,0.31503509,-0.31503509,0.01488079,-0.01488079,1.26896780,-1.26896781,0.74629788,-0.74629788,0.12103404,-0.12103404
-5.92796398,2.20043287,-2.20043288,0.01220940,-0.01220940,0.08772237,-0.08772237,1.06696027,-1.06696028,0.32761008,-0.32761008,0.01489647,-0.01489647,1.31339894,-1.31339895,0.77037000,-0.77037000,0.12529549,-0.12529549
