energy_ev,total_up,C_s_up,C_p_up,Sc_p_up,Sc_d_up,Se_s_up,Se_p_up,Y_p_up,Y_d_up
-6.00000000,1.44800973,0.01999030,0.03537150,0.39667907,0.27413611,0.01956067,0.90975382,0.32358034,0.13356844
-5.99399700,1.47456653,0.02074109,0.03512447,0.40923731,0.27671984,0.02011636,0.92690125,0.33660517,0.13388985
-5.98799400,1.50298724,0.02150444,0.03485774,0.42268158,0.27946618,0.02072001,0.94522303,0.35019705,0.13433059
-5.98199100,1.53299693,0.02228069,0.03456921,0.43689551,0.28241126,0.02136178,0.96455021,0.36425281,0.13486808
-5.97598799,1.56425713,0.02306997,0.03425829,0.45173379,0.28558028,0.02203029,0.98467161,0.37865036,0.13547756
-5.96998499,1.59636496,0.02387211,0.03392576,0.46702242,0.28898473,0.02271293,1.00533320,0.39324899,0.13613234
-5.96398199,1.62885483,0.02468651,0.03357355,0.48256022,0.29262022,0.02339606,1.02623915,0.40789028,0.13680417
-5.95797899,1.66120310,0.02551218,0.03320454,0.49812169,0.29646496,0.02406538,1.04705482,0.42239987,0.13746368
-5.95197599,1.69283583,0.02634768,0.03282230,0.51346123,0.30047903,0.02470616,1.06741182,0.43658998,0.13808089
-5.94597299,1.72313951,0.02719120,0.03243090,0.52831863,0.30460458,0.02530370,1.08691501,0.45026277,0.13862586
-5.93996998,1.75147463,0.02804057,0.03203468,0.54242563,0.30876690,0.02584362,1.10515139,0.46321435,0.13906933
-5.93396698,1.77719170,0.02889337,0.03163808,0.55551332,0.31287638,0.02631224,1.12170057,0.47523954,0.13938348
-5.92796398,1.79964899,0.02974700,0.03124543,0.56732004,0.31683123,0.02669698,1.13614639,0.48613699,0.13954261
-5.92196098,1.81823136,0.03059871,0.03086082,0.57759941,0.32052089,0.02698662,1.14808931,0.49571463,0.13952385
-5.91595798,1.83236933,0.03144569,0.03048793,0.58612817,0.32382994,0.02717172,1.15715891,0.50379516,0.13930776
-5.90995498,1.84155740,0.03228507,0.03012992,0.59271335,0.32664232,0.02724478,1.16302598,0.51022132,0.13887887
-5.90395198,1.84537075,0.03311392,0.02978932,0.59719840,0.32884560,0.02720052,1.16541351,0.51486068,0.13822598
-5.89794897,1.84347939,0.03392918,0.02946794,0.59946811,0.33033518,0.02703603,1.16410611,0.51760980,0.13734243
-5.89194597,1.83565917,0.03472753,0.02916677,0.59945184,0.33101810,0.02675081,1.15895736,0.51839735,0.13622606
