energy_ev,total_up,C_s_up,C_p_up,Fe_p_up,Fe_d_up,Pt_p_up,Pt_d_up,Se_s_up,Se_p_up
-6.00000000,8.16890873,0.03885836,0.71317957,1.17267367,0.74101298,2.58083986,3.55669229,0.07709612,2.87778564
-5.99399700,8.00707221,0.03860931,0.69800597,1.14535423,0.72582715,2.52342630,3.49496099,0.07567055,2.81847895
-5.98799400,7.83877145,0.03830371,0.68228827,1.11732248,0.71035149,2.46321218,3.42973871,0.07416651,2.75672305
-5.98199100,7.66588229,0.03794858,0.66610085,1.08890603,0.69480267,2.40058050,3.36185061,0.07259148,2.69325156
-5.97598799,7.49047721,0.03755282,0.64953669,1.06044893,0.67940657,2.33600562,3.29221690,0.07095681,2.62887074
-5.96998499,7.31479012,0.03712693,0.63270732,1.03230604,0.66439410,2.27004978,3.22183515,0.06927776,2.56444536
-5.96398199,7.14117193,0.03668262,0.61574163,1.00483680,0.64999626,2.20335566,3.15175864,0.06757335,2.50088150
-5.95797899,6.97203839,0.03623233,0.59878377,0.97839849,0.63643887,2.13663485,3.08307157,0.06586599,2.43910632
-5.95197599,6.80981188,0.03578874,0.58199008,0.95333919,0.62393690,2.07065271,3.01686187,0.06418099,2.38004589
-5.94597299,6.65685936,0.03536433,0.56552530,0.92999062,0.61268890,2.00621036,2.95419283,0.06254585,2.32460157
-5.93996998,6.51542908,0.03497077,0.54955809,0.90866112,0.60287137,1.94412425,2.89607451,0.06098952,2.27362614
-5.93396698,6.38758846,0.03461859,0.53425632,0.88962910,0.59463372,1.88520451,2.84343619,0.05954144,2.22790036
-5.92796398,6.27516570,0.03431667,0.51978211,0.87313700,0.58809368,1.83023272,2.79710071,0.05823069,2.18811116
-5.92196098,6.17969758,0.03407197,0.50628699,0.85938624,0.58333354,1.77994025,2.75776193,0.05708495,2.15483219
-5.91595798,6.10238539,0.03388929,0.49390743,0.84853307,0.58039737,1.73498795,2.72596593,0.05612961,2.12850758
-5.90995498,6.04406073,0.03377109,0.48276085,0.84068564,0.57928925,1.69594809,2.70209654,0.05538692,2.10943949
-5.90395198,6.00516242,0.03371749,0.47294226,0.83590228,0.57997268,1.66328916,2.68636579,0.05487512,2.09777999
-5.89794897,5.98572510,0.03372629,0.46452185,0.83419101,0.58237118,1.63736407,2.67880933,0.05460783,2.09352736
-5.89194597,5.98537981,0.03379314,0.45754327,0.83551031,0.58637001,1.61840206,2.67928692,0.05459346,2.09652709
-5.88594297,6.00336609,0.03391178,0.45202300,0.83977100,0.59181898,1.60650461,2.68748769,0.05483483,2.10647713
-5.87993997,6.03855504,0.03407430,0.44795044,0.84683909,0.59853630,1.60164502,2.70293995,0.05532889,2.12293739
-5.87393697,6.08948190,0.03427154,0.44528890,0.85653953,0.60631312,1.60367178,2.72502498,0.05606670,2.14534273
-5.86793397,6.15438695,0.03449343,0.44397734,0.86866059,0.61491897,1.61231511,2.75299429,0.05703344,2.17301901
-5.86193097,6.23126293,0.03472939,0.44393261,0.88295873,0.62410744,1.62719637,2.78598964,0.05820872,2.20520150
-5.85592796,6.31790728,0.03496875,0.44505223,0.89916375,0.63362239,1.64783972,2.82306524,0.05956693,2.24105485
-5.84992496,6.41197731,0.03520108,0.44721744,0.91698411,0.64320410,1.67368549,2.86321135,0.06107778,2.27969404
-5.84392196,6.51104666,0.03541655,0.45029641,0.93611211,0.65259551,1.70410458,2.90537876,0.06270698,2.32020543
-5.83791896,6.61266129,0.03560619,0.45414754,0.95622900,0.66154808,1.73841346,2.94850329,0.06441703,2.36166753
-5.83191596,6.71439360,0.03576216,0.45862259,0.97700984,0.66982737,1.77588918,2.99152998,0.06616806,2.40317063
-5.82591296,6.81389317,0.03587791,0.46356967,0.99812793,0.67721815,1.81578389,3.03343620,0.06791880,2.44383504
-5.81990995,6.90893331,0.03594827,0.46883604,1.01925901,0.68352876,1.85733870,3.07325320,0.06962757,2.48282754
-5.81390695,6.99745216,0.03596954,0.47427052,1.04008498,0.68859494,1.89979646,3.11008577,0.07125329,2.51937561
-5.80790395,7.07758797,0.03593949,0.47972564,1.06029736,0.69228278,1.94241332,3.14312943,0.07275651,2.55277946
-5.80190095,7.14770788,0.03585728,0.48505951,1.07960033,0.69449098,1.98446913,3.17168496,0.07410037,2.58242168
-5.79589795,7.20643008,0.03572341,0.49013733,1.09771350,0.69515217,2.02527648,3.19516988,0.07525156,2.60777447
-5.78989495,7.25263915,0.03553957,0.49483271,1.11437452,0.69423355,2.06418863,3.21312679,0.07618108,2.62840462
-5.78389195,7.28549490,0.03530856,0.49902878,1.12934137,0.69173663,2.10060635,3.22522841,0.07686504,2.64397627
-5.77788894,7.30443481,0.03503405,0.50261909,1.14239459,0.68769620,2.13398381,3.23127939,0.07728515,2.65425169
-5.77188594,7.30917070,0.03472050,0.50550844,1.15333937,0.68217865,2.16383368,3.23121492,0.07742917,2.65909026
-5.76588294,7.29968016,0.03437297,0.50761367,1.16200758,0.67527957,2.18973165,3.22509640,0.07729113,2.65844589
-5.75987994,7.27619349,0.03399698,0.50886432,1.16825971,0.66712080,2.21132038,3.21310449,0.07687139,2.65236312
-5.75387694,7.23917683,0.03359838,0.50920335,1.17198674,0.65784698,2.22831296,3.19552986,0.07617647,2.64097220
-5.74787394,7.18931248,0.03318324,0.50858783,1.17311194,0.64762177,2.24049606,3.17276216,0.07521878,2.62448330
-5.74187094,7.12747702,0.03275772,0.50698955,1.17159251,0.63662377,2.24773248,3.14527764,0.07401607,2.60318009
-5.73586793,7.05471808,0.03232801,0.50439566,1.16742102,0.62504228,2.24996325,3.11362589,0.07259086,2.57741295
-5.72986493,6.97223043,0.03190025,0.50080912,1.16062654,0.61307304,2.24720903,3.07841626,0.07096964,2.54759181
-5.72386193,6.88133181,0.03148041,0.49624911,1.15127544,0.60091406,2.23957058,3.04030421,0.06918202,2.51417879
-5.71785893,6.78343897,0.03107430,0.49075113,1.13947159,0.58876155,2.22722821,2.99997804,0.06725986,2.47768069
-5.71185593,6.68004410,0.03068744,0.48436694,1.12535602,0.57680612,2.21043986,2.95814626,0.06523630,2.43864128
-5.70585293,6.57269161,0.03032502,0.47716409,1.10910579,0.56522928,2.18953770,2.91552556,0.06314484,2.39763341
-5.69984992,6.46295537,0.02999179,0.46922518,1.09093206,0.55420030,2.16492301,2.87282972,0.06101847,2.35525082
-5.69384692,6.35241607,0.02969199,0.46064665,1.07107715,0.54387339,2.13705925,2.83075909,0.05888885,2.31209958
-5.68784392,6.24263869,0.02942925,0.45153720,1.04981077,0.53438529,2.10646333,2.78999090,0.05678553,2.26878924
-5.68184092,6.13514971,0.02920646,0.44201586,1.02742519,0.52585330,2.07369502,2.75117000,0.05473543,2.22592343
-5.67583792,6.03141428,0.02902565,0.43220959,1.00422951,0.51837354,2.03934483,2.71490014,0.05276226,2.18409014
-5.66983492,5.93281311,0.02888792,0.42225071,0.98054321,0.51201978,2.00402062,2.68173560,0.05088619,2.14385170
-5.66383192,5.84061965,0.02879324,0.41227403,0.95668898,0.50684250,1.96833327,2.65217318,0.04912364,2.10573457
-5.65782891,5.75597775,0.02874046,0.40241392,0.93298521,0.50286834,1.93288197,2.62664478,0.04748713,2.07021931
-5.65182591,5.67988074,0.02872713,0.39280140,0.90973832,0.50010005,1.89823979,2.60551047,0.04598537,2.03773094
-5.64582291,5.61315257,0.02874955,0.38356129,0.88723527,0.49851674,1.86493995,2.58905262,0.04462334,2.00863013
