energy_ev,total_up,Ga_p_up,Ga_d_up,Se_s_up,Se_p_up,Ta_p_up,Ta_d_up
-6.00000000,3.86148833,0.05011010,0.00000000,0.01347268,2.78322023,1.12543007,2.23000630
-5.99399700,3.99630735,0.04971682,0.00000000,0.01341385,2.90497386,1.17031154,2.31929135
-5.98799400,4.12345550,0.04917962,0.00000000,0.01329944,3.02226211,1.21439990,2.40353144
-5.98199100,4.24117975,0.04851052,0.00000000,0.01313158,3.13346950,1.25712357,2.48156923
-5.97598799,4.34788425,0.04772883,0.00000000,0.01291438,3.23703175,1.29792918,2.55230812
-5.96998499,4.44216188,0.04686095,0.00000000,0.01265391,3.33146538,1.33629219,2.61473325
-5.96398199,4.52282797,0.04594016,0.00000000,0.01235813,3.41540047,1.37172980,2.66793378
-5.95797899,4.58895512,0.04500628,0.00000000,0.01203676,3.48761575,1.40381576,2.71112591
-5.95197599,4.63990761,0.04410528,0.00000000,0.01170119,3.54707481,1.43219654,2.74367581
-5.94597299,4.67537388,0.04328883,0.00000000,0.01136430,3.59296176,1.45660795,2.76512135
-5.93996998,4.69539459,0.04261366,0.00000000,0.01104021,3.62471463,1.47689135,2.77519173
-5.93396698,4.70038445,0.04214088,0.00000000,0.01074408,3.64205447,1.49300826,2.77382365
-5.92796398,4.69114522,0.04193509,0.00000000,0.01049181,3.64500824,1.50505222,2.76117301
-5.92196098,4.66886793,0.04206333,0.00000000,0.01029977,3.63392365,1.51325683,2.73762098
-5.91595798,4.63512223,0.04259385,0.00000000,0.01018437,3.60947409,1.51799885,2.70377352
-5.90995498,4.59183163,0.04359469,0.00000000,0.01016179,3.57265256,1.51979544,2.66045363
-5.90395198,4.54123350,0.04513199,0.00000000,0.01024747,3.52475355,1.51929509,2.60868604
-5.89794897,4.48582388,0.04726819,0.00000000,0.01045578,3.46734267,1.51726163,2.54967405
-5.89194597,4.42828744,0.05005995,0.00000000,0.01079951,3.40221420,1.51455166,2.48476900
-5.88594297,4.37141436,0.05355600,0.00000000,0.01128945,3.33133765,1.51208552,2.41543306
-5.87993997,4.31800614,0.05779484,0.00000000,0.01193392,3.25679482,1.51081284,2.34319634
-5.87393697,4.27077377,0.06280242,0.00000000,0.01273837,3.18070962,1.51167373,2.26960991
-5.86793397,4.23223182,0.06858989,0.00000000,0.01370494,3.10517336,1.51555716,2.19619633
-5.86193097,4.20459319,0.07515152,0.00000000,0.01483211,3.03216851,1.52325842,2.12439991
-5.85592796,4.18966901,0.08246283,0.00000000,0.01611446,2.96349453,1.53543750,2.05553849
-5.84992496,4.18877874,0.09047915,0.00000000,0.01754238,2.90069895,1.55258069,1.99075923
-5.84392196,4.20267521,0.09913471,0.00000000,0.01910206,2.84501715,1.57496728,1.93100019
-5.83791896,4.23148901,0.10834225,0.00000000,0.02077544,2.79732383,1.60264348,1.87695963
-5.83191596,4.27469572,0.11799340,0.00000000,0.02254042,2.75809876,1.63540511,1.82907463
-5.82591296,4.33110890,0.12795985,0.00000000,0.02437115,2.72740863,1.67279041,1.78750998
-5.81990995,4.39890042,0.13809524,0.00000000,0.02623844,2.70490624,1.71408397,1.75215824
-5.81390695,4.47564833,0.14823798,0.00000000,0.02811042,2.68984745,1.75833186,1.72265079
-5.80790395,4.55841144,0.15821474,0.00000000,0.02995325,2.68112513,1.80436808,1.69837975
-5.80190095,4.64382801,0.16784469,0.00000000,0.03173195,2.67731902,1.85085123,1.67852966
-5.79589795,4.72823509,0.17694433,0.00000000,0.03341139,2.67675911,1.89631024,1.66211764
-5.78989495,4.80780350,0.18533262,0.00000000,0.03495727,2.67759984,1.93919723,1.64804010
-5.78389195,4.87868297,0.19283645,0.00000000,0.03633718,2.67790169,1.97794537,1.63512400
-5.77788894,4.93715096,0.19929597,0.00000000,0.03752159,2.67571647,2.01102902,1.62218029
-5.77188594,4.97975871,0.20456979,0.00000000,0.03848486,2.66917240,2.03702362,1.60805722
-5.76588294,5.00346805,0.20853966,0.00000000,0.03920607,2.65655530,2.05466254,1.59169102
-5.75987994,5.00577279,0.21111444,0.00000000,0.03966976,2.63638220,2.06288839,1.57215214
-5.75387694,4.98479966,0.21223323,0.00000000,0.03986648,2.60746442,2.06089636,1.54868477
-5.74787394,4.93938423,0.21186754,0.00000000,0.03979317,2.56895754,2.04816795,1.52073856
-5.74187094,4.86911930,0.21002218,0.00000000,0.03945328,2.52039662,2.02449338,1.48799123
-5.73586793,4.77437375,0.20673517,0.00000000,0.03885670,2.46171551,1.98998224,1.45036162
-5.72986493,4.65628218,0.20207640,0.00000000,0.03801950,2.39325034,1.94506181,1.40801316
-5.72386193,4.51670638,0.19614518,0.00000000,0.03696339,2.31572758,1.89046373,1.36134805
-5.71785893,4.35817148,0.18906693,0.00000000,0.03571510,2.23023815,1.82719981,1.31099297
-5.71185593,4.18378035,0.18098896,0.00000000,0.03430552,2.13819939,1.75652839,1.25777758
-5.70585293,3.99711097,0.17207571,0.00000000,0.03276878,2.04130734,1.67991322,1.20270708
-5.69984992,3.80210176,0.16250365,0.00000000,0.03114128,1.94148185,1.59897673,1.14693036
-5.69384692,3.60293027,0.15245592,0.00000000,0.02946066,1.84080736,1.51545000,1.09170547
-5.68784392,3.40389037,0.14211713,0.00000000,0.02776477,1.74147190,1.43112162,1.03836381
-5.68184092,3.20927290,0.13166843,0.00000000,0.02609073,1.64570693,1.34778749,0.98827443
-5.67583792,3.02325398,0.12128302,0.00000000,0.02447408,1.55572990,1.26720337,0.94280975
-5.66983492,2.84979431,0.11112228,0.00000000,0.02294800,1.47369148,1.19104178,0.90331344
-5.66383192,2.69255214,0.10133260,0.00000000,0.02154269,1.40162849,1.12085444,0.87107130
-5.65782891,2.55481142,0.09204299,0.00000000,0.02028487,1.34142332,1.05804087,0.84728525
-5.65182591,2.43942570,0.08336347,0.00000000,0.01919745,1.29477012,1.00382384,0.83305080
-5.64582291,2.34877777,0.07538422,0.00000000,0.01829932,1.26314757,0.95923141,0.82933766
-5.63981991,2.28475403,0.06817543,0.00000000,0.01760522,1.24779793,0.92508552,0.83697333
-5.63381691,2.24873230,0.06178779,0.00000000,0.01712583,1.24971151,0.90199663,0.85662925
-5.62781391,2.24158121,0.05625352,0.00000000,0.01686781,1.26961593,0.89036361,0.88880916
-5.62181091,2.26366944,0.05158769,0.00000000,0.01683407,1.30796949,0.89037830,0.93383936
-5.61580790,2.31488292,0.04778999,0.00000000,0.01702390,1.36495779,0.90203402,0.99186048
-5.60980490,2.39464819,0.04484659,0.00000000,0.01743332,1.44049337,0.92513709,1.06282092
-5.60380190,2.50196077,0.04273202,0.00000000,0.01805530,1.53421791,0.95932104,1.14647190
-5.59779890,2.63541717,0.04141116,0.00000000,0.01888004,1.64550712,1.00406273,1.24236434
-5.59179590,2.79325004,0.04084104,0.00000000,0.01989524,1.77347840,1.05870015,1.34984819
-5.58579290,2.97336593,0.04097256,0.00000000,0.02108631,1.91700167,1.12245148,1.46807453
-5.57978989,3.17338554,0.04175200,0.00000000,0.02243663,2.07471390,1.19443523,1.59600117
-5.57378689,3.39068642,0.04312238,0.00000000,0.02392769,2.24503769,1.27369125,1.73240234
-5.56778389,3.62244820,0.04502459,0.00000000,0.02553929,2.42620430,1.35920234,1.87588280
-5.56178089,3.86570018,0.04739836,0.00000000,0.02724972,2.61628149,1.44991632,2.02489694
-5.55577789,4.11737120,0.05018308,0.00000000,0.02903590,2.81320580,1.54476808,2.17777275
-5.54977489,4.37434127,0.05331843,0.00000000,0.03087358,3.01481928,1.64270130,2.33274055
-5.54377189,4.63349411,0.05674490,0.00000000,0.03273751,3.21890945,1.74268913,2.48796605
-5.53776888,4.89176959,0.06040428,0.00000000,0.03460171,3.42325185,1.84375336,2.64158669
-5.53176588,5.14621465,0.06423997,0.00000000,0.03643967,3.62565336,1.94498119,2.79175039
-5.52576288,5.39403122,0.06819727,0.00000000,0.03822471,3.82399490,2.04553905,2.93665513
-5.51975988,5.63261930,0.07222369,0.00000000,0.03993026,4.01627156,2.14468253,3.07458787
-5.51375688,5.85961374,0.07626910,0.00000000,0.04153033,4.20062840,2.24176212,3.20396127
-5.50775388,6.07291319,0.08028592,0.00000000,0.04299988,4.37539026,2.33622421,3.32334649
-5.50175088,6.27070015,0.08422932,0.00000000,0.04431530,4.53908431,2.42760722,3.43150074
-5.49574787,6.45145144,0.08805726,0.00000000,0.04545491,4.69045415,2.51553311,3.52738837
-5.48974487,6.61393908,0.09173067,0.00000000,0.04639941,4.82846539,2.59969475,3.61019469
-5.48374187,6.75722201,0.09521350,0.00000000,0.04713242,4.95230251,2.67983996,3.67933215
-5.47773887,6.88062994,0.09847277,0.00000000,0.04764089,5.06135813,2.75575346,3.73443899
-5.47173587,6.98374097,0.10147871,0.00000000,0.04791555,5.15521569,2.82723810,3.77537079
-5.46573287,7.06635516,0.10420477,0.00000000,0.04795127,5.23362776,2.89409698,3.80218604
-5.45972986,7.12846662,0.10662773,0.00000000,0.04774730,5.29649170,2.95611811,3.81512689
-5.45372686,7.17023658,0.10872787,0.00000000,0.04730751,5.34382554,3.01306327,3.81459679
-5.44772386,7.19197002,0.11048907,0.00000000,0.04664046,5.37574591,3.06466225,3.80113663
-5.44172086,7.19409788,0.11189906,0.00000000,0.04575936,5.39245056,3.11061377,3.77540104
-5.43571786,7.17716651,0.11294967,0.00000000,0.04468194,5.39420684,3.15059346,3.73813648
-5.42971486,7.14183518,0.11363710,0.00000000,0.04343022,5.38134743,3.18426909,3.69016220
-5.42371186,7.08888171,0.11396229,0.00000000,0.04203008,5.35427364,3.21132245,3.63235518
-5.41770885,7.01921533,0.11393118,0.00000000,0.04051084,5.31346595,3.23147680,3.56563919
-5.41170585,6.93389516,0.11355510,0.00000000,0.03890465,5.25950064,3.24452823,3.49097820
-5.40570285,6.83415181,0.11285095,0.00000000,0.03724580,5.19307067,3.25037878,3.40937343
-5.39969985,6.72140915,0.11184143,0.00000000,0.03557007,5.11500847,3.24906896,3.32186324
-5.39369685,6.59730287,0.11055504,0.00000000,0.03391388,5.02630781,3.24080695,3.22952460
-5.38769385,6.46369244,0.10902593,0.00000000,0.03231346,4.92814194,3.22599204,3.13347470
-5.38169085,6.32266333,0.10729358,0.00000000,0.03080410,4.82187504,3.20522987,3.03487126
-5.37568784,6.17651669,0.10540220,0.00000000,0.02941922,4.70906458,3.17933757,2.93491007
-5.36968484,6.02774479,0.10339992,0.00000000,0.02818966,4.59145269,3.14933754,2.83481866
-5.36368184,5.87899116,0.10133772,0.00000000,0.02714282,4.47094525,3.11643898,2.73584525
-5.35767884,5.73299560,0.09926809,0.00000000,0.02630203,4.34957854,3.08200762,2.63924250
-5.35167584,5.59252559,0.09724358,0.00000000,0.02568590,4.22947401,3.04752429,2.54624620
-5.34567284,5.46029648,0.09531510,0.00000000,0.02530775,4.11278265,3.01453427,2.45804952
-5.33966983,5.33888399,0.09353018,0.00000000,0.02517524,4.00162160,2.98458971,2.37577372
-5.33366683,5.23063340,0.09193123,0.00000000,0.02529002,3.89800586,2.95918807,2.30043689
-5.32766383,5.13757033,0.09055383,0.00000000,0.02564760,3.80377885,2.93970988,2.23292237
-5.32166083,5.06131810,0.08942522,0.00000000,0.02623730,3.72054564,2.92735934,2.17394879
-5.31565783,5.00302677,0.08856302,0.00000000,0.02704244,3.64961257,2.92311090,2.12404365
-5.30965483,4.96331825,0.08797425,0.00000000,0.02804060,3.59193706,2.92766511,2.08352226
-5.30365183,4.94225130,0.08765482,0.00000000,0.02920414,3.54809028,2.94141606,2.05247357
-5.29764882,4.93930897,0.08758935,0.00000000,0.03050077,3.51823531,2.96443239,2.03075408
-5.29164582,4.95341000,0.08775153,0.00000000,0.03189440,3.50212192,2.99645283,2.01799057
-5.28564282,4.98294409,0.08810496,0.00000000,0.03334601,3.49909851,3.03689642,2.01359174
-5.27963982,5.02582982,0.08860442,0.00000000,0.03481473,3.50814057,3.08488677,2.01676855
-5.27363682,5.07959240,0.08919751,0.00000000,0.03625890,3.52789405,3.13928880,2.02656220
-5.26763382,5.14145755,0.08982667,0.00000000,0.03763730,3.55673131,3.19875566,2.04187858
-5.26163082,5.20845678,0.09043148,0.00000000,0.03891028,3.59281641,3.26178314,2.06152733
-5.25562781,5.27753860,0.09095099,0.00000000,0.04004094,3.63417639,3.32676838,2.08426360
-5.24962481,5.34568030,0.09132623,0.00000000,0.04099622,3.67877463,3.39206959,2.10883046
-5.24362181,5.40999474,0.09150255,0.00000000,0.04174784,3.72458252,3.45606374,2.13399981
-5.23761881,5.46782705,0.09143179,0.00000000,0.04227315,3.76964614,3.51719911,2.15860988
-5.23161581,5.51683714,0.09107420,0.00000000,0.04255578,3.81214489,3.57404062,2.18159781
-5.22561281,5.55506468,0.09039998,0.00000000,0.04258604,3.85043975,3.62530590,2.20202586
-5.21960980,5.58097457,0.08939041,0.00000000,0.04236118,3.88310972,3.66989119,2.21910058
-5.21360680,5.59348191,0.08803851,0.00000000,0.04188534,3.90897574,3.70688682,2.23218460
-5.20760380,5.59195726,0.08634924,0.00000000,0.04116935,3.92711224,3.73558256,2.24080108
-5.20160080,5.57621342,0.08433922,0.00000000,0.04023027,3.93684734,3.75546404,2.24463157
-5.19559780,5.54647659,0.08203610,0.00000000,0.03909082,3.93775313,3.76620175,2.24350807
-5.18959480,5.50334510,0.07947747,0.00000000,0.03777852,3.92962823,3.76763474,2.23740066
-5.18359180,5.44773948,0.07670952,0.00000000,0.03632488,3.91247494,3.75975083,2.22640205
-5.17758879,5.38084784,0.07378547,0.00000000,0.03476442,3.88647342,3.74266593,2.21071045
-5.17158579,5.30407023,0.07076386,0.00000000,0.03313366,3.85195520,3.71660397,2.19061234
-5.16558279,5.21896540,0.06770682,0.00000000,0.03147014,3.80937819,3.68187941,2.16646610
-5.15957979,5.12720255,0.06467825,0.00000000,0.02981147,3.75930464,3.63888329,2.13868770
