energy_ev,total_up,Cd_p_up,Cd_d_up,N_s_up,N_p_up,Ni_p_up,Ni_d_up,S_s_up,S_p_up
-6.00000000,7.19363383,0.97448606,1.29964958,0.07073950,0.04850829,1.65801502,1.01313502,0.15819342,3.25579021
-5.99399700,7.12956377,0.96302330,1.28238474,0.07350395,0.04625812,1.64141164,1.01883269,0.15585160,3.23023619
-5.98799400,7.03090552,0.94759647,1.25808302,0.07604460,0.04395480,1.61626719,1.02031360,0.15260320,3.18890967
-5.98199100,6.89908521,0.92837841,1.22713582,0.07831446,0.04162008,1.58294611,1.01753292,0.14851099,3.13241685
-5.97598799,6.73606367,0.90559338,1.19005914,0.08026832,0.03927416,1.54196141,1.01049481,0.14365285,3.06160790
-5.96998499,6.54427131,0.87951120,1.14747447,0.08186417,0.03693562,1.49395557,0.99925330,0.13811913,2.97754826
-5.96398199,6.32653377,0.85044069,1.10008734,0.08306467,0.03462135,1.43967841,0.98391274,0.13200975,2.88148586
-5.95797899,6.08599181,0.81872261,1.04866446,0.08383848,0.03234662,1.37996309,0.96462786,0.12543123,2.77481552
-5.95197599,5.82601870,0.78472241,0.99401045,0.08416151,0.03012513,1.31570105,0.94160314,0.11849368,2.65904215
-5.94597299,5.55013839,0.74882301,0.93694509,0.08401800,0.02796906,1.24781728,0.91509172,0.11130792,2.53574411
-5.93996998,5.26194708,0.71141771,0.87828203,0.08340133,0.02588924,1.17724640,0.88539362,0.10398291,2.40653800
-5.93396698,4.96504067,0.67290367,0.81880950,0.08231459,0.02389528,1.10491072,0.85285325,0.09662345,2.27304591
-5.92796398,4.66294989,0.63367575,0.75927379,0.08077086,0.02199566,1.03170072,0.81785626,0.08932822,2.13686594
-5.92196098,4.35908439,0.59412117,0.70036571,0.07879307,0.02019794,0.95845838,0.78082556,0.08218838,1.99954662
-5.91595798,4.05668648,0.55461473,0.64271026,0.07641369,0.01850889,0.88596383,0.74221664,0.07528647,1.86256557
-5.90995498,3.75879475,0.51551480,0.58685965,0.07367405,0.01693461,0.81492517,0.70251217,0.06869585,1.72731236
-5.90395198,3.46821735,0.47716013,0.53328936,0.07062333,0.01548066,0.74597164,0.66221595,0.06248045,1.59507578
-5.89794897,3.18751422,0.43986719,0.48239718,0.06731745,0.01415222,0.67964985,0.62184636,0.05669494,1.46703491
-5.89194597,2.91898747,0.40392831,0.43450477,0.06381767,0.01295412,0.61642275,0.58192941,0.05138514,1.34425397
-5.88594297,2.66467873,0.36961038,0.38986131,0.06018914,0.01189098,0.55667107,0.54299155,0.04658868,1.22768023
