energy_ev,total_up,total_down,Al_p_up,Al_p_down,Al_d_up,Al_d_down,Ni_p_up,Ni_p_down,Ni_d_up,Ni_d_down,Se_s_up,Se_s_down,Se_p_up,Se_p_down
4.42121061,0.17525444,-0.17525444,0.16150844,-0.16150844,0.00000000,-0.00000000,0.28006909,-0.28006909,0.00312198,-0.00312198,0.00176231,-0.00176231,0.02959152,-0.02959152
4.42721361,0.18212243,-0.18212243,0.17177691,-0.17177691,0.00000000,-0.00000000,0.29737826,-0.29737826,0.00324274,-0.00324274,0.00176633,-0.00176633,0.02837209,-0.02837209
4.43321661,0.18991320,-0.18991320,0.18250814,-0.18250814,0.00000000,-0.00000000,0.31580841,-0.31580841,0.00337331,-0.00337331,0.00179589,-0.00179589,0.02739291,-0.02739291
4.43921961,0.19858189,-0.19858189,0.19366482,-0.19366482,0.00000000,-0.00000000,0.33529666,-0.33529666,0.00351239,-0.00351239,0.00184992,-0.00184992,0.02664298,-0.02664298
4.44522261,0.20807333,-0.20807333,0.20520583,-0.20520583,0.00000000,-0.00000000,0.35576605,-0.35576605,0.00365879,-0.00365879,0.00192711,-0.00192711,0.02610987,-0.02610987
4.45122561,0.21831971,-0.21831971,0.21708350,-0.21708349,0.00000000,-0.00000000,0.37712101,-0.37712101,0.00381134,-0.00381134,0.00202581,-0.00202581,0.02577960,-0.02577960
4.45722861,0.22923865,-0.22923865,0.22924123,-0.22924123,0.00000000,-0.00000000,0.39924364,-0.39924364,0.00396888,-0.00396888,0.00214409,-0.00214409,0.02563653,-0.02563653
4.46323162,0.24073217,-0.24073216,0.24161172,-0.24161172,0.00000000,-0.00000000,0.42199119,-0.42199119,0.00413015,-0.00413015,0.00227969,-0.00227969,0.02566345,-0.02566345
4.46923462,0.25268648,-0.25268648,0.25411586,-0.25411586,0.00000000,-0.00000000,0.44519499,-0.44519499,0.00429381,-0.00429381,0.00243003,-0.00243003,0.02584171,-0.02584171
4.47523762,0.26497283,-0.26497283,0.26666255,-0.26666255,0.00000000,-0.00000000,0.46866112,-0.46866112,0.00445843,-0.00445843,0.00259231,-0.00259231,0.02615145,-0.02615145
4.48124062,0.27744940,-0.27744940,0.27914955,-0.27914954,0.00000000,-0.00000000,0.49217299,-0.49217299,0.00462242,-0.00462242,0.00276348,-0.00276348,0.02657190,-0.02657190
4.48724362,0.28996431,-0.28996431,0.29146535,-0.29146535,0.00000000,-0.00000000,0.51549576,-0.51549576,0.00478412,-0.00478412,0.00294038,-0.00294038,0.02708182,-0.02708182
4.49324662,0.30235957,-0.30235956,0.30349211,-0.30349211,0.00000000,-0.00000000,0.53838268,-0.53838267,0.00494180,-0.00494180,0.00311979,-0.00311979,0.02765993,-0.02765993
4.49924962,0.31447596,-0.31447596,0.31510941,-0.31510941,0.00000000,-0.00000000,0.56058300,-0.56058300,0.00509369,-0.00509369,0.00329851,-0.00329851,0.02828539,-0.02828539
4.50525263,0.32615863,-0.32615863,0.32619884,-0.32619884,0.00000000,-0.00000000,0.58185120,-0.58185120,0.00523809,-0.00523809,0.00347353,-0.00347353,0.02893841,-0.02893841
4.51125563,0.33726300,-0.33726300,0.33664907,-0.33664907,0.00000000,-0.00000000,0.60195698,-0.60195698,0.00537339,-0.00537339,0.00364203,-0.00364203,0.02960068,-0.02960068
4.51725863,0.34766089,-0.34766089,0.34636100,-0.34636100,0.00000000,-0.00000000,0.62069554,-0.62069554,0.00549819,-0.00549819,0.00380160,-0.00380160,0.03025599,-0.03025599
4.52326163,0.35724635,-0.35724635,0.35525293,-0.35525293,0.00000000,-0.00000000,0.63789748,-0.63789748,0.00561136,-0.00561136,0.00395025,-0.00395025,0.03089065,-0.03089065
4.52926463,0.36594092,-0.36594092,0.36326512,-0.36326512,0.00000000,-0.00000000,0.65343781,-0.65343781,0.00571210,-0.00571210,0.00408658,-0.00408658,0.03149389,-0.03149389
4.53526763,0.37369807,-0.37369807,0.37036356,-0.37036356,0.00000000,-0.00000000,0.66724321,-0.66724321,0.00580002,-0.00580002,0.00420979,-0.00420979,0.03205823,-0.03205823
4.54127064,0.38050628,-0.38050628,0.37654260,-0.37654260,0.00000000,-0.00000000,0.67929734,-0.67929734,0.00587520,-0.00587520,0.00431981,-0.00431981,0.03257959,-0.03257959
4.54727364,0.38639086,-0.38639086,0.38182625,-0.38182625,0.00000000,-0.00000000,0.68964351,-0.68964351,0.00593818,-0.00593818,0.00441732,-0.00441732,0.03305747,-0.03305747
4.55327664,0.39141411,-0.39141411,0.38626795,-0.38626795,0.00000000,-0.00000000,0.69838454,-0.69838454,0.00599003,-0.00599003,0.00450380,-0.00450380,0.03349481,-0.03349481
4.55927964,0.39567382,-0.39567382,0.38994875,-0.38994875,0.00000000,-0.00000000,0.70567978,-0.70567978,0.00603226,-0.00603226,0.00458151,-0.00458151,0.03389781,-0.03389781
4.56528264,0.39930027,-0.39930027,0.39297401,-0.39297402,0.00000000,-0.00000000,0.71173925,-0.71173925,0.00606686,-0.00606686,0.00465351,-0.00465351,0.03427567,-0.03427567
4.57128564,0.40245178,-0.40245178,0.39546872,-0.39546872,0.00000000,-0.00000000,0.71681529,-0.71681529,0.00609619,-0.00609619,0.00472363,-0.00472363,0.03464008,-0.03464008
4.57728864,0.40530900,-0.40530900,0.39757165,-0.39757165,0.00000000,-0.00000000,0.72119210,-0.72119210,0.00612294,-0.00612294,0.00479639,-0.00479639,0.03500476,-0.03500476
4.58329165,0.40806846,-0.40806846,0.39942890,-0.39942890,0.00000000,-0.00000000,0.72517388,-0.72517388,0.00615003,-0.00615003,0.00487701,-0.00487701,0.03538488,-0.03538488
4.58929465,0.41093555,-0.41093555,0.40118689,-0.40118689,0.00000000,-0.00000000,0.72907215,-0.72907215,0.00618052,-0.00618052,0.00497123,-0.00497123,0.03579645,-0.03579645
