energy_ev,total_up,N_s_up,N_p_up,S_s_up,S_p_up,Zn_p_up,Zn_d_up,Zr_p_up,Zr_d_up
-6.00000000,6.88766093,0.02544002,1.17211920,0.10830628,2.41368605,0.15215684,0.87731904,3.06947599,1.71661868
-5.99399700,6.72269241,0.02563187,1.12926147,0.10512403,2.36075574,0.14959533,0.86469718,3.01373016,1.66446818
-5.98799400,6.55427523,0.02584655,1.08620677,0.10192796,2.30663489,0.14695027,0.85106468,2.95550216,1.61264687
-5.98199100,6.38245856,0.02607879,1.04307334,0.09872060,2.25138437,0.14422001,0.83629890,2.89486452,1.56117968
-5.97598799,6.20726542,0.02632257,0.99996929,0.09550293,2.19504441,0.14140412,0.82029459,2.83190293,1.51005457
-5.96998499,6.02874010,0.02657135,0.95699844,0.09227537,2.13765130,0.13850420,0.80297122,2.76673167,1.45923727
-5.96398199,5.84699254,0.02681842,0.91426577,0.08903874,2.07925350,0.13552462,0.78427925,2.69950701,1.40868617
-5.95797899,5.66223710,0.02705716,0.87188198,0.08579514,2.01992638,0.13247308,0.76420498,2.63043760,1.35836627
-5.95197599,5.47482300,0.02728132,0.82996700,0.08254869,1.95978433,0.12936080,0.74277376,2.55979108,1.30826144
-5.94597299,5.28525494,0.02748529,0.78865205,0.07930605,1.89898966,0.12620263,0.72005138,2.48789628,1.25838442
-5.93996998,5.09420259,0.02766422,0.74808037,0.07607670,1.83775783,0.12301673,0.69614360,2.41514102,1.20878400
-5.93396698,4.90249873,0.02781422,0.70840634,0.07287308,1.77635866,0.11982416,0.67119380,2.34196544,1.15954908
-5.92796398,4.71112638,0.02793238,0.66979341,0.06971040,1.71511364,0.11664820,0.64537894,2.26885144,1.11080972
-5.92196098,4.52119629,0.02801680,0.63241073,0.06660631,1.65438971,0.11351348,0.61890409,2.19630893,1.06273519
-5.91595798,4.33391611,0.02806654,0.59642903,0.06358038,1.59458996,0.11044514,0.59199574,2.12485978,1.01552933
-5.90995498,4.15055385,0.02808146,0.56201590,0.06065344,1.53614196,0.10746786,0.56489439,2.05502055,0.96942384
-5.90395198,3.97239774,0.02806212,0.52933084,0.05784685,1.47948468,0.10460492,0.53784677,1.98728530,0.92466988
-5.89794897,3.80071514,0.02800952,0.49852047,0.05518174,1.42505467,0.10187744,0.51109796,1.92210932,0.88152874
-5.89194597,3.63671300,0.02792496,0.46971420,0.05267825,1.37327257,0.09930370,0.48488409,1.85989511,0.84026210
-5.88594297,3.48150184,0.02780973,0.44302060,0.05035482,1.32453052,0.09689862,0.45942561,1.80098122,0.80112258
-5.87993997,3.33606524,0.02766499,0.41852460,0.04822760,1.27918134,0.09467351,0.43492170,1.74563461,0.76434495
-5.87393697,3.20123585,0.02749155,0.39628578,0.04630993,1.23752965,0.09263596,0.41154587,1.69404692,0.73013856
-5.86793397,3.07767887,0.02728975,0.37633762,0.04461203,1.19982549,0.09078998,0.38944283,1.64633451,0.69868115
-5.86193097,2.96588289,0.02705936,0.35868775,0.04314073,1.16626033,0.08913628,0.36872684,1.60254216,0.67011430
-5.85592796,2.86615787,0.02679955,0.34331903,0.04189943,1.13696539,0.08767267,0.34948126,1.56264982,0.64454052
-5.84992496,2.77863928,0.02650892,0.33019138,0.04088810,1.11201201,0.08639460,0.33175939,1.52658171,0.62202179
-5.84392196,2.70329728,0.02618559,0.31924403,0.04010343,1.09141360,0.08529563,0.31558622,1.49421682,0.60257962
-5.83791896,2.63994945,0.02582731,0.31039799,0.03953903,1.07512883,0.08436798,0.30096103,1.46540003,0.58619619
-5.83191596,2.58827557,0.02543164,0.30355869,0.03918570,1.06306535,0.08360293,0.28786046,1.43995270,0.57281633
-5.82591296,2.54783317,0.02499617,0.29861831,0.03903170,1.05508374,0.08299119,0.27624192,1.41768211,0.56235015
-5.81990995,2.51807228,0.02451868,0.29545792,0.03906305,1.05100125,0.08252303,0.26604694,1.39838892,0.55467601
-5.81390695,2.49834884,0.02399741,0.29394918,0.03926380,1.05059495,0.08218834,0.25720451,1.38187227,0.54964355
-5.80790395,2.48793575,0.02343121,0.29395562,0.03961629,1.05360430,0.08197651,0.24963387,1.36793220,0.54707673
-5.80190095,2.48603172,0.02281974,0.29533345,0.04010139,1.05973299,0.08187621,0.24324708,1.35636948,0.54677674
-5.79589795,2.49176783,0.02216357,0.29793214,0.04069864,1.06865032,0.08187501,0.23795092,1.34698319,0.54852473
-5.78989495,2.50421249,0.02146429,0.30159465,0.04138652,1.07999231,0.08195903,0.23364835,1.33956634,0.55208444
-5.78389195,2.52237554,0.02072452,0.30615763,0.04214258,1.09336291,0.08211254,0.23023950,1.33390045,0.55720485
-5.77788894,2.54521251,0.01994790,0.31145178,0.04294362,1.10833581,0.08231762,0.22762223,1.32974964,0.56362289
-5.77188594,2.57163012,0.01913903,0.31730239,0.04376595,1.12445714,0.08255394,0.22569249,1.32685526,0.57106645
-5.76588294,2.60049400,0.01830331,0.32353030,0.04458562,1.14124965,0.08279869,0.22434449,1.32493167,0.57925773
