energy_ev,total_up,C_s_up,C_p_up,Na_s_up,Os_p_up,Os_d_up,S_s_up,S_p_up
-6.00000000,2.12553627,0.00914523,0.10837108,0.03076135,0.73542660,0.83848411,0.03291916,0.88957430
-5.99399700,1.91903140,0.00847918,0.09251582,0.02755554,0.63400968,0.76345097,0.02945728,0.80909791
-5.98799400,1.72501287,0.00781339,0.07858794,0.02459612,0.54408500,0.69192720,0.02624776,0.73228300
-5.98199100,1.54356351,0.00715475,0.06643050,0.02187242,0.46480435,0.62408325,0.02328595,0.65939511
-5.97598799,1.37468708,0.00650981,0.05588351,0.01937373,0.39529467,0.56006818,0.02056560,0.59065488
-5.96998499,1.21830699,0.00588459,0.04678813,0.01708938,0.33468021,0.50000359,0.01807910,0.52623371
-5.96398199,1.07426536,0.00528448,0.03899000,0.01500885,0.28210088,0.44397827,0.01581769,0.46625053
-5.95797899,0.94232289,0.00471405,0.03234183,0.01312167,0.23672666,0.39204392,0.01377158,0.41077009
-5.95197599,0.82216044,0.00417702,0.02670532,0.01141743,0.19776859,0.34421220,0.01193018,0.35980294
-5.94597299,0.71338257,0.00367623,0.02195244,0.00988578,0.16448660,0.30045358,0.01028225,0.31330689
-5.93996998,0.61552338,0.00321358,0.01796616,0.00851637,0.13619456,0.26069767,0.00881605,0.27119022
-5.93396698,0.52805454,0.00279015,0.01464079,0.00729888,0.11226302,0.22483532,0.00751953,0.23331624
-5.92796398,0.45039528,0.00240619,0.01188192,0.00622305,0.09212009,0.19272218,0.00638053,0.19950911
-5.92196098,0.38192415,0.00206128,0.00960609,0.00527873,0.07525080,0.16418348,0.00538693,0.16956052
-5.91595798,0.32199191,0.00175438,0.00774037,0.00445599,0.06119530,0.13901979,0.00452691,0.14323707
-5.90995498,0.26993520,0.00148396,0.00622164,0.00374525,0.04954628,0.11701348,0.00378908,0.12028798
-5.90395198,0.22509050,0.00124816,0.00499603,0.00313738,0.03994581,0.09793554,0.00316273,0.10045282
-5.89794897,0.18680783,0.00104486,0.00401814,0.00262391,0.03208193,0.08155252,0.00263803,0.08346904
-5.89194597,0.15446399,0.00087184,0.00325042,0.00219720,0.02568500,0.06763330,0.00220623,0.06907919
-5.88594297,0.12747489,0.00072688,0.00266258,0.00185061,0.02052418,0.05595558,0.00185984,0.05703746
-5.87993997,0.10530687,0.00060788,0.00223104,0.00157869,0.01640395,0.04631194,0.00159289,0.04711571
-5.87393697,0.08748694,0.00051295,0.00193851,0.00137745,0.01316094,0.03851533,0.00140109,0.03910872
-5.86793397,0.07361190,0.00044049,0.00177367,0.00124450,0.01066093,0.03240407,0.00128207,0.03283887
-5.86193097,0.06335633,0.00038928,0.00173093,0.00117934,0.00879625,0.02784622,0.00123555,0.02816002
-5.85592796,0.05647969,0.00035858,0.00181035,0.00118352,0.00748348,0.02474355,0.00126360,0.02496091
-5.84992496,0.05283254,0.00034811,0.00201760,0.00126092,0.00666148,0.02303496,0.00137085,0.02316801
-5.84392196,0.05236196,0.00035820,0.00236404,0.00141797,0.00628978,0.02269953,0.00156465,0.02274781
-5.83791896,0.05511630,0.00038977,0.00286688,0.00166387,0.00634727,0.02375919,0.00185530,0.02370875
-5.83191596,0.06124915,0.00044436,0.00354934,0.00201084,0.00683121,0.02628100,0.00225624,0.02610263
-5.82591296,0.07102261,0.00052422,0.00444089,0.00247428,0.00775642,0.03037905,0.00278415,0.03002568
-5.81990995,0.08480942,0.00063226,0.00557744,0.00307299,0.00915471,0.03621589,0.00345908,0.03561902
-5.81390695,0.10309394,0.00077208,0.00700152,0.00382928,0.01107446,0.04400340,0.00430444,0.04306851
-5.80790395,0.12647138,0.00094795,0.00876230,0.00476907,0.01358022,0.05400291,0.00534696,0.05260396
