energy_ev,total_up,Cr_p_up,Cr_d_up,N_s_up,N_p_up,Os_p_up,Os_d_up,S_s_up,S_p_up
-6.00000000,5.19222264,2.47934011,0.31308933,0.01449510,1.10304994,1.63040028,1.90935740,0.06086771,1.71621477
-5.99399700,5.14712979,2.46198620,0.30700193,0.01510275,1.10287981,1.64933596,1.88466790,0.06057734,1.70282140
-5.98799400,5.09933140,2.43857670,0.30140837,0.01579493,1.10348851,1.66698101,1.85952686,0.06020984,1.68597934
-5.98199100,5.04956722,2.40929959,0.29641977,0.01656547,1.10492264,1.68317485,1.83433761,0.05977886,1.66586184
-5.97598799,4.99852837,2.37446777,0.29212312,0.01740644,1.10718392,1.69777410,1.80946472,0.05929839,1.64270104
-5.96998499,4.94683755,2.33451059,0.28857923,0.01830818,1.11022760,1.71065044,1.78522363,0.05878210,1.61678203
-5.96398199,4.89503139,2.28996083,0.28582163,0.01925950,1.11396263,1.72168812,1.76187197,0.05824275,1.58843449
-5.95797899,4.84354550,2.24143788,0.28385627,0.02024782,1.11825367,1.73078156,1.73960294,0.05769164,1.55802245
-5.95197599,4.79270281,2.18962786,0.28266213,0.02125946,1.12292479,1.73783323,1.71854078,0.05713811,1.52593256
-5.94597299,4.74270581,2.13526174,0.28219260,0.02227996,1.12776470,1.74275210,1.69873873,0.05658917,1.49256153
-5.93996998,4.69363325,2.07909254,0.28237769,0.02329438,1.13253347,1.74545308,1.68017940,0.05604924,1.45830338
-5.93396698,4.64544166,2.02187271,0.28312685,0.02428770,1.13697037,1.74585743,1.66277775,0.05552005,1.42353717
-5.92796398,4.59797205,1.96433279,0.28433246,0.02524516,1.14080267,1.74389437,1.64638660,0.05500058,1.38861598
-5.92196098,4.55096188,1.90716235,0.28587384,0.02615271,1.14375508,1.73950390,1.63080449,0.05448722,1.35385755
-5.91595798,4.50406201,1.85099387,0.28762158,0.02699729,1.14555952,1.73264068,1.61578589,0.05397404,1.31953730
-5.90995498,4.45685833,1.79639038,0.28944221,0.02776717,1.14596491,1.72327874,1.60105311,0.05345308,1.28588378
-5.90395198,4.40889710,1.74383680,0.29120301,0.02845229,1.14474658,1.71141679,1.58630980,0.05291487,1.25307696
-5.89794897,4.35971319,1.69373548,0.29277674,0.02904441,1.14171499,1.69708362,1.57125533,0.05234888,1.22124914
-5.89194597,4.30885972,1.64640531,0.29404623,0.02953733,1.13672332,1.68034319,1.55559951,0.05174412,1.19048846
-5.88594297,4.25593776,1.60208427,0.29490868,0.02992696,1.12967380,1.66129894,1.53907701,0.05108967,1.16084453
-5.87993997,4.20062440,1.56093475,0.29527944,0.03021132,1.12052222,1.64009684,1.52146075,0.05037525,1.13233569
-5.87393697,4.14269773,1.52305072,0.29509513,0.03039055,1.10928059,1.61692679,1.50257367,0.04959173,1.10495742
-5.86793397,4.08205702,1.48846626,0.29431604,0.03046671,1.09601775,1.59202195,1.48229822,0.04873159,1.07869122
-5.86193097,4.01873703,1.45716440,0.29292766,0.03044364,1.08085769,1.56565603,1.46058304,0.04778927,1.05351327
-5.85592796,3.95291519,1.42908573,0.29094114,0.03032673,1.06397585,1.53813814,1.43744654,0.04676145,1.02940229
-5.84992496,3.88491125,1.40413599,0.28839293,0.03012261,1.04559323,1.50980564,1.41297698,0.04564723,1.00634622
-5.84392196,3.81517900,1.38219246,0.28534320,0.02983888,1.02596873,1.48101492,1.38732914,0.04444814,0.98434706
-5.83791896,3.74429033,1.36310867,0.28187342,0.02948373,1.00538990,1.45213064,1.36071762,0.04316814,0.96342378
-5.83191596,3.67291246,1.34671752,0.27808299,0.02906567,0.98416245,1.42351396,1.33340715,0.04181343,0.94361316
-5.82591296,3.60177929,1.33283291,0.27408509,0.02859320,0.96259908,1.39551012,1.30570037,0.04039221,0.92496848
-5.81990995,3.53165847,1.32125019,0.27000197,0.02807454,0.94100802,1.36843624,1.27792366,0.03891437,0.90755632
-5.81390695,3.46331588,1.31174585,0.26595977,0.02751735,0.91968183,1.34256987,1.25041189,0.03739111,0.89145178
-5.80790395,3.39747954,1.30407695,0.26208322,0.02692859,0.89888690,1.31813878,1.22349278,0.03583459,0.87673235
-5.80190095,3.33480480,1.29798086,0.25849037,0.02631431,0.87885420,1.29531281,1.19747187,0.03425744,0.86347118
-5.79589795,3.27584293,1.29317579,0.25528759,0.02567963,0.85977169,1.27419789,1.17261865,0.03267245,0.85172988
-5.78989495,3.22101462,1.28936243,0.25256514,0.02502865,0.84177863,1.25483282,1.14915497,0.03109214,0.84155172
-5.78389195,3.17059006,1.28622726,0.25039348,0.02436452,0.82496212,1.23718884,1.12724594,0.02952848,0.83295549
-5.77788894,3.12467655,1.28344740,0.24882042,0.02368949,0.80935597,1.22117197,1.10699416,0.02799261,0.82593039
-5.77188594,3.08321452,1.28069724,0.24786939,0.02300502,0.79494194,1.20662821,1.08843725,0.02649464,0.82043258
-5.76588294,3.04598190,1.27765660,0.24753876,0.02231194,0.78165319,1.19335109,1.07154911,0.02504351,0.81638329
-5.75987994,3.01260690,1.27402013,0.24780235,0.02161061,0.76937983,1.18109143,1.05624444,0.02364697,0.81366893
-5.75387694,2.98258830,1.26950756,0.24861100,0.02090114,0.75797621,1.16956866,1.04238664,0.02231153,0.81214305
-5.74787394,2.95532240,1.26387428,0.24989515,0.02018352,0.74726955,1.15848328,1.02979826,0.02104255,0.81163015
-5.74187094,2.93013497,1.25692168,0.25156836,0.01945785,0.73706960,1.14752999,1.01827366,0.01984432,0.81193124
-5.73586793,2.90631679,1.24850670,0.25353147,0.01872450,0.72717873,1.13641064,1.00759308,0.01872020,0.81283074
-5.72986493,2.88316081,1.23854991,0.25567721,0.01798421,0.71740202,1.12484680,0.99753730,0.01767282,0.81410448
-5.72386193,2.85999917,1.22704176,0.25789515,0.01723826,0.70755696,1.11259115,0.98790222,0.01670418,0.81552851
-5.71785893,2.83623811,1.21404651,0.26007654,0.01648853,0.69748221,1.09943749,0.97851247,0.01581584,0.81688799
-5.71185593,2.81138917,1.19970342,0.26211902,0.01573754,0.68704515,1.08522876,0.96923336,0.01500907,0.81798608
-5.70585293,2.78509518,1.18422516,0.26393078,0.01498846,0.67614786,1.06986302,0.95998056,0.01428497,0.81865209
-5.69984992,2.75714969,1.16789329,0.26543419,0.01424509,0.66473137,1.05329706,0.95072707,0.01364453,0.81874864
-5.69384692,2.72750915,1.15105085,0.26656854,0.01351185,0.65277799,1.03554759,0.94150697,0.01308869,0.81817738
-5.68784392,2.69629726,1.13409235,0.26729198,0.01279363,0.64031178,1.01669011,0.93241605,0.01261835,0.81688307
-5.68184092,2.66380136,1.11745138,0.26758252,0.01209575,0.62739714,0.99685539,0.92360902,0.01223432,0.81485566
-5.67583792,2.63046139,1.10158640,0.26743804,0.01142379,0.61413579,0.97622407,0.91529375,0.01193722,0.81213037
-5.66983492,2.59685188,1.08696517,0.26687552,0.01078352,0.60066220,0.95501931,0.90772269,0.01172739,0.80878574
-5.66383192,2.56365832,1.07404843,0.26592948,0.01018075,0.58713804,0.93349825,0.90118218,0.01160475,0.80493971
-5.65782891,2.53164905,1.06327360,0.26464976,0.00962119,0.57374570,0.91194237,0.89598000,0.01156860,0.80074407
-5.65182591,2.50164449,1.05503907,0.26309893,0.00911033,0.56068153,0.89064752,0.89243210,0.01161747,0.79637735
-5.64582291,2.47448525,1.04968987,0.26134938,0.00865335,0.54814900,0.86991393,0.89084913,0.01174896,0.79203690
-5.63981991,2.45100098,1.04750537,0.25948037,0.00825505,0.53635226,0.85003672,0.89152354,0.01195956,0.78793024
-5.63381691,2.43198168,1.04868954,0.25757518,0.00791971,0.52549039,0.83129756,0.89471801,0.01224454,0.78426649
-5.62781391,2.41815291,1.05336429,0.25571861,0.00765113,0.51575265,0.81395761,0.90065576,0.01259783,0.78124811
-5.62181091,2.41015621,1.06156634,0.25399482,0.00745250,0.50731495,0.79825238,0.90951324,0.01301205,0.77906365
-5.61580790,2.40853559,1.07324757,0.25248578,0.00732647,0.50033759,0.78438847,0.92141571,0.01347842,0.77788163
-5.60980490,2.41373066,1.08827914,0.25127025,0.00727509,0.49496446,0.77254256,0.93643556,0.01398695,0.77784613
-5.60380190,2.42607635,1.10645891,0.25042338,0.00729986,0.49132340,0.76286243,0.95459370,0.01452650,0.77907405
-5.59779890,2.44580882,1.12752198,0.25001683,0.00740172,0.48952790,0.75546998,0.97586353,0.01508500,0.78165425
-5.59179590,2.47307680,1.15115368,0.25011939,0.00758112,0.48967946,0.75046596,1.00017723,0.01564976,0.78564842
-5.58579290,2.50795705,1.17700427,0.25079792,0.00783796,0.49187076,0.74793590,1.02743381,0.01620769,0.79109350
-5.57978989,2.55047235,1.20470454,0.25211853,0.00817167,0.49618891,0.74795685,1.05750814,0.01674572,0.79800537
-5.57378689,2.60061050,1.23388137,0.25414770,0.00858118,0.50271860,0.75060436,1.09026038,0.01725113,0.80638338
-5.56778389,2.65834230,1.26417231,0.25695335,0.00906492,0.51154472,0.75595893,1.12554494,0.01771194,0.81621521
-5.56178089,2.72363694,1.29523829,0.26060553,0.00962075,0.52275403,0.76411156,1.16321820,0.01811723,0.82748178
-5.55577789,2.79647308,1.32677377,0.26517662,0.01024597,0.53643563,0.77516767,1.20314449,0.01845753,0.84016143
-5.54977489,2.87684453,1.35851358,0.27074101,0.01093722,0.55268004,0.78924893,1.24519967,0.01872506,0.85423330
-5.54377189,2.96475951,1.39023618,0.27737403,0.01169040,0.57157665,0.80649273,1.28927208,0.01891399,0.86967926
-5.53776888,3.06023325,1.42176314,0.28515023,0.01250066,0.59320959,0.82704898,1.33526067,0.01902058,0.88648444
-5.53176588,3.16327387,1.45295497,0.29414087,0.01336225,0.61765211,0.85107422,1.38307044,0.01904327,0.90463607
-5.52576288,3.27386242,1.48370363,0.30441091,0.01426852,0.64495966,0.87872315,1.43260549,0.01898269,0.92412071
-5.51975988,3.39192796,1.51392242,0.31601534,0.01521188,0.67516196,0.91013793,1.48376014,0.01884159,0.94492012
-5.51375688,3.51731941,1.54353389,0.32899530,0.01618377,0.70825455,0.94543559,1.53640882,0.01862470,0.96700595
-5.50775388,3.64977598,1.57245695,0.34337388,0.01717470,0.74419019,0.98469422,1.59039551,0.01833851,0.99033367
-5.50175088,3.78889823,1.60059388,0.35915216,0.01817436,0.78287070,1.02793871,1.64552362,0.01799102,1.01483618
-5.49574787,3.93412195,1.62781857,0.37630539,0.01917173,0.82413981,1.07512667,1.70154703,0.01759145,1.04041765
-5.48974487,4.08469705,1.65396668,0.39477987,0.02015524,0.86777740,1.12613549,1.75816324,0.01714995,1.06694804
-5.48374187,4.23967312,1.67882875,0.41449048,0.02111304,0.91349586,1.18075128,1.81500934,0.01667725,1.09425876
