energy_ev,total_up,C_s_up,C_p_up,Cu_p_up,Cu_d_up,Rh_p_up,Rh_d_up,Se_s_up,Se_p_up
-6.00000000,3.38895298,0.00680252,0.50406625,0.77995562,0.90289272,2.15114941,0.94815237,0.02001975,0.90375918
-5.99399700,3.46171177,0.00712384,0.52085620,0.79343296,0.91785117,2.24553089,0.97153030,0.02087828,0.91253042
-5.98799400,3.53522060,0.00744260,0.53765139,0.80626492,0.93328874,2.34093794,0.99598589,0.02174673,0.92029881
-5.98199100,3.60921120,0.00775574,0.55434361,0.81850669,0.94913912,2.43664808,1.02143709,0.02262094,0.92712633
-5.97598799,3.68338343,0.00806024,0.57082066,0.83023051,0.96531829,2.53189795,1.04777709,0.02349629,0.93309265
-5.96998499,3.75739021,0.00835309,0.58696553,0.84151602,0.98172409,2.62588529,1.07486913,0.02436776,0.93828687
-5.96398199,3.83082561,0.00863132,0.60265608,0.85244052,0.99823651,2.71777384,1.10254261,0.02522989,0.94279932
-5.95797899,3.90321681,0.00889203,0.61776531,0.86306973,1.01471866,2.80670120,1.13059096,0.02607682,0.94671410
-5.95197599,3.97402050,0.00913238,0.63216225,0.87344965,1.03101851,2.89178967,1.15877134,0.02690233,0.95010250
-5.94597299,4.04262407,0.00934963,0.64571340,0.88359980,1.04697123,2.97215969,1.18680631,0.02770000,0.95301767
-5.93996998,4.10835167,0.00954114,0.65828486,0.89350845,1.06240215,3.04694541,1.21438742,0.02846326,0.95549066
-5.93396698,4.17047472,0.00970443,0.66974479,0.90312980,1.07713023,3.11531188,1.24118069,0.02918557,0.95752809
-5.92796398,4.22822666,0.00983723,0.67996630,0.91238362,1.09097189,3.17647289,1.26683358,0.02986057,0.95911136
-5.92196098,4.28082101,0.00993748,0.68883054,0.92115701,1.10374506,3.22970898,1.29098337,0.03048221,0.96019748
-5.91595798,4.32747203,0.01000340,0.69622985,0.92930843,1.11527342,3.27438461,1.31326638,0.03104495,0.96072124
-5.90995498,4.36741698,0.01003355,0.70207076,0.93667359,1.12539046,3.30996380,1.33332779,0.03154389,0.96059885
-5.90395198,4.39993899,0.01002686,0.70627683,0.94307301,1.13394347,3.33602373,1.35083151,0.03197488,0.95973247
-5.89794897,4.42438948,0.00998267,0.70879102,0.94832067,1.14079720,3.35226554,1.36546974,0.03233463,0.95801571
-5.89194597,4.44020925,0.00990078,0.70957763,0.95223345,1.14583709,3.35852211,1.37697186,0.03262083,0.95533956
-5.88594297,4.44694737,0.00978147,0.70862368,0.95464065,1.14897202,3.35476254,1.38511219,0.03283214,0.95159866
-5.87993997,4.44427714,0.00962552,0.70593959,0.95539334,1.15013648,3.34109326,1.38971657,0.03296821,0.94669741
-5.87393697,4.43200867,0.00943422,0.70155935,0.95437279,1.14929222,3.31775584,1.39066720,0.03302968,0.94055596
-5.86793397,4.41009754,0.00920934,0.69553998,0.95149776,1.14642920,3.28512164,1.38790602,0.03301810,0.93311542
-5.86193097,4.37864956,0.00895314,0.68796047,0.94673018,1.14156603,3.24368369,1.38143622,0.03293584,0.92434245
-5.85592796,4.33792131,0.00866831,0.67892012,0.94007903,1.13474983,3.19404604,1.37132213,0.03278602,0.91423286
-5.84992496,4.28831674,0.00835794,0.66853654,0.93160218,1.12605548,3.13691098,1.35768735,0.03257234,0.90281404
-5.84392196,4.23037999,0.00802543,0.65694315,0.92140613,1.11558454,3.07306457,1.34071149,0.03229894,0.89014628
-5.83791896,4.16478459,0.00767446,0.64428646,0.90964374,1.10346362,3.00336076,1.32062543,0.03197030,0.87632277
-5.83191596,4.09231950,0.00730886,0.63072309,0.89650994,1.08984241,2.92870444,1.29770539,0.03159108,0.86146842
-5.82591296,4.01387235,0.00693259,0.61641659,0.88223574,1.07489137,2.85003388,1.27226605,0.03116595,0.84573739
-5.81990995,3.93041035,0.00654961,0.60153418,0.86708070,1.05879923,2.76830254,1.24465276,0.03069954,0.82930953
-5.81390695,3.84295924,0.00616379,0.58624343,0.85132423,1.04177009,2.68446085,1.21523327,0.03019626,0.81238577
-5.80790395,3.75258096,0.00577890,0.57070892,0.83525607,1.02402053,2.59943797,1.18438894,0.02966026,0.79518268
-5.80190095,3.66035042,0.00539844,0.55508891,0.81916631,1.00577651,2.51412398,1.15250587,0.02909536,0.77792643
-5.79589795,3.56733210,0.00502567,0.53953210,0.80333540,0.98727017,2.42935264,1.11996601,0.02850496,0.76084620
-5.78989495,3.47455703,0.00466349,0.52417460,0.78802444,0.96873676,2.34588533,1.08713854,0.02789206,0.74416759
-5.78389195,3.38300089,0.00431445,0.50913705,0.77346625,0.95041157,2.26439634,1.05437178,0.02725925,0.72810599
-5.77788894,3.29356391,0.00398066,0.49452205,0.75985750,0.93252705,2.18546006,1.02198578,0.02660869,0.71286043
-5.77188594,3.20705320,0.00366386,0.48041202,0.74735225,0.91531019,2.10954055,0.99026593,0.02594214,0.69860800
