energy_ev,total_up,C_s_up,C_p_up,Cd_p_up,Cd_d_up,Se_s_up,Se_p_up,Ti_p_up,Ti_d_up
-6.00000000,2.07763895,0.10867964,0.03100260,0.36701470,0.37000821,0.08224745,1.04765600,0.58939423,0.23932741
-5.99399700,2.04228106,0.10713037,0.03114682,0.35862267,0.36516614,0.08107767,1.02533640,0.58070922,0.23104812
-5.98799400,2.01723795,0.10581538,0.03146473,0.35249628,0.36180767,0.08024592,1.00872986,0.57604474,0.22380121
-5.98199100,2.00185659,0.10471161,0.03194728,0.34857543,0.35977870,0.07971706,0.99753398,0.57515737,0.21759363
-5.97598799,1.99530817,0.10379262,0.03258290,0.34676428,0.35890183,0.07944779,0.99134428,0.57775878,0.21240686
-5.96998499,1.99662808,0.10303036,0.03335818,0.34693865,0.35898397,0.07938844,0.98967415,0.58352748,0.20819976
-5.96398199,2.00475770,0.10239677,0.03425854,0.34895357,0.35982392,0.07948489,0.99197615,0.59212049,0.20491197
-5.95797899,2.01858631,0.10186524,0.03526893,0.35265081,0.36121975,0.07968057,0.99766386,0.60318472,0.20246785
-5.95197599,2.03699156,0.10141182,0.03637443,0.35786590,0.36297553,0.07991846,1.00613349,0.61636749,0.20078054
-5.94597299,2.05887697,0.10101613,0.03756082,0.36443447,0.36490739,0.08014301,1.01678440,0.63132613,0.19975617
-5.93996998,2.08320522,0.10066202,0.03881505,0.37219760,0.36684864,0.08030192,1.02903785,0.64773606,0.19929782
-5.93396698,2.10902609,0.10033783,0.04012557,0.38100604,0.36865372,0.08034773,1.04235334,0.66529743,0.19930935
-5.92796398,2.13549840,0.10003646,0.04148255,0.39072306,0.37020114,0.08023912,1.05624200,0.68373987,0.19969865
-5.92196098,2.16190512,0.09975503,0.04287794,0.40122601,0.37139516,0.07994197,1.07027670,0.70282544,0.20038039
-5.91595798,2.18766167,0.09949439,0.04430541,0.41240651,0.37216629,0.07943006,1.08409863,0.72234958,0.20127822
-5.90995498,2.21231749,0.09925838,0.04576014,0.42416934,0.37247071,0.07868552,1.09742026,0.74214026,0.20232616
-5.90395198,2.23555102,0.09905289,0.04723851,0.43643020,0.37228867,0.07769884,1.11002485,0.76205531,0.20346940
-5.89794897,2.25715903,0.09888492,0.04873771,0.44911262,0.37162206,0.07646870,1.12176265,0.78197821,0.20466447
-5.89194597,2.27704116,0.09876151,0.05025522,0.46214409,0.37049119,0.07500144,1.13254430,0.80181267,0.20587873
-5.88594297,2.29518072,0.09868873,0.05178841,0.47545193,0.36893120,0.07331026,1.14233199,0.82147631,0.20708942
-5.87993997,2.31162322,0.09867072,0.05333397,0.48895904,0.36698804,0.07141435,1.15112882,0.84089376,0.20828238
-5.87393697,2.32645386,0.09870889,0.05488754,0.50258002,0.36471446,0.06933769,1.15896739,0.85998990,0.20945038
-5.86793397,2.33977548,0.09880125,0.05644334,0.51621786,0.36216611,0.06710791,1.16589799,0.87868336,0.21059150
-5.86193097,2.35168832,0.09894202,0.05799393,0.52976147,0.35939793,0.06475505,1.17197747,0.89688091,0.21170739
-5.85592796,2.36227261,0.09912136,0.05953014,0.54308448,0.35646104,0.06231031,1.17725914,0.91447314,0.21280177
-5.84992496,2.37157513,0.09932545,0.06104106,0.55604514,0.35340026,0.05980491,1.18178446,0.93133161,0.21387913
-5.84392196,2.37960021,0.09953674,0.06251433,0.56848771,0.35025229,0.05726909,1.18557694,0.94730780,0.21494377
-5.83791896,2.38630574,0.09973448,0.06393641,0.58024515,0.34704466,0.05473117,1.18863840,0.96223392,0.21599924
-5.83191596,2.39160401,0.09989540,0.06529309,0.59114306,0.34379544,0.05221687,1.19094787,0.97592560,0.21704813
