energy_ev,total_up,C_s_up,C_p_up,Fe_p_up,Fe_d_up,Te_p_up,Te_d_up,V_p_up,V_d_up
-1.90595298,9.91796613,0.02009861,0.38588773,1.09266047,1.89994500,2.09506918,0.00000000,2.45705796,6.48026132
-1.89994997,9.86794889,0.02154294,0.37784838,1.04492216,1.90636158,2.00652163,0.00000000,2.47159782,6.48443835
-1.89394697,9.80625821,0.02298792,0.36915610,1.00067304,1.91082171,1.92263681,0.00000000,2.48026724,6.47585721
-1.88794397,9.73250595,0.02441670,0.36008627,0.95999463,1.91341484,1.84372994,0.00000000,2.48259959,6.45365387
-1.88194097,9.64637134,0.02581123,0.35092379,0.92286024,1.91424946,1.76995249,0.00000000,2.47821626,6.41711781
-1.87593797,9.54766593,0.02715259,0.34195824,0.88915235,1.91346045,1.70131768,0.00000000,2.46684983,6.36573444
-1.86993497,9.43639305,0.02842147,0.33347924,0.85868205,1.91121534,1.63772932,0.00000000,2.44836373,6.29922062
-1.86393197,9.31279819,0.02959867,0.32577204,0.83120961,1.90771920,1.57901220,0.00000000,2.42276737,6.21755183
-1.85792896,9.17740790,0.03066557,0.31911336,0.80646492,1.90321771,1.52494241,0.00000000,2.39022590,6.12097986
-1.85192596,9.03105523,0.03160476,0.31376737,0.78416701,1.89799819,1.47527601,0.00000000,2.35106406,6.01004057
-1.84592296,8.87489068,0.03240056,0.30998186,0.76404166,1.89238861,1.42977450,0.00000000,2.30576394,5.88555181
-1.83991996,8.71037828,0.03303953,0.30798442,0.74583644,1.88675440,1.38822614,0.00000000,2.25495659,5.74860188
-1.83391696,8.53927726,0.03351096,0.30797866,0.72933250,1.88149332,1.35046203,0.00000000,2.19940789,5.60052967
-1.82791396,8.36361042,0.03380727,0.31014036,0.71435289,1.87702844,1.31636649,0.00000000,2.13999930,5.44289766
-1.82191096,8.18562077,0.03392435,0.31461358,0.70076711,1.87379954,1.28588147,0.00000000,2.07770428,5.27745930
-1.81590795,8.00771852,0.03386173,0.32150664,0.68849193,1.87225309,1.25900497,0.00000000,2.01356140,5.10612245
-1.80990495,7.83242072,0.03362271,0.33088817,0.67748871,1.87283128,1.23578401,0.00000000,1.94864532,4.93091042
-1.80390195,7.66228625,0.03321431,0.34278312,0.66775765,1.87596024,1.21630262,0.00000000,1.88403678,4.75392232
-1.79789895,7.49984859,0.03264714,0.35716914,0.65932934,1.88203794,1.20066596,0.00000000,1.82079284,4.57729400
-1.79189595,7.34754908,0.03193512,0.37397331,0.65225439,1.89142204,1.18898150,0.00000000,1.75991862,4.40316076
-1.78589295,7.20767329,0.03109511,0.39306953,0.64659190,1.90441815,1.18133869,0.00000000,1.70234142,4.23362295
-1.77988994,7.08229269,0.03014649,0.41427689,0.64239732,1.92126881,1.17778825,0.00000000,1.64888837,4.07071508
-1.77388694,6.97321386,0.02911058,0.43735919,0.63971077,1.94214376,1.17832260,0.00000000,1.60026832,3.91637889
-1.76788394,6.88193709,0.02801015,0.46202586,0.63854632,1.96713170,1.18285859,0.00000000,1.55705850,3.77244084
-1.76188094,6.80962590,0.02686876,0.48793457,0.63888305,1.99623421,1.19122373,0.00000000,1.51969637,3.64059394
-1.75587794,6.75708851,0.02571027,0.51469569,0.64065831,2.02936196,1.20314680,0.00000000,1.48847682,3.52238391
-1.74987494,6.72477199,0.02455820,0.54187851,0.64376374,2.06633370,1.21825372,0.00000000,1.46355472,3.41919951
-1.74387194,6.71276928,0.02343533,0.56901952,0.64804413,2.10687820,1.23606893,0.00000000,1.44495239,3.33226661
-1.73786893,6.72083854,0.02236321,0.59563234,0.65329936,2.15063926,1.25602250,0.00000000,1.43257165,3.26264556
-1.73186593,6.74843404,0.02136182,0.62121931,0.65928920,2.19718381,1.27746284,0.00000000,1.42620968,3.21123143
-1.72586293,6.79474690,0.02044930,0.64528428,0.66574080,2.24601301,1.29967430,0.00000000,1.42557799,3.17875627
-1.71985993,6.85875372,0.01964177,0.66734625,0.67235838,2.29657585,1.32189916,0.00000000,1.43032340,3.16579276
-1.71385693,6.93927054,0.01895320,0.68695337,0.67883455,2.34828504,1.34336270,0.00000000,1.44005015,3.17275847
-1.70785393,7.03500916,0.01839538,0.70369671,0.68486275,2.40053446,1.36330033,0.00000000,1.45434184,3.19991972
-1.70185093,7.14463282,0.01797795,0.71722328,0.69014996,2.45271740,1.38098531,0.00000000,1.47278245,3.24739442
-1.69584792,7.26680805,0.01770842,0.72724762,0.69442907,2.50424505,1.39575579,0.00000000,1.49497514,3.31515283
-1.68984492,7.40024968,0.01759230,0.73356157,0.69747016,2.55456424,1.40703974,0.00000000,1.52055805,3.40301576
-1.68384192,7.54375643,0.01763315,0.73604161,0.69909017,2.60317371,1.41437651,0.00000000,1.54921640,3.51064966
-1.67783892,7.69623507,0.01783270,0.73465347,0.69916034,2.64963835,1.41743407,0.00000000,1.58069034,3.63755836
-1.67183592,7.85671170,0.01819090,0.72945373,0.69761113,2.69360061,1.41602098,0.00000000,1.61477821,3.78307173
-1.66583292,8.02433002,0.01870603,0.72058834,0.69443431,2.73478894,1.41009266,0.00000000,1.65133523,3.94633163
-1.65982991,8.19833676,0.01937466,0.70828798,0.68968229,2.77302281,1.39975161,0.00000000,1.69026796,4.12627631
-1.65382691,8.37805605,0.02019171,0.69286062,0.68346463,2.80821437,1.38524177,0.00000000,1.73152482,4.32162457
-1.64782391,8.56285498,0.02115043,0.67468135,0.67594211,2.84036691,1.36693727,0.00000000,1.77508372,4.53086144
