energy_ev,total_up,N_s_up,N_p_up,Os_p_up,Os_d_up,S_s_up,S_p_up,Sc_p_up,Sc_d_up
-6.00000000,1.91379232,0.01636579,0.42342327,0.75610504,0.55251083,0.01135921,0.74577822,0.30484951,0.06416249
-5.99399700,1.94152364,0.01637002,0.43727498,0.76094162,0.56022216,0.01148153,0.74881752,0.31254757,0.06656952
-5.98799400,1.97000763,0.01629774,0.45115743,0.76354127,0.56923940,0.01155954,0.75223825,0.32013549,0.06930545
-5.98199100,1.99939606,0.01615620,0.46514742,0.76402138,0.57956322,0.01159541,0.75603500,0.32761038,0.07236108
-5.97598799,2.02986516,0.01595445,0.47931461,0.76253981,0.59119126,0.01159222,0.76022331,0.33497386,0.07572360
-5.96998499,2.06158951,0.01570303,0.49371427,0.75928665,0.60411045,0.01155384,0.76483192,0.34222905,0.07937575
-5.96398199,2.09471521,0.01541364,0.50838027,0.75447517,0.61828946,0.01148475,0.76989424,0.34937730,0.08329518
-5.95797899,2.12933396,0.01509872,0.52331890,0.74833213,0.63367148,0.01138978,0.77543959,0.35641511,0.08745382
-5.95197599,2.16545954,0.01477112,0.53850383,0.74108816,0.65016801,0.01127395,0.78148480,0.36333122,0.09181750
-5.94597299,2.20300809,0.01444367,0.55387240,0.73296837,0.66765399,0.01114221,0.78802647,0.37010426,0.09634579
-5.93996998,2.24178332,0.01412885,0.56932368,0.72418385,0.68596468,0.01099930,0.79503460,0.37670091,0.10099212
-5.93396698,2.28146760,0.01383844,0.58471830,0.71492423,0.70489444,0.01084953,0.80244773,0.38307479,0.10570413
-5.92796398,2.32161947,0.01358322,0.59988015,0.70535166,0.72419764,0.01069663,0.81016999,0.38916614,0.11042433
-5.92196098,2.36167779,0.01337276,0.61460000,0.69559640,0.74359184,0.01054366,0.81807013,0.39490238,0.11509100
-5.91595798,2.40097253,0.01321515,0.62864086,0.68575414,0.76276283,0.01039294,0.82598270,0.40019942,0.11963938
-5.90995498,2.43874158,0.01311688,0.64174482,0.67588511,0.78137179,0.01024599,0.83371122,0.40496376,0.12400305
-5.90395198,2.47415298,0.01308275,0.65364126,0.66601486,0.79906385,0.01010352,0.84103322,0.40909534,0.12811543
