energy_ev,total_up,Ag_p_up,Ag_d_up,Mg_p_up,Mg_d_up,N_s_up,N_p_up,S_s_up,S_p_up
-6.00000000,14.89250454,2.09996486,9.35484703,0.77265447,0.00000000,0.01364922,1.78719660,0.10293835,2.14657777
-5.99399700,15.17168962,2.12795694,9.56891352,0.77370235,0.00000000,0.01361007,1.82373474,0.10302875,2.17139177
-5.98799400,15.42290154,2.14990656,9.76789462,0.77283454,0.00000000,0.01353475,1.85722063,0.10302048,2.19119520
-5.98199100,15.64493607,2.16548589,9.95096986,0.77010487,0.00000000,0.01342519,1.88744470,0.10292120,2.20591997
-5.97598799,15.83704546,2.17448994,10.11753048,0.76561480,0.00000000,0.01328454,1.91423312,0.10274115,2.21560284
-5.96998499,15.99889862,2.17684199,10.26714760,0.75951038,0.00000000,0.01311721,1.93744336,0.10249300,2.22038076
-5.96398199,16.13052696,2.17259490,10.39953406,0.75197763,0.00000000,0.01292880,1.95695877,0.10219154,2.22048280
-5.95797899,16.23226007,2.16192855,10.51450294,0.74323674,0.00000000,0.01272597,1.97268251,0.10185318,2.21621917
-5.95197599,16.30465611,2.14514316,10.61192646,0.73353516,0.00000000,0.01251625,1.98453159,0.10149532,2.20796773
-5.94597299,16.34843216,2.12264921,10.69169861,0.72313983,0.00000000,0.01230786,1.99243162,0.10113564,2.19615881
-5.93996998,16.36439925,2.09495411,10.75370485,0.71232886,0.00000000,0.01210944,1.99631276,0.10079125,2.18125877
-5.93396698,16.35340655,2.06264637,10.79780116,0.70138289,0.00000000,0.01192975,1.99610748,0.10047789,2.16375336
-5.92796398,16.31629815,2.02637799,10.82380460,0.69057650,0.00000000,0.01177739,1.99175024,0.10020911,2.14413130
-5.92196098,16.25388484,1.98684572,10.83149593,0.68016987,0.00000000,0.01166047,1.98317947,0.09999551,2.12286886
-5.91595798,16.16693196,1.94477219,10.82063441,0.67040103,0.00000000,0.01158631,1.97034160,0.09984417,2.10041602
-5.90995498,16.05616311,1.90088748,10.79098352,0.66147885,0.00000000,0.01156118,1.95319704,0.09975816,2.07718463
-5.90395198,15.92227847,1.85591204,10.74234577,0.65357712,0.00000000,0.01159003,1.93172765,0.09973626,2.05353893
-5.89794897,15.76598515,1.81054151,10.67460394,0.64682979,0.00000000,0.01167627,1.90594525,0.09977290,2.02978857
-5.89194597,15.58803649,1.76543410,10.58776567,0.64132752,0.00000000,0.01182166,1.87590049,0.09985830,2.00618437
-5.88594297,15.38927654,1.72120074,10.48200804,0.63711576,0.00000000,0.01202615,1.84169144,0.09997883,1.98291662
-5.87993997,15.17068592,1.67839857,10.35771894,0.63419422,0.00000000,0.01228786,1.80347126,0.10011752,1.96011589
-5.87393697,14.93342528,1.63752754,10.21553233,0.63251796,0.00000000,0.01260314,1.76145433,0.10025486,1.93785619
-5.86793397,14.67887302,1.59903028,10.05635475,0.63199989,0.00000000,0.01296660,1.71592039,0.10036958,1.91616007
-5.86193097,14.40865460,1.56329492,9.88138154,0.63251478,0.00000000,0.01337130,1.66721623,0.10043961,1.89500552
-5.85592796,14.12466133,1.53066044,9.69210149,0.63390445,0.00000000,0.01380895,1.61575481,0.10044313,1.87433411
-5.84992496,13.82905765,1.50142412,9.49028966,0.63598416,0.00000000,0.01427014,1.56201169,0.10035949,1.85406021
-5.84392196,13.52427625,1.47585036,9.27798895,0.63854990,0.00000000,0.01474469,1.50651887,0.10017021,1.83408076
-5.83791896,13.21300153,1.45418023,9.05748126,0.64138627,0.00000000,0.01522190,1.44985634,0.09985979,1.81428523
-5.83191596,12.89814226,1.43664094,8.83124986,0.64427480,0.00000000,0.01569096,1.39264157,0.09941643,1.79456542
