energy_ev,total_up,C_s_up,C_p_up,Cu_p_up,Cu_d_up,Pt_p_up,Pt_d_up,S_s_up,S_p_up
-6.00000000,7.43096695,0.02139903,0.90621730,0.99385920,0.17713002,3.07798105,3.71090351,0.06823923,1.72124937
-5.99399700,7.47069264,0.02242554,0.89000091,1.00510054,0.18530664,3.03492720,3.75553587,0.06673843,1.73520068
-5.98799400,7.53780723,0.02345180,0.87788102,1.01622862,0.19542895,3.00493715,3.81367836,0.06546805,1.75385356
-5.98199100,7.63321822,0.02447402,0.87010330,1.02721765,0.20752961,2.98862594,3.88567606,0.06445880,1.77736179
-5.97598799,7.75713889,0.02548830,0.86679038,1.03806022,0.22160528,2.98629616,3.97149131,0.06373417,1.80579657
-5.96998499,7.90907535,0.02649048,0.86793926,1.04877055,0.23761532,2.99794397,4.07069190,0.06330980,1.83914645
-5.96398199,8.08783230,0.02747604,0.87342274,1.05938658,0.25548135,3.02327147,4.18245069,0.06319322,1.87731866
-5.95797899,8.29153774,0.02844012,0.88299440,1.06997069,0.27508775,3.06170508,4.30555702,0.06338386,1.92014198
-5.95197599,8.51768679,0.02937740,0.89629748,1.08060932,0.29628331,3.11241939,4.43844019,0.06387338,1.96737122
-5.94597299,8.76320428,0.03028220,0.91287692,1.09141133,0.31888389,3.17436597,4.57920482,0.06464626,2.01869333
-5.93996998,9.02452506,0.03114847,0.93219467,1.10250529,0.34267612,3.24630671,4.72567739,0.06568063,2.07373519
-5.93396698,9.29769066,0.03196995,0.95364748,1.11403598,0.36742220,3.32685118,4.87546322,0.06694935,2.13207318
-5.92796398,9.57845981,0.03274027,0.97658682,1.12616005,0.39286559,3.41449720,5.02601216,0.06842119,2.19324414
-5.92196098,9.86242995,0.03345320,1.00034026,1.13904123,0.41873743,3.50767398,5.17469129,0.07006215,2.25675779
-5.91595798,10.14516600,0.03410286,1.02423362,1.15284514,0.44476357,3.60478668,5.31886223,0.07183690,2.32210998
-5.90995498,10.42233191,0.03468394,1.04761310,1.16773385,0.47067180,3.70426144,5.45596044,0.07371012,2.38879653
-5.90395198,10.68982039,0.03519199,1.06986668,1.18386042,0.49619926,3.80458937,5.58357343,0.07564787,2.45632692
-5.89794897,10.94387559,0.03562362,1.09044393,1.20136341,0.52109941,3.90436821,5.69951507,0.07761882,2.52423729
-5.89194597,11.18120380,0.03597676,1.10887355,1.22036160,0.54514853,4.00234007,5.80189268,0.07959533,2.59210216
-5.88594297,11.39906725,0.03625079,1.12477781,1.24094891,0.56815133,4.09742382,5.88916427,0.08155437,2.65954411
-5.87993997,11.59535691,0.03644663,1.13788354,1.26318972,0.58994543,4.18874077,5.96018325,0.08347815,2.72624108
-5.87393697,11.76864096,0.03656683,1.14802890,1.28711461,0.61040460,4.27563239,6.01422867,0.08535456,2.79193065
-5.86793397,11.91818640,0.03661551,1.15516589,1.31271670,0.62944049,4.35766924,6.05101959,0.08717734,2.85641129
-5.86193097,12.04395305,0.03659822,1.15935832,1.33994873,0.64700289,4.43465054,6.07071289,0.08894595,2.91954030
-5.85592796,12.14656000,0.03652178,1.16077540,1.36872097,0.66307851,4.50659423,6.07388466,0.09066518,2.98122867
-5.84992496,12.22722620,0.03639400,1.15968113,1.39890011,0.67768837,4.57371791,6.06149605,0.09234463,3.04143318
-5.84392196,12.28768804,0.03622337,1.15641999,1.43030929,0.69088388,4.63641127,6.03484520,0.09399781,3.10014606
-5.83791896,12.33009792,0.03601869,1.15139954,1.46272927,0.70274194,4.69520126,5.99550762,0.09564123,3.15738302
-5.83191596,12.35690855,0.03578871,1.14507066,1.49590089,0.71335928,4.75071147,5.94526769,0.09729327,3.21317011
-5.82591296,12.37074847,0.03554172,1.13790630,1.52952881,0.72284622,4.80361752,5.88604448,0.09897299,3.26753029
-5.81990995,12.37429438,0.03528523,1.13037968,1.56328635,0.73132031,4.85460039,5.81981533,0.10069892,3.32047028
-5.81390695,12.37014593,0.03502557,1.12294275,1.59682152,0.73890003,4.90429967,5.74854031,0.10248783,3.37196836
-5.80790395,12.36070831,0.03476766,1.11600606,1.62976383,0.74569881,4.95326892,5.67409091,0.10435362,3.42196375
-5.80190095,12.34808719,0.03451479,1.10992061,1.66173175,0.75181961,5.00193477,5.59818562,0.10630625,3.47034777
-5.79589795,12.33400011,0.03426846,1.10496265,1.69234063,0.75735034,5.05056172,5.52233479,0.10835082,3.51695735
-5.78989495,12.31970715,0.03402837,1.10132184,1.72121052,0.76236009,5.09922381,5.44779668,0.11048687,3.56157082
-5.78389195,12.30596300,0.03379238,1.09909335,1.74797385,0.76689642,5.14778447,5.37554571,0.11270782,3.60390617
-5.77788894,12.29299138,0.03355671,1.09827413,1.77228249,0.77098360,5.19588512,5.30625370,0.11500069,3.64362172
-5.77188594,12.28048192,0.03331603,1.09876339,1.79381403,0.77462198,5.24294310,5.24028398,0.11734602,3.68031903
-5.76588294,12.26760865,0.03306381,1.10036721,1.81227708,0.77778831,5.28815882,5.17769791,0.11971801,3.71354805
-5.75987994,12.25306873,0.03279253,1.10280713,1.82741550,0.78043703,5.33053198,5.11827287,0.12208499,3.74281422
-5.75387694,12.23513913,0.03249413,1.10573203,1.83901138,0.78250238,5.36888627,5.06153021,0.12441005,3.76758744
-5.74787394,12.21174871,0.03216028,1.10873306,1.84688708,0.78390134,5.40190166,5.00677172,0.12665191,3.78731280
-5.74187094,12.18056282,0.03178283,1.11136067,1.85090608,0.78453720,5.42815330,4.95312259,0.12876601,3.80142283
-5.73586793,12.13907708,0.03135418,1.11314323,1.85097313,0.78430362,5.44615565,4.89957905,0.13070578,3.80935110
-5.72986493,12.08471704,0.03086758,1.11360623,1.84703366,0.78308920,5.45441059,4.84505857,0.13242398,3.81054719
-5.72386193,12.01494027,0.03031750,1.11229145,1.83907275,0.78078224,5.45145773,4.78845084,0.13387417,3.80449241
-5.71785893,11.92733740,0.02969990,1.10877522,1.82711380,0.77727567,5.43592542,4.72866746,0.13501223,3.79071636
