energy_ev,total_up,C_s_up,C_p_up,Mn_p_up,Mn_d_up,Se_s_up,Se_p_up,W_p_up,W_d_up
-6.00000000,4.78917577,0.04230487,0.69629770,1.23431743,0.49876215,0.08917669,2.10094751,2.26037503,1.07787572
-5.99399700,4.49739095,0.04086277,0.64571520,1.13888592,0.46818571,0.08517052,1.97397753,2.13411267,1.01736169
-5.98799400,4.22175445,0.03968704,0.59705974,1.04673812,0.43890916,0.08148288,1.85424285,2.01543813,0.96035374
-5.98199100,3.96635638,0.03880900,0.55097898,0.95884841,0.41133312,0.07820367,1.74350444,1.90628755,0.90779291
-5.97598799,3.73471697,0.03825219,0.50802591,0.87606779,0.38582230,0.07541459,1.64330033,1.80827214,0.86046391
-5.96998499,3.52974333,0.03803188,0.46865290,0.79911828,0.36270245,0.07318780,1.55492811,1.72265342,0.81898094
-5.96398199,3.35370547,0.03815498,0.43320904,0.72859128,0.34225862,0.07158489,1.47943475,1.65033010,0.78377942
-5.95797899,3.20823086,0.03862002,0.40194078,0.66494955,0.32473445,0.07065611,1.41761315,1.59183626,0.75511354
-5.95197599,3.09431600,0.03941745,0.37499539,0.60853225,0.31033257,0.07043994,1.37000506,1.54735009,0.73305936
-5.94597299,3.01235326,0.04053007,0.35242682,0.55956243,0.29921584,0.07096301,1.33690957,1.51671246,0.71752313
-5.93996998,2.96217069,0.04193364,0.33420362,0.51815633,0.29150932,0.07224015,1.31839635,1.49945385,0.70825418
-5.93396698,2.94308235,0.04359769,0.32021823,0.48433390,0.28730279,0.07427478,1.31432272,1.49482850,0.70486177
-5.92796398,2.95394647,0.04548641,0.31029734,0.45802996,0.28665361,0.07705944,1.32435351,1.50185423,0.70683516
-5.92196098,2.99322898,0.04755961,0.30421286,0.43910529,0.28958961,0.08057643,1.34798279,1.51935630,0.71356603
-5.91595798,3.05906955,0.04977386,0.30169296,0.42735745,0.29611192,0.08479860,1.38455653,1.54601390,0.72437246
-5.90995498,3.14934794,0.05208352,0.30243295,0.42253055,0.30619738,0.08969012,1.43329512,1.58040777,0.73852362
