energy_ev,total_up,Ag_p_up,Ag_d_up,C_s_up,C_p_up,S_s_up,S_p_up
-6.00000000,3.60611497,0.68318650,3.24295808,0.01420656,0.03593174,0.00686194,0.26113928
-5.99399700,3.55300468,0.65252135,3.19669536,0.01419459,0.03520585,0.00679585,0.25902238
-5.98799400,3.49474169,0.62334313,3.14576733,0.01410021,0.03450995,0.00673738,0.25604940
-5.98199100,3.43115416,0.59573236,3.08996752,0.01392421,0.03385284,0.00668458,0.25223639
-5.97598799,3.36223793,0.56975408,3.02923946,0.01366939,0.03324419,0.00663551,0.24762354
-5.96998499,3.28818085,0.54546397,2.96369971,0.01334046,0.03269464,0.00658839,0.24227500
-5.96398199,3.20937912,0.52291407,2.89365395,0.01294393,0.03221592,0.00654180,0.23627764
-5.95797899,3.12644470,0.50215770,2.81960490,0.01248785,0.03182077,0.00649478,0.22973911
-5.95197599,3.04020292,0.48325308,2.74225167,0.01198162,0.03152281,0.00644695,0.22278508
-5.94597299,2.95168051,0.46626556,2.66248025,0.01143565,0.03133630,0.00639861,0.21555581
-5.93996998,2.86208412,0.45126830,2.58134554,0.01086108,0.03127578,0.00635077,0.20820221
-5.93396698,2.77277025,0.43834127,2.50004537,0.01026942,0.03135557,0.00630514,0.20088151
-5.92796398,2.68520780,0.42756880,2.41988783,0.00967226,0.03158929,0.00626409,0.19375270
-5.92196098,2.60093489,0.41903584,2.34225310,0.00908095,0.03198925,0.00623062,0.18697190
-5.91595798,2.52151158,0.41282311,2.26855137,0.00850630,0.03256585,0.00620821,0.18068795
-5.90995498,2.44847070,0.40900166,2.20017870,0.00795834,0.03332696,0.00620073,0.17503820
-5.90395198,2.38326866,0.40762699,2.13847251,0.00744612,0.03427740,0.00621226,0.17014479
-5.89794897,2.32723842,0.40873342,2.08466863,0.00697753,0.03541842,0.00624697,0.16611147
-5.89194597,2.28154633,0.41232878,2.03986150,0.00655919,0.03674737,0.00630895,0.16302115
-5.88594297,2.24715473,0.41839004,2.00496916,0.00619637,0.03825744,0.00640203,0.16093410
-5.87993997,2.22479162,0.42685995,1.98070422,0.00589296,0.03993754,0.00652971,0.15988701
-5.87393697,2.21492848,0.43764516,1.96755204,0.00565148,0.04177247,0.00669499,0.15989284
-5.86793397,2.21776708,0.45061571,1.96575669,0.00547309,0.04374308,0.00690030,0.16094137
-5.86193097,2.23323560,0.46560613,1.97531516,0.00535770,0.04582673,0.00714746,0.16300051
-5.85592796,2.26099398,0.48241807,1.99597999,0.00530402,0.04799789,0.00743761,0.16601827
-5.84992496,2.30044831,0.50082431,2.02726998,0.00530967,0.05022879,0.00777125,0.16992520
-5.84392196,2.35077339,0.52057405,2.06848850,0.00537131,0.05249028,0.00814824,0.17463725
-5.83791896,2.41094251,0.54139920,2.11874864,0.00548474,0.05475268,0.00856790,0.18005899
-5.83191596,2.47976325,0.56302136,2.17700410,0.00564503,0.05698676,0.00902907,0.18608687
-5.82591296,2.55591786,0.58515923,2.24208468,0.00584666,0.05916459,0.00953021,0.19261254
-5.81990995,2.63800662,0.60753618,2.31273497,0.00608365,0.06126047,0.01006953,0.19952611
-5.81390695,2.72459258,0.62988757,2.38765485,0.00634967,0.06325173,0.01064513,0.20671904
-5.80790395,2.81424602,0.65196760,2.46554024,0.00663819,0.06511941,0.01125510,0.21408684
-5.80190095,2.90558706,0.67355547,2.54512271,0.00694263,0.06684884,0.01189767,0.22153129
-5.79589795,2.99732490,0.69446059,2.62520658,0.00725645,0.06843005,0.01257132,0.22896218
-5.78989495,3.08829240,0.71452665,2.70470204,0.00757333,0.06985801,0.01327489,0.23629856
-5.78389195,3.17747474,0.73363461,2.78265340,0.00788727,0.07113272,0.01400767,0.24346950
-5.77788894,3.26403138,0.75170425,2.85826128,0.00819271,0.07225910,0.01476941,0.25041437
-5.77188594,3.34731050,0.76869456,2.93089814,0.00848469,0.07324673,0.01556046,0.25708260
-5.76588294,3.42685560,0.78460283,3.00011660,0.00875890,0.07410947,0.01638164,0.26343310
-5.75987994,3.50240421,0.79946243,3.06565033,0.00901180,0.07486490,0.01723434,0.26943334
-5.75387694,3.57387872,0.81333963,3.12740761,0.00924069,0.07553367,0.01812034,0.27505823
-5.74787394,3.64136995,0.82632923,3.18545780,0.00944371,0.07613874,0.01904181,0.28028877
-5.74187094,3.70511422,0.83854944,3.24001143,0.00961990,0.07670460,0.02000110,0.28511068
-5.73586793,3.76546488,0.85013604,3.29139477,0.00976919,0.07725635,0.02100061,0.28951310
-5.72986493,3.82285951,0.86123590,3.34002002,0.00989228,0.07781880,0.02204258,0.29348734
-5.72386193,3.87778437,0.87200035,3.38635237,0.00999063,0.07841560,0.02312889,0.29702579
-5.71785893,3.93073760,0.88257828,3.43087555,0.01006635,0.07906832,0.02426080,0.30012112
-5.71185593,3.98219278,0.89310948,3.47405738,0.01012204,0.07979556,0.02543870,0.30276567
-5.70585293,4.03256472,0.90371826,3.51631699,0.01016064,0.08061218,0.02666190,0.30495118
-5.69984992,4.08217888,0.91450771,3.55799523,0.01018531,0.08152858,0.02792837,0.30666874
-5.69384692,4.13124615,0.92555480,3.59932982,0.01019925,0.08255004,0.02923457,0.30790912
-5.68784392,4.17984414,0.93690649,3.64043654,0.01020554,0.08367625,0.03057528,0.30866319
-5.68184092,4.22790606,0.94857711,3.68129747,0.01020703,0.08490099,0.03194349,0.30892272
-5.67583792,4.27521795,0.96054719,3.72175689,0.01020617,0.08621194,0.03333039,0.30868120
-5.66983492,4.32142452,0.97276365,3.76152549,0.01020497,0.08759074,0.03472540,0.30793488
-5.66383192,4.36604354,0.98514168,3.80019248,0.01020492,0.08901322,0.03611632,0.30668377
-5.65782891,4.40848822,0.99756803,3.83724546,0.01020695,0.09044992,0.03748952,0.30493271
-5.65182591,4.44809679,1.00990571,3.87209702,0.01021145,0.09186673,0.03883027,0.30269236
-5.64582291,4.48416781,1.02199995,3.90411692,0.01021829,0.09322583,0.04012313,0.29998007
-5.63981991,4.51599970,1.03368511,3.93266832,0.01022691,0.09448682,0.04135240,0.29682063
-5.63381691,4.54293251,1.04479223,3.95714631,0.01023636,0.09560797,0.04250263,0.29324677
-5.62781391,4.56438994,1.05515694,3.97701677,0.01024541,0.09654760,0.04355918,0.28929954
-5.62181091,4.57991948,1.06462719,3.99185357,0.01025266,0.09726560,0.04450873,0.28502834
-5.61580790,4.58922850,1.07307058,4.00137225,0.01025664,0.09772489,0.04533985,0.28049079
-5.60980490,4.59221443,1.08038071,4.00545824,0.01025587,0.09789284,0.04604346,0.27575225
-5.60380190,4.58898733,1.08648240,4.00418815,0.01024897,0.09774261,0.04661325,0.27088516
-5.59779890,4.57988350,1.09133531,3.99784281,0.01023471,0.09725429,0.04704597,0.26596806
-5.59179590,4.56546908,1.09493587,3.98691126,0.01021204,0.09641581,0.04734162,0.26108443
-5.58579290,4.54653333,1.09731735,3.97208512,0.01018015,0.09522354,0.04750349,0.25632125
-5.57978989,4.52407148,1.09854800,3.95424345,0.01013842,0.09368260,0.04753810,0.25176747
-5.57378689,4.49925756,1.09872752,3.93442848,0.01008645,0.09180682,0.04745494,0.24751223
-5.56778389,4.47340843,1.09798183,3.91381313,0.01002403,0.08961838,0.04726612,0.24364305
-5.56178089,4.44794006,1.09645655,3.89366151,0.00995111,0.08714705,0.04698589,0.24024393
-5.55577789,4.42431803,1.09430956,3.87528398,0.00986778,0.08442923,0.04663005,0.23739340
-5.54977489,4.40400417,1.09170294,3.85998868,0.00977424,0.08150666,0.04621533,0.23516270
-5.54377189,4.38840146,1.08879482,3.84903133,0.00967081,0.07842499,0.04575873,0.23361395
-5.53776888,4.37879949,1.08573149,3.84356555,0.00955788,0.07523218,0.04527682,0.23279854
-5.53176588,4.37632278,1.08264029,3.84459549,0.00943596,0.07197692,0.04478512,0.23275568
-5.52576288,4.38188386,1.07962349,3.85293294,0.00930571,0.06870699,0.04429752,0.23351117
-5.51975988,4.39614320,1.07675361,3.86916039,0.00916793,0.06546778,0.04382583,0.23507646
-5.51375688,4.41947744,1.07407021,3.89360172,0.00902360,0.06230097,0.04337939,0.23744799
-5.50775388,4.45195722,1.07157841,3.92630157,0.00887395,0.05924336,0.04296484,0.24060690
-5.50175088,4.49333542,1.06924909,3.96701422,0.00872048,0.05632603,0.04258603,0.24451898
-5.49574787,4.54304630,1.06702065,4.01520240,0.00856498,0.05357372,0.04224401,0.24913499
-5.48974487,4.60021540,1.06480226,4.07004611,0.00840951,0.05100457,0.04193725,0.25439132
-5.48374187,4.66367992,1.06247825,4.13046109,0.00825648,0.04863000,0.04166180,0.26021088
-5.47773887,4.73201867,1.05991346,4.19512625,0.00810855,0.04645504,0.04141174,0.26650430
-5.47173587,4.80359044,1.05695919,4.26251904,0.00796860,0.04447873,0.04117952,0.27317137
-5.46573287,4.87657954,1.05345943,4.33095754,0.00783970,0.04269478,0.04095643,0.28010264
-5.45972986,4.94904657,1.04925708,4.39864764,0.00772501,0.04109239,0.04073305,0.28718124
-5.45372686,5.01898292,1.04419983,4.46373389,0.00762769,0.03965713,0.04049975,0.29428481
-5.44772386,5.08436703,1.03814557,4.52435205,0.00755079,0.03837186,0.04024703,0.30128751
-5.44172086,5.14322058,1.03096707,4.57868181,0.00749718,0.03721771,0.03996599,0.30806218
-5.43571786,5.19366300,1.02255579,4.62499789,0.00746943,0.03617495,0.03964858,0.31448244
-5.42971486,5.23396251,1.01282494,4.66171799,0.00746975,0.03522382,0.03928790,0.32042495
-5.42371186,5.26258246,1.00171155,4.68744630,0.00749992,0.03434530,0.03887839,0.32577154
-5.41770885,5.27822174,0.98917781,4.70101122,0.00756123,0.03352171,0.03841597,0.33041147
-5.41170585,5.27984834,0.97521170,4.70149658,0.00765453,0.03273720,0.03789809,0.33424351
-5.40570285,5.26672548,0.95982696,4.68826550,0.00778016,0.03197814,0.03732384,0.33717807
-5.39969985,5.23842978,0.94306268,4.66097663,0.00793808,0.03123340,0.03669387,0.33913917
-5.39369685,5.19486160,0.92498249,4.61959253,0.00812789,0.03049446,0.03601042,0.34006629
-5.38769385,5.13624735,0.90567356,4.56438038,0.00834893,0.02975549,0.03527723,0.33991602
-5.38169085,5.06313424,0.88524545,4.49590524,0.00860036,0.02901333,0.03449955,0.33866354
-5.37568784,4.97637784,0.86382885,4.41501631,0.00888132,0.02826736,0.03368399,0.33630372
-5.36968484,4.87712295,0.84157425,4.32282693,0.00919095,0.02751936,0.03283851,0.33285190
-5.36368184,4.76677856,0.81865056,4.22068888,0.00952855,0.02677335,0.03197231,0.32834434
-5.35767884,4.64698744,0.79524350,4.11016195,0.00989360,0.02603530,0.03109573,0.32283808
-5.35167584,4.51959123,0.77155390,3.99297941,0.01028580,0.02531294,0.03022013,0.31641043
-5.34567284,4.38659171,0.74779560,3.87101038,0.01070507,0.02461543,0.02935776,0.30915782
-5.33966983,4.25010911,0.72419302,3.74621993,0.01115149,0.02395313,0.02852159,0.30119424
-5.33366683,4.11233823,0.70097838,3.62062768,0.01162525,0.02333724,0.02772508,0.29264899
-5.32766383,3.97550322,0.67838830,3.49626588,0.01212648,0.02277952,0.02698195,0.28366412
-5.32166083,3.84181184,0.65666004,3.37513764,0.01265512,0.02229194,0.02630587,0.27439130
