energy_ev,total_up,C_s_up,C_p_up,Hg_p_up,Hg_d_up,Se_s_up,Se_p_up,Ti_p_up,Ti_d_up
-6.00000000,4.09300753,0.12679503,0.10115943,0.75047035,1.45915839,0.12977236,1.39626141,0.83057814,0.30419695
-5.99399700,4.15468482,0.13133253,0.10353983,0.77753186,1.47256044,0.13051597,1.42176418,0.84610392,0.31230817
-5.98799400,4.21415592,0.13596521,0.10585112,0.80490606,1.48482264,0.13105952,1.44671196,0.86141755,0.32008113
-5.98199100,4.27096524,0.14064853,0.10807686,0.83234564,1.49583460,0.13140620,1.47090875,0.87650485,0.32744294
-5.97598799,4.32476790,0.14533690,0.11020516,0.85960988,1.50553442,0.13156477,1.49418866,0.89137835,0.33432978
-5.96998499,4.37532043,0.14998384,0.11222884,0.88646708,1.51390359,0.13154898,1.51641428,0.90607230,0.34068736
-5.96398199,4.42246650,0.15454198,0.11414530,0.91269621,1.52095958,0.13137687,1.53747380,0.92063656,0.34647123
-5.95797899,4.46611879,0.15896314,0.11595626,0.93808806,1.52674680,0.13106989,1.55727716,0.93512954,0.35164684
-5.95197599,4.50623800,0.16319842,0.11766726,0.96244577,1.53132641,0.13065187,1.57575158,0.94961068,0.35618931
-5.94597299,4.54281047,0.16719833,0.11928702,0.98558492,1.53476562,0.13014805,1.59283658,0.96413275,0.36008299
-5.93996998,4.57582567,0.17091302,0.12082656,1.00733313,1.53712720,0.12958391,1.60847898,0.97873439,0.36332083
-5.93396698,4.60525493,0.17429273,0.12229829,1.02752946,1.53845981,0.12898418,1.62262795,0.99343328,0.36590358
-5.92796398,4.63103270,0.17728830,0.12371496,1.04602368,1.53878966,0.12837178,1.63523066,1.00822017,0.36783887
-5.92196098,4.65304141,0.17985195,0.12508849,1.06267545,1.53811412,0.12776695,1.64622852,1.02305436,0.36914013
-5.91595798,4.67110087,0.18193818,0.12642897,1.07735367,1.53639759,0.12718644,1.65555444,1.03786056,0.36982559
-5.90995498,4.68496284,0.18350481,0.12774351,1.08993614,1.53356982,0.12664287,1.66313109,1.05252759,0.36991717
-5.90395198,4.69431108,0.18451423,0.12903536,1.10030946,1.52952683,0.12614425,1.66887048,1.06690891,0.36943953
-5.89794897,4.69876707,0.18493463,0.13030313,1.10836947,1.52413436,0.12569372,1.67267469,1.08082511,0.36841918
-5.89194597,4.69790096,0.18474127,0.13154015,1.11402218,1.51723352,0.12528942,1.67443799,1.09406817,0.36688371
-5.88594297,4.69124757,0.18391774,0.13273422,1.11718515,1.50864851,0.12492456,1.67405012,1.10640758,0.36486132
-5.87993997,4.67832633,0.18245708,0.13386751,1.11778951,1.49819582,0.12458767,1.67140076,1.11759799,0.36238046
-5.87393697,4.65866457,0.18036270,0.13491681,1.11578231,1.48569439,0.12426302,1.66638490,1.12738808,0.35946978
-5.86793397,4.63182293,0.17764908,0.13585409,1.11112937,1.47097630,0.12393119,1.65890911,1.13553044,0.35615832
-5.86193097,4.59742171,0.17434221,0.13664735,1.10381836,1.45389742,0.12356971,1.64889825,1.14179203,0.35247590
-5.85592796,4.55516716,0.17047965,0.13726170,1.09386203,1.43434732,0.12315390,1.63630259,1.14596480,0.34845385
-5.84992496,4.50487633,0.16611024,0.13766071,1.08130145,1.41225825,0.12265769,1.62110487,1.14787594,0.34412583
-5.84392196,4.44649958,0.16129355,0.13780791,1.06620897,1.38761251,0.12205459,1.60332713,1.14739757,0.33952882
-5.83791896,4.38013949,0.15609885,0.13766838,1.04869090,1.36044812,0.12131863,1.58303688,1.14445512,0.33470426
-5.83191596,4.30606560,0.15060387,0.13721046,1.02888954,1.33086234,0.12042528,1.56035237,1.13903423,0.32969912
-5.82591296,4.22472390,0.14489324,0.13640726,1.00698443,1.29901310,0.11935244,1.53544662,1.13118569,0.32456695
-5.81990995,4.13674070,0.13905669,0.13523820,0.98319266,1.26511820,0.11808124,1.50854990,1.12102812,0.31936872
-5.81390695,4.04292041,0.13318708,0.13369025,0.95776805,1.22945228,0.11659685,1.47995039,1.10874821,0.31417343
-5.80790395,3.94423696,0.12737835,0.13175897,0.93099912,1.19234180,0.11488914,1.44999278,1.09459825,0.30905839
-5.80190095,3.84181892,0.12172334,0.12944916,0.90320566,1.15415808,0.11295317,1.41907472,1.07889105,0.30410899
-5.79589795,3.73692836,0.11631170,0.12677519,0.87473401,1.11530870,0.11078955,1.38764089,1.06199216,0.29941806
-5.78989495,3.63093406,0.11122782,0.12376095,0.84595098,1.07622748,0.10840459,1.35617483,1.04430967,0.29508473
-5.78389195,3.52527948,0.10654885,0.12043934,0.81723648,1.03736346,0.10581026,1.32518856,1.02628177,0.29121263
-5.77788894,3.42144649,0.10234290,0.11685147,0.78897510,0.99916903,0.10302395,1.29521021,1.00836264,0.28790773
-5.77188594,3.32091590,0.09866747,0.11304546,0.76154681,0.96208778,0.10006801,1.26677008,0.99100692,0.28527569
-5.76588294,3.22512607,0.09556807,0.10907499,0.73531705,0.92654223,0.09696916,1.24038545,0.97465366,0.28341880
-5.75987994,3.13543097,0.09307709,0.10499758,0.71062662,0.89292204,0.09375765,1.21654487,0.95971013,0.28243288
-5.75387694,3.05305943,0.09121305,0.10087275,0.68778169,0.86157293,0.09046641,1.19569247,0.94653639,0.28240397
-5.74787394,2.97907713,0.08998004,0.09676019,0.66704435,0.83278672,0.08713003,1.17821298,0.93543123,0.28340527
-5.74187094,2.91435298,0.08936759,0.09271788,0.64862415,0.80679298,0.08378371,1.16441829,0.92662021,0.28549438
-5.73586793,2.85953147,0.08935082,0.08880034,0.63267105,0.78375242,0.08046225,1.15453616,0.92024636,0.28871103
-5.72986493,2.81501246,0.08989099,0.08505714,0.61927005,0.76375247,0.07719909,1.14870182,0.91636414,0.29307557
-5.72386193,2.78093949,0.09093637,0.08153160,0.60843797,0.74680524,0.07402543,1.14695292,0.91493693,0.29858823
-5.71785893,2.75719745,0.09242347,0.07825990,0.60012242,0.73284796,0.07096949,1.14922824,0.91583837,0.30522927
-5.71185593,2.74342003,0.09427860,0.07527045,0.59420332,0.72174599,0.06805601,1.15537050,0.91885754,0.31296021
-5.70585293,2.73900701,0.09641975,0.07258365,0.59049678,0.71329844,0.06530584,1.16513312,0.92370784,0.32172590
-5.69984992,2.74315079,0.09875871,0.07021211,0.58876145,0.70724608,0.06273581,1.17819089,0.93003911,0.33145749
-5.69384692,2.75487126,0.10120345,0.06816103,0.58870704,0.70328146,0.06035877,1.19415397,0.93745279,0.34207612
-5.68784392,2.77305766,0.10366062,0.06642909,0.59000471,0.70106083,0.05818380,1.21258484,0.94551899,0.35349720
-5.68184092,2.79651560,0.10603813,0.06500941,0.59229905,0.70021736,0.05621662,1.23301722,0.95379511,0.36563483
-5.67583792,2.82401726,0.10824781,0.06389079,0.59522105,0.70037526,0.05446007,1.25497617,0.96184488,0.37840642
-5.66983492,2.85435242,0.11020792,0.06305907,0.59840157,0.70116417,0.05291468,1.27799836,0.96925700,0.39173685
-5.66383192,2.88637820,0.11184546,0.06249850,0.60148486,0.70223322,0.05157930,1.30165146,0.97566252,0.40556223
-5.65782891,2.91906494,0.11309839,0.06219309,0.60414148,0.70326426,0.05045168,1.32555173,0.98075015,0.41983274
-5.65182591,2.95153651,0.11391732,0.06212784,0.60608009,0.70398367,0.04952904,1.34937893,0.98427871,0.43451453
-5.64582291,2.98310289,0.11426694,0.06228989,0.60705766,0.70417222,0.04880849,1.37288772,0.98608635,0.44959033
-5.63981991,3.01328383,0.11412694,0.06266938,0.60688782,0.70367272,0.04828739,1.39591513,0.98609598,0.46505891
-5.63381691,3.04182250,0.11349249,0.06326013,0.60544678,0.70239500,0.04796350,1.41838356,0.98431685,0.48093315
-5.62781391,3.06868864,0.11237413,0.06406001,0.60267686,0.70031817,0.04783505,1.44029948,0.98084229,0.49723699
-5.62181091,3.09407130,0.11079724,0.06507106,0.59858737,0.69748999,0.04790060,1.46174763,0.97584380,0.51400126
-5.61580790,3.11836162,0.10880102,0.06629932,0.59325301,0.69402357,0.04815879,1.48288139,0.96956183,0.53125871
-5.60980490,3.14212661,0.10643699,0.06775442,0.58680974,0.69009141,0.04860797,1.50390962,0.96229398,0.54903837
-5.60380190,3.16607539,0.10376717,0.06944890,0.57944848,0.68591721,0.04924572,1.52508085,0.95438102,0.56735978
-5.59779890,3.19101941,0.10086191,0.07139734,0.57140686,0.68176570,0.05006834,1.54666553,0.94619160,0.58622719
-5.59179590,3.21782864,0.09779761,0.07361530,0.56295946,0.67793108,0.05107033,1.56893743,0.93810644,0.60562420
-5.58579290,3.24738567,0.09465418,0.07611819,0.55440691,0.67472442,0.05224385,1.59215491,0.93050255,0.62550911
-5.57978989,3.28053973,0.09151261,0.07892000,0.54606426,0.67246057,0.05357829,1.61654307,0.92373838,0.64581125
