energy_ev,total_up,Au_p_up,Au_d_up,Co_p_up,Co_d_up,N_s_up,N_p_up,S_s_up,S_p_up
-6.00000000,4.33286022,0.95246196,2.23687798,0.87153206,0.39782857,0.00298718,0.58048234,0.00606042,1.00610472
-5.99399700,4.21135111,0.92316853,2.18577999,0.85005476,0.37940469,0.00280638,0.56674169,0.00570024,0.96791582
-5.98799400,4.08372846,0.89345613,2.13052224,0.82795977,0.36076510,0.00263312,0.55162525,0.00535800,0.92925939
-5.98199100,3.95090268,0.86327847,2.07153165,0.80538105,0.34212710,0.00246776,0.53521781,0.00503349,0.89045830
-5.97598799,3.81386446,0.83262374,2.00929500,0.78245230,0.32369764,0.00231052,0.51762749,0.00472668,0.85182782
-5.96998499,3.67366277,0.80151575,1.94434733,0.75930507,0.30566847,0.00216148,0.49898369,0.00443769,0.81366878
-5.96398199,3.53138212,0.77001349,1.87725956,0.73606707,0.28821213,0.00202058,0.47943440,0.00416684,0.77626146
-5.95797899,3.38812007,0.73820920,1.80862589,0.71286090,0.27147862,0.00188768,0.45914311,0.00391463,0.73986042
-5.95197599,3.24496603,0.70622528,1.73905169,0.68980302,0.25559317,0.00176253,0.43828531,0.00368175,0.70469044
-5.94597299,3.10298200,0.67421015,1.66914215,0.66700315,0.24065494,0.00164480,0.41704486,0.00346900,0.67094371
-5.93996998,2.96318575,0.64233331,1.59949210,0.64456383,0.22673671,0.00153412,0.39561019,0.00327732,0.63877823
-5.93396698,2.82653668,0.61077984,1.53067718,0.62258019,0.21388548,0.00143006,0.37417049,0.00310772,0.60831729
-5.92796398,2.69392442,0.57974451,1.46324644,0.60113977,0.20212392,0.00133218,0.35291199,0.00296121,0.57965012
-5.92196098,2.56616013,0.54942573,1.39771626,0.58032248,0.19145250,0.00124001,0.33201446,0.00283882,0.55283335
-5.91595798,2.44397015,0.52001958,1.33456559,0.56020037,0.18185213,0.00115312,0.31164790,0.00274150,0.52789326
-5.90995498,2.32799174,0.49171406,1.27423217,0.54083748,0.17328726,0.00107108,0.29196953,0.00267012,0.50482851
-5.90395198,2.21877054,0.46468371,1.21710969,0.52228947,0.16570912,0.00099351,0.27312122,0.00262540,0.48361335
-5.89794897,2.11675930,0.43908491,1.16354544,0.50460333,0.15905905,0.00092005,0.25522727,0.00260791,0.46420094
-5.89194597,2.02231773,0.41505177,1.11383848,0.48781695,0.15327171,0.00085043,0.23839271,0.00261799,0.44652679
-5.88594297,1.93571295,0.39269292,1.06823795,0.47195880,0.14827813,0.00078438,0.22270207,0.00265575,0.43051211
-5.87993997,1.85712055,0.37208920,1.02694158,0.45704763,0.14400840,0.00072173,0.20821863,0.00272100,0.41606705
-5.87393697,1.78662589,0.35329225,0.99009409,0.44309235,0.14039393,0.00066232,0.19498427,0.00281325,0.40309367
-5.86793397,1.72422583,0.33632414,0.95778577,0.43009213,0.13736939,0.00060606,0.18301972,0.00293168,0.39148868
-5.86193097,1.66983069,0.32117781,0.93005100,0.41803666,0.13487408,0.00055289,0.17232532,0.00307506,0.38114587
-5.85592796,1.62326663,0.30781846,0.90686706,0.40690669,0.13285292,0.00050277,0.16288231,0.00324177,0.37195826
-5.84992496,1.58427846,0.29618565,0.88815319,0.39667481,0.13125704,0.00045568,0.15465430,0.00342979,0.36381992
-5.84392196,1.55253317,0.28619607,0.87377020,0.38730644,0.13004396,0.00041163,0.14758928,0.00363664,0.35662759
-5.83791896,1.52762421,0.27774670,0.86352083,0.37876091,0.12917753,0.00037061,0.14162170,0.00385942,0.35028187
-5.83191596,1.50907672,0.27071839,0.85715104,0.37099274,0.12862756,0.00033261,0.13667483,0.00409479,0.34468840
-5.82591296,1.49635396,0.26497957,0.85435239,0.36395284,0.12836942,0.00029763,0.13266312,0.00433903,0.33975864
-5.81990995,1.48886492,0.26038999,0.85476584,0.35758983,0.12838340,0.00026563,0.12949471,0.00458805,0.33541053
-5.81390695,1.48597331,0.25680431,0.85798692,0.35185114,0.12865418,0.00023656,0.12707371,0.00483747,0.33156906
-5.80790395,1.48700793,0.25407552,0.86357243,0.34668406,0.12917021,0.00021034,0.12530258,0.00508266,0.32816656
-5.80190095,1.49127431,0.25205802,0.87104872,0.34203662,0.12992325,0.00018689,0.12408416,0.00531888,0.32514307
-5.79589795,1.49806760,0.25061031,0.87992129,0.33785832,0.13090791,0.00016609,0.12332362,0.00554136,0.32244643
-5.78989495,1.50668639,0.24959737,0.88968579,0.33410071,0.13212132,0.00014780,0.12293019,0.00574538,0.32003243
-5.78389195,1.51644719,0.24889251,0.89983983,0.33071782,0.13356287,0.00013189,0.12281853,0.00592647,0.31786484
-5.77788894,1.52669916,0.24837893,0.90989556,0.32766647,0.13523397,0.00011819,0.12290998,0.00608045,0.31591533
-5.77188594,1.53683855,0.24795083,0.91939230,0.32490659,0.13713784,0.00010654,0.12313349,0.00620361,0.31416335
-5.76588294,1.54632234,0.24751427,0.92790893,0.32240133,0.13927935,0.00009678,0.12342626,0.00629281,0.31259592
-5.75987994,1.55468044,0.24698767,0.93507538,0.32011733,0.14166464,0.00008874,0.12373420,0.00634556,0.31120721
-5.75387694,1.56152585,0.24630204,0.94058265,0.31802481,0.14430080,0.00008226,0.12401209,0.00636011,0.30999804
-5.74787394,1.56656219,0.24540102,0.94419098,0.31609770,0.14719527,0.00007720,0.12422353,0.00633553,0.30897516
-5.74187094,1.56958814,0.24424072,0.94573549,0.31431375,0.15035519,0.00007340,0.12434068,0.00627172,0.30815031
-5.73586793,1.57049826,0.24278928,0.94512911,0.31265446,0.15378650,0.00007075,0.12434378,0.00616942,0.30753902
-5.72986493,1.56928009,0.24102632,0.94236237,0.31110501,0.15749291,0.00006912,0.12422050,0.00603018,0.30715924
-5.72386193,1.56600739,0.23894220,0.93750006,0.30965395,0.16147474,0.00006842,0.12396510,0.00585634,0.30702963
-5.71785893,1.56082961,0.23653705,0.93067477,0.30829268,0.16572760,0.00006854,0.12357749,0.00565089,0.30716772
-5.71185593,1.55395802,0.23381967,0.92207749,0.30701479,0.17024113,0.00006942,0.12306212,0.00541746,0.30758787
-5.70585293,1.54564905,0.23080621,0.91194572,0.30581508,0.17499769,0.00007097,0.12242691,0.00516010,0.30829910
-5.69984992,1.53618549,0.22751882,0.90054961,0.30468843,0.17997121,0.00007314,0.12168199,0.00488324,0.30930303
-5.69384692,1.52585662,0.22398401,0.88817679,0.30362848,0.18512625,0.00007585,0.12083856,0.00459148,0.31059178
-5.68784392,1.51493816,0.22023112,0.87511668,0.30262619,0.19041731,0.00007904,0.11990779,0.00428952,0.31214625
-5.68184092,1.50367321,0.21629069,0.86164501,0.30166842,0.19578857,0.00008266,0.11889979,0.00398196,0.31393466
-5.67583792,1.49225522,0.21219288,0.84800952,0.30073661,0.20117408,0.00008663,0.11782275,0.00367323,0.31591160
-5.66983492,1.48081400,0.20796606,0.83441745,0.29980568,0.20649839,0.00009088,0.11668227,0.00336745,0.31801780
-5.66383192,1.46940568,0.20363561,0.82102553,0.29884326,0.21167782,0.00009534,0.11548090,0.00306835,0.32018046
-5.65782891,1.45800722,0.19922294,0.80793314,0.29780948,0.21662223,0.00009992,0.11421798,0.00277920,0.32231448
