energy_ev,total_up,C_s_up,C_p_up,Li_s_up,Pt_p_up,Pt_d_up,Se_s_up,Se_p_up
-6.00000000,4.71687049,0.00938696,0.57386918,0.07308208,1.88484855,2.52568044,0.03257033,1.39603419
-5.99399700,4.77513434,0.00869189,0.56429394,0.07371598,1.84333921,2.57731682,0.03093679,1.43308805
-5.98799400,4.87222529,0.00809569,0.55977029,0.07570702,1.82033775,2.65097862,0.02968396,1.47912667
-5.98199100,5.00764406,0.00759331,0.56020384,0.07906341,1.81601227,2.74645573,0.02881654,1.53386160
-5.97598799,5.18031996,0.00717951,0.56541015,0.08378139,1.83023371,2.86323232,0.02833289,1.59686576
-5.96998499,5.38865605,0.00684919,0.57512322,0.08984521,1.86259880,3.00050564,0.02822547,1.66758721
-5.96398199,5.63057442,0.00659771,0.58900425,0.09722692,1.91245355,3.15720479,0.02848129,1.74536347
-5.95797899,5.90356014,0.00642110,0.60665048,0.10588586,1.97891625,3.33200878,0.02908240,1.82943566
-5.95197599,6.20470323,0.00631628,0.62760391,0.11576810,2.06089926,3.52336409,0.03000643,1.91896245
-5.94597299,6.53073906,0.00628112,0.65135996,0.12680570,2.15712918,3.72950195,0.03122705,2.01303358
-5.93996998,6.87808757,0.00631449,0.67737589,0.13891603,2.26616547,3.94845609,0.03271458,2.11068303
-5.93396698,7.24289290,0.00641628,0.70507922,0.15200119,2.38641794,4.17808174,0.03443654,2.21090209
-5.92796398,7.62106487,0.00658723,0.73387625,0.16594766,2.51616353,4.41607707,0.03635829,2.31265240
-5.92196098,8.00832388,0.00682887,0.76316075,0.18062624,2.65356328,4.66000778,0.03844370,2.41487939
-5.91595798,8.40025082,0.00714328,0.79232295,0.19589242,2.79668014,4.90733587,0.04065593,2.51652617
-5.90995498,8.79234301,0.00753291,0.82075892,0.21158728,2.94349850,5.15545305,0.04295826,2.61654825
-5.90395198,9.18007692,0.00800035,0.84788041,0.22753887,3.09194604,5.40171904,0.04531499,2.71392886
-5.89794897,9.55897759,0.00854806,0.87312489,0.24356421,3.23991828,5.64350456,0.04769239,2.80769513
-5.89194597,9.92469399,0.00917818,0.89596592,0.25947186,3.38530614,5.87823842,0.05005972,2.89693459
-5.88594297,10.27307898,0.00989228,0.91592337,0.27506507,3.52602636,6.10345765,0.05239025,2.98081197
-5.87993997,10.60027176,0.01069119,0.93257337,0.29014536,3.66005439,6.31685919,0.05466227,3.05858551
-5.87393697,10.90278009,0.01157488,0.94555766,0.30451661,3.78545910,6.51635149,0.05685998,3.12962254
-5.86793397,11.17755933,0.01254229,0.95459181,0.31798933,3.90043840,6.70010398,0.05897434,3.19341346
-5.86193097,11.42208499,0.01359136,0.95947215,0.33038521,4.00335466,6.86659245,0.06100373,3.24958366
-5.85592796,11.63441550,0.01471896,0.96008089,0.34154156,4.09276859,7.01463819,0.06295432,3.29790262
-5.84992496,11.81324211,0.01592094,0.95638924,0.35131569,4.16747030,7.14343918,0.06484031,3.33828982
-5.84392196,11.95792328,0.01719224,0.94845822,0.35958883,4.22650622,7.25259156,0.06668378,3.37081686
-5.83791896,12.06850133,0.01852697,0.93643708,0.36626970,4.26920055,7.34210032,0.06851420,3.39570557
-5.83191596,12.14569998,0.01991858,0.92055913,0.37129726,4.29517031,7.41237836,0.07036765,3.41332200
