energy_ev,total_up,C_s_up,C_p_up,Mo_p_up,Mo_d_up,Ni_p_up,Ni_d_up,Se_s_up,Se_p_up
-6.00000000,3.43249205,0.01630100,0.51476884,0.98649978,1.18214755,0.64337385,0.72977385,0.03214762,1.41374831
-5.99399700,3.43022316,0.01712756,0.52216418,1.00008178,1.18778836,0.64001311,0.72960002,0.03143820,1.40390406
-5.98799400,3.42162605,0.01795374,0.52747884,1.01251671,1.18938269,0.63685965,0.72844703,0.03060330,1.39309343
-5.98199100,3.40725019,0.01877267,0.53067793,1.02381072,1.18696983,0.63409632,0.72644315,0.02966044,1.38170295
-5.97598799,3.38769046,0.01957623,0.53176322,1.03396514,1.18065630,0.63187842,0.72371399,0.02862864,1.37009277
-5.96998499,3.36356502,0.02035514,0.53077320,1.04297411,1.17061357,0.63032624,0.72037766,0.02752770,1.35858211
-5.96398199,3.33549351,0.02109907,0.52778224,1.05082305,1.15707396,0.62951887,0.71654057,0.02637770,1.34743623
-5.95797899,3.30407698,0.02179685,0.52289881,1.05748832,1.14032485,0.62948963,0.71229437,0.02519832,1.33685587
-5.95197599,3.26988040,0.02243671,0.51626292,1.06293817,1.12070161,0.63022328,0.70771393,0.02400836,1.32696959
-5.94597299,3.23341895,0.02300663,0.50804283,1.06713492,1.09857936,0.63165547,0.70285652,0.02282528,1.31782957
-5.93996998,3.19514838,0.02349471,0.49843124,1.07003848,1.07436400,0.63367435,0.69776227,0.02166483,1.30941107
-5.93396698,3.15546013,0.02388954,0.48764097,1.07161091,1.04848290,0.63612450,0.69245576,0.02054077,1.30161572
-5.92796398,3.11468095,0.02418067,0.47590037,1.07182182,1.02137541,0.63881288,0.68694855,0.01946472,1.29427847
-5.92196098,3.07307695,0.02435897,0.46344851,1.07065427,0.99348364,0.64151680,0.68124243,0.01844608,1.28717776
-5.91595798,3.03086122,0.02441701,0.45053030,1.06811068,0.96524360,0.64399327,0.67533320,0.01749205,1.28004854
-5.90995498,2.98820437,0.02434943,0.43739161,1.06421837,0.93707701,0.64598949,0.66921449,0.01660771,1.27259727
-5.90395198,2.94524670,0.02415314,0.42427450,1.05903415,0.90938383,0.64725393,0.66288147,0.01579620,1.26451814
-5.89794897,2.90211093,0.02382757,0.41141257,1.05264762,0.88253560,0.64754729,0.65633409,0.01505888,1.25550962
-5.89194597,2.85891421,0.02337469,0.39902651,1.04518267,0.85686955,0.64665296,0.64957951,0.01439556,1.24529033
-5.88594297,2.81577835,0.02279908,0.38731992,1.03679700,0.83268357,0.64438640,0.64263368,0.01380474,1.23361354
-5.87993997,2.77283714,0.02210778,0.37647534,1.02767929,0.81023194,0.64060292,0.63552182,0.01328380,1.22027932
-5.87393697,2.73024033,0.02131013,0.36665069,1.01804421,0.78972176,0.63520346,0.62827785,0.01282926,1.20514385
-5.86793397,2.68815345,0.02041747,0.35797595,1.00812518,0.77131016,0.62813826,0.62094272,0.01243690,1.18812545
-5.86193097,2.64675389,0.01944282,0.35055044,0.99816525,0.75510209,0.61940809,0.61356191,0.01210197,1.16920699
-5.85592796,2.60622306,0.01840049,0.34444042,0.98840646,0.74114897,0.60906315,0.60618215,0.01181929,1.14843485
-5.84992496,2.56673559,0.01730565,0.33967742,0.97907826,0.72944807,0.59719976,0.59884781,0.01158338,1.12591447
-5.84392196,2.52844627,0.01617390,0.33625718,0.97038549,0.71994272,0.58395508,0.59159704,0.01138851,1.10180300
-5.83791896,2.49147600,0.01502079,0.33413936,0.96249683,0.71252358,0.56950017,0.58445817,0.01122880,1.07629962
-5.83191596,2.45589779,0.01386148,0.33324815,0.95553418,0.70703092,0.55403195,0.57744657,0.01109827,1.04963415
-5.82591296,2.42172440,0.01271031,0.33347371,0.94956381,0.70325816,0.53776446,0.57056229,0.01099090,1.02205489
-5.81990995,2.38889851,0.01158049,0.33467474,0.94458976,0.70095660,0.52091986,0.56378866,0.01090073,0.99381624
-5.81390695,2.35728675,0.01048386,0.33668185,0.94055013,0.69984152,0.50371990,0.55709204,0.01082189,0.96516711
-5.80790395,2.32667827,0.00943068,0.33930203,0.93731646,0.69959949,0.48637799,0.55042286,0.01074875,0.93634064
-5.80190095,2.29678837,0.00842950,0.34232393,0.93469643,0.69989689,0.46909255,0.54371785,0.01067597,0.90754593
