energy_ev,total_up,Ag_p_up,Ag_d_up,N_s_up,N_p_up,S_s_up,S_p_up,W_p_up,W_d_up
-6.00000000,3.77102224,0.19544349,0.49752326,0.05423580,0.21636639,0.02534978,1.76985060,1.33960514,0.59882253
-5.99399700,3.73333003,0.19736560,0.49251412,0.05457276,0.21572144,0.02536550,1.75130807,1.33158108,0.58805848
-5.98799400,3.68805309,0.19852238,0.48657261,0.05463256,0.21458316,0.02526993,1.72967235,1.32135057,0.57677812
-5.98199100,3.63683339,0.19897546,0.47996939,0.05441465,0.21305065,0.02506930,1.70574097,1.30961111,0.56530301
-5.97598799,3.58157524,0.19881149,0.47301195,0.05392544,0.21124688,0.02477286,1.68042226,1.29715539,0.55397888
-5.96998499,3.52441160,0.19813968,0.46603870,0.05317810,0.20931770,0.02439263,1.65471810,1.28485470,0.54317020
-5.96398199,3.46765744,0.19708826,0.45941138,0.05219204,0.20742984,0.02394315,1.62970076,1.27363726,0.53325336
-5.95797899,3.41375140,0.19580015,0.45350591,0.05099224,0.20576790,0.02344101,1.60648458,1.26446213,0.52460839
-5.95197599,3.36518777,0.19442792,0.44870198,0.04960831,0.20453046,0.02290440,1.58619354,1.25828950,0.51760973
-5.94597299,3.32444132,0.19312829,0.44537183,0.04807332,0.20392526,0.02235249,1.56992585,1.25604851,0.51261623
-5.93996998,3.29388824,0.19205640,0.44386849,0.04642265,0.20416375,0.02180485,1.55871728,1.25860396,0.50996102
-5.93396698,3.27572664,0.19136012,0.44451413,0.04469267,0.20545503,0.02128084,1.55350487,1.26672321,0.50994153
-5.92796398,3.27190016,0.19117465,0.44758892,0.04291947,0.20799948,0.02079892,1.55509270,1.28104502,0.51281041
-5.92196098,3.28402852,0.19161764,0.45332081,0.04113767,0.21198224,0.02037614,1.56412149,1.30205153,0.51876769
-5.91595798,3.31334794,0.19278499,0.46187674,0.03937931,0.21756681,0.02002757,1.58104365,1.33004492,0.52795466
-5.90995498,3.36066467,0.19474764,0.47335567,0.03767295,0.22488891,0.01976583,1.60610488,1.36512990,0.54045000
-5.90395198,3.42632368,0.19754938,0.48778366,0.03604294,0.23405095,0.01960075,1.63933363,1.40720293,0.55626814
-5.89794897,3.51019411,0.20120569,0.50511121,0.03450899,0.24511718,0.01953910,1.68053873,1.45594893,0.57536039
-5.89194597,3.61167228,0.20570390,0.52521309,0.03308590,0.25810981,0.01958441,1.72931570,1.51084564,0.59761853
-5.88594297,3.72970223,0.21100430,0.54789057,0.03178360,0.27300623,0.01973692,1.78506137,1.57117579,0.62288095
-5.87993997,3.86281293,0.21704241,0.57287604,0.03060736,0.28973748,0.01999364,1.84699628,1.63604666,0.65094101
-5.87393697,4.00917057,0.22373213,0.59983986,0.02955829,0.30818806,0.02034850,1.91419388,1.70441623,0.68155734
-5.86793397,4.16664376,0.23096970,0.62839924,0.02863392,0.32819711,0.02079259,1.98561534,1.77512517,0.71446550
-5.86193097,4.33287886,0.23863818,0.65812877,0.02782897,0.34956113,0.02131447,2.06014827,1.84693319,0.74939052
-5.85592796,4.50538220,0.24661245,0.68857232,0.02713617,0.37203801,0.02190060,2.13664777,1.91855849,0.78605966
-5.84992496,4.68160596,0.25476426,0.71925591,0.02654711,0.39535245,0.02253571,2.21397803,1.98871873,0.82421483
-5.84392196,4.85903412,0.26296732,0.74970111,0.02605315,0.41920262,0.02320337,2.29105259,2.05617183,0.86362398
-5.83791896,5.03526505,0.27110219,0.77943852,0.02564617,0.44326778,0.02388645,2.36687167,2.11975511,0.90409085
-5.83191596,5.20808756,0.27906074,0.80802098,0.02531930,0.46721687,0.02456765,2.44055497,2.17842122,0.94546261
-5.82591296,5.37554760,0.28675007,0.83503598,0.02506753,0.49071747,0.02523008,2.51136860,2.23126945,0.98763499
-5.81990995,5.53600296,0.29409573,0.86011691,0.02488815,0.51344513,0.02585772,2.57874525,2.27757136,1.03055442
-5.81390695,5.68816435,0.30104426,0.88295290,0.02478101,0.53509258,0.02643596,2.64229674,2.31678982,1.07421723
-5.80790395,5.83112130,0.30756478,0.90329673,0.02474872,0.55537848,0.02695207,2.70181867,2.34859080,1.11866577
-5.80190095,5.96435233,0.31364984,0.92097075,0.02479656,0.57405535,0.02739563,2.75728728,2.37284769,1.16398151
-5.79589795,6.08771945,0.31931534,0.93587047,0.02493230,0.59091647,0.02775888,2.80884866,2.38963817,1.21027553
-5.78989495,6.20144738,0.32459970,0.94796577,0.02516590,0.60580130,0.02803704,2.85680121,2.39923396,1.25767678
-5.78389195,6.30608901,0.32956221,0.95729974,0.02550908,0.61859922,0.02822858,2.90157215,2.40208412,1.30631854
-5.77788894,6.40247868,0.33428079,0.96398502,0.02597471,0.62925152,0.02833529,2.94368940,2.39879278,1.35632391
-5.77188594,6.49167558,0.33884910,0.96819797,0.02657630,0.63775141,0.02836242,2.98375007,2.39009238,1.40779090
-5.76588294,6.57489996,0.34337326,0.97017069,0.02732728,0.64414213,0.02831858,3.02238720,2.37681367,1.46077791
-5.75987994,6.65346488,0.34796814,0.97018134,0.02824037,0.64851324,0.02821563,3.06023610,2.35985383,1.51529037
-5.75387694,6.72870656,0.35275346,0.96854303,0.02932688,0.65099519,0.02806839,3.09790186,2.34014396,1.57126922
-5.74787394,6.80191622,0.35784984,0.96559161,0.03059613,0.65175262,0.02789429,3.13592933,2.31861737,1.62858184
-5.74187094,6.87427630,0.36337469,0.96167307,0.03205483,0.65097643,0.02771295,3.17477683,2.29617970,1.68701604
-5.73586793,6.94680342,0.36943833,0.95713071,0.03370662,0.64887527,0.02754556,3.21479449,2.27368200,1.74627728
-5.72986493,7.02030031,0.37614026,0.95229283,0.03555162,0.64566671,0.02741431,3.25620796,2.25189745,1.80598956
-5.72386193,7.09531840,0.38356560,0.94746129,0.03758614,0.64156844,0.02734164,3.29910789,2.23150250,1.86569981
-5.71785893,7.17213200,0.39178197,0.94290129,0.03980247,0.63679012,0.02734953,3.34344536,2.21306253,1.92488573
-5.71185593,7.25072477,0.40083664,0.93883296,0.04218880,0.63152591,0.02745870,3.38903303,2.19702225,1.98296674
-5.70585293,7.33078843,0.41075413,0.93542485,0.04472932,0.62594827,0.02768784,3.43555168,2.18370071,2.03931755
-5.69984992,7.41173314,0.42153426,0.93278964,0.04740431,0.62020306,0.02805289,3.48256149,2.17329057,2.09328375
-5.69384692,7.49270859,0.43315069,0.93098217,0.05019052,0.61440617,0.02856631,3.52951734,2.16586116,2.14419885
-5.68784392,7.57263447,0.44554994,0.92999986,0.05306155,0.60864169,0.02923648,3.57578725,2.16136484,2.19140188
-5.68184092,7.65023875,0.45865096,0.92978535,0.05598837,0.60296169,0.03006719,3.62067299,2.15964602,2.23425504
-5.67583792,7.72410202,0.47234537,0.93023137,0.05893998,0.59738735,0.03105724,3.66343218,2.16045225,2.27216061
-5.66983492,7.79270614,0.48649820,0.93118743,0.06188410,0.59191153,0.03220023,3.70330097,2.16344690,2.30457660
-5.66383192,7.85448557,0.50094945,0.93246819,0.06478792,0.58650232,0.03348451,3.73951663,2.16822294,2.33103069
-5.65782891,7.90787974,0.51551620,0.93386314,0.06761893,0.58110756,0.03489327,3.77133963,2.17431753,2.35113198
-5.65182591,7.95138522,0.52999562,0.93514721,0.07034573,0.57565997,0.03640485,3.79807470,2.18122713,2.36458056
-5.64582291,7.98360651,0.54416865,0.93609191,0.07293883,0.57008263,0.03799324,3.81909077,2.18842307,2.37117465
-5.63981991,8.00330447,0.55780438,0.93647670,0.07537140,0.56429467,0.03962875,3.83383956,2.19536740,2.37081536
-5.63381691,8.00944171,0.57066527,0.93610021,0.07762001,0.55821684,0.04127881,3.84187276,2.20152921,2.36350929
-5.62781391,8.00122427,0.58251286,0.93479091,0.07966524,0.55177693,0.04290894,3.84285783,2.20640118,2.34936901
-5.62181091,7.97813902,0.59311411,0.93241702,0.08149216,0.54491467,0.04448384,3.83659232,2.20951648,2.32861185
-5.61580790,7.93998625,0.60224796,0.92889531,0.08309074,0.53758619,0.04596849,3.82301662,2.21046573,2.30155692
-5.60980490,7.88690685,0.60971223,0.92419857,0.08445606,0.52976783,0.04732930,3.80222493,2.20891402,2.26862097
-5.60380190,7.81940329,0.61533025,0.91836163,0.08558845,0.52145923,0.04853530,3.77447411,2.20461734,2.23031282
-5.59779890,7.73835391,0.61895735,0.91148555,0.08649340,0.51268570,0.04955919,3.74019005,2.19743820,2.18722681
-5.59179590,7.64501920,0.62048657,0.90374010,0.08718139,0.50349975,0.05037828,3.69997092,2.18735957,2.14003519
-5.58579290,7.54103966,0.61985365,0.89536422,0.08766752,0.49398189,0.05097537,3.65458681,2.17449668,2.08947943
-5.57978989,7.42842390,0.61704076,0.88666445,0.08797104,0.48424045,0.05133932,3.60497502,2.15910569,2.03636046
-5.57378689,7.30952639,0.61207899,0.87801125,0.08811474,0.47441071,0.05146551,3.55223047,2.14158863,1.98152780
-5.56778389,7.18701410,0.60504917,0.86983329,0.08812432,0.46465307,0.05135597,3.49759072,2.12249376,1.92586753
-5.56178089,7.06382177,0.59608115,0.86260954,0.08802750,0.45515040,0.05101933,3.44241514,2.10251080,1.87028896
-5.55577789,6.94309554,0.58535127,0.85685938,0.08785325,0.44610462,0.05047051,3.38815827,2.08246051,1.81571030
-5.54977489,6.82812572,0.57307818,0.85313080,0.08763085,0.43773244,0.04973011,3.33633734,2.06327849,1.76304310
-5.54377189,6.72226939,0.55951710,0.85198679,0.08738900,0.43026041,0.04882369,3.28849448,2.04599304,1.71317593
-5.53776888,6.62886443,0.54495260,0.85399029,0.08715484,0.42391938,0.04778077,3.24615441,2.03169763,1.66695741
-5.53176588,6.55113716,0.52969027,0.85968784,0.08695306,0.41893841,0.04663374,3.21077860,2.02151829,1.62517901
-5.52576288,6.49210609,0.51404756,0.86959252,0.08680506,0.41553836,0.04541667,3.18371743,2.01657707,1.58855817
-5.51975988,6.45448498,0.49834407,0.88416644,0.08672809,0.41392532,0.04416405,3.16616209,2.01795260,1.55772212
-5.51375688,6.44058872,0.48289176,0.90380344,0.08673458,0.41428406,0.04290954,3.15909780,2.02663919,1.53319309
-5.50775388,6.45224574,0.46798549,0.92881259,0.08683154,0.41677180,0.04168480,3.16326086,2.04350609,1.51537556
-5.50175088,6.49072083,0.45389412,0.95940301,0.08702009,0.42151243,0.04051839,3.17910110,2.06925853,1.50454600
-5.49574787,6.55665215,0.44085277,0.99567082,0.08729526,0.42859158,0.03943485,3.20675203,2.10440247,1.50084581
-5.48974487,6.65000588,0.42905633,1.03758877,0.08764586,0.43805268,0.03845391,3.24601044,2.14921455,1.50427787
-5.48374187,6.77005153,0.41865464,1.08499909,0.08805464,0.44989416,0.03758998,3.29632689,2.20371908,1.51470703
-5.47773887,6.91536021,0.40974945,1.13761030,0.08849867,0.46406825,0.03685184,3.35680826,2.26767322,1.53186490
-5.47173587,7.08382735,0.40239325,1.19499816,0.08894995,0.48048110,0.03624252,3.42623309,2.34056162,1.55535887
-5.46573287,7.27272042,0.39659005,1.25661117,0.08937619,0.49899473,0.03575949,3.50307980,2.42160121,1.58468541
-5.45972986,7.47875091,0.39229807,1.32178065,0.08974191,0.51943042,0.03539501,3.58556725,2.50975641,1.61924726
-5.45372686,7.69816906,0.38943402,1.38973535,0.09000957,0.54157378,0.03513674,3.67170675,2.60376468,1.65837410
-5.44772386,7.92687835,0.38787902,1.45962017,0.09014094,0.56518112,0.03496843,3.75936377,2.70217181,1.70134617
-5.44172086,8.16056599,0.38748565,1.53051864,0.09009857,0.58998701,0.03487090,3.84632717,2.80337584,1.74741998
-5.43571786,8.39484467,0.38808583,1.60147817,0.08984715,0.61571271,0.03482294,3.93038355,2.90567805,1.79585529
-5.42971486,8.62540002,0.38949933,1.67153747,0.08935502,0.64207508,0.03480241,4.00939348,3.00733921,1.84594248
-5.42371186,8.84813809,0.39154221,1.73975484,0.08859548,0.66879552,0.03478727,4.08136684,3.10663876,1.89702929
-5.41770885,9.05932653,0.39403514,1.80523636,0.08754793,0.69560869,0.03475661,4.14453376,3.20193455,1.94854596
-5.41170585,9.25572368,0.39681090,1.86716281,0.08619888,0.72227038,0.03469163,4.19740838,3.29172051,2.00002788
-5.40570285,9.43469008,0.39972100,1.92481406,0.08454263,0.74856422,0.03457647,4.23884247,3.37467986,2.05113484
-5.39969985,9.59427747,0.40264102,1.97759016,0.08258174,0.77430695,0.03439893,4.26806664,3.44973140,2.10166621
-5.39369685,9.73329147,0.40547437,2.02502795,0.08032710,0.79935185,0.03415104,4.28471728,3.51606670,2.15157131
-5.38769385,9.85132538,0.40815463,2.06681275,0.07779780,0.82359024,0.03382943,4.28884808,3.57317676,2.20095466
-5.38169085,9.94876356,0.41064608,2.10278462,0.07502061,0.84695091,0.03343556,4.28092563,3.62086657,2.25007556
-5.37568784,10.02675443,0.41294278,2.13293896,0.07202924,0.86939765,0.03297568,4.26180940,3.65925712,2.29934209
-5.36968484,10.08715445,0.41506611,2.15742174,0.06886336,0.89092489,0.03246071,4.23271701,3.68877470,2.34929922
-5.36368184,10.13244568,0.41706115,2.17651954,0.06556741,0.91155179,0.03190586,4.19517648,3.71012794,2.40061147
-5.35767884,10.16563056,0.41899201,2.19064515,0.06218936,0.93131524,0.03133019,4.15096756,3.72427375,2.45404016
-5.35167584,10.19010865,0.42093655,2.20031958,0.05877924,0.95026208,0.03075593,4.10205483,3.73237368,2.51041584
-5.34567284,10.20954053,0.42298082,2.20615126,0.05538783,0.96844108,0.03020781,4.05051540,3.73574267,2.57060645
-5.33966983,10.22770454,0.42521343,2.20881370,0.05206527,0.98589535,0.02971222,3.99846442,3.73579268,2.63548188
-5.33366683,10.24835215,0.42772034,2.20902253,0.04885979,1.00265536,0.02929634,3.94798118,3.73397344,2.70587587
-5.32766383,10.27506751,0.43058025,2.20751299,0.04581652,1.01873345,0.02898731,3.90103894,3.73171324,2.78254628
-5.32166083,10.31113654,0.43386080,2.20501871,0.04297653,1.03411974,0.02881128,3.85944087,3.73036197,2.86613481
-5.31565783,10.35942982,0.43761582,2.20225269,0.04037597,1.04878015,0.02879262,3.82476441,3.73113897,2.95712752
-5.30965483,10.42230340,0.44188355,2.19989091,0.03804538,1.06265631,0.02895304,3.79831561,3.73508750,3.05581761
-5.30365183,10.50152030,0.44668603,2.19855898,0.03600924,1.07566768,0.02931091,3.78109477,3.74303779,3.16227173
-5.29764882,10.59819464,0.45202936,2.19882212,0.03428559,1.08771550,0.02988056,3.77377383,3.75557951,3.27630157
-5.29164582,10.71275964,0.45790483,2.20117822,0.03288596,1.09868853,0.03067173,3.77668579,3.77304466,3.39744207
-5.28564282,10.84495947,0.46429069,2.20605404,0.03181527,1.10847011,0.03168913,3.78982565,3.79550110,3.52493763
-5.27963982,10.99386443,0.47115428,2.21380407,0.03107202,1.11694621,0.03293209,3.81286221,3.82275631,3.65773763
-5.27363682,11.15790801,0.47845441,2.22471170,0.03064848,1.12401383,0.03439442,3.84515943,3.85437102,3.79450217
-5.26763382,11.33494399,0.48614357,2.23899223,0.03053108,1.12958951,0.03606431,3.88580624,3.88968152,3.93361866
-5.26163082,11.52232098,0.49417007,2.25679731,0.03070077,1.13361718,0.03792442,3.93365305,3.92782940,4.07322953
-5.25562781,11.71697174,0.50247962,2.27822032,0.03113362,1.13607518,0.03995218,3.98735362,3.96779734,4.21127069
-5.24962481,11.91551404,0.51101657,2.30330241,0.03180134,1.13698181,0.04212010,4.04541045,4.00844918,4.34552023
-5.24362181,12.11435989,0.51972467,2.33203876,0.03267198,1.13639949,0.04439636,4.10622240,4.04857275,4.47365582
-5.23761881,12.30982980,0.52854731,2.36438502,0.03371064,1.13443694,0.04674546,4.16813302,4.08692368,4.59331924
-5.23161581,12.49826850,0.53742754,2.40026361,0.03488025,1.13124970,0.04912896,4.22947835,4.12226878,4.70218574
-5.22561281,12.67615883,0.54630783,2.43956989,0.03614236,1.12703873,0.05150646,4.28863293,4.15342750,4.79803569
-5.21960980,12.84023037,0.55512986,2.48217806,0.03745810,1.12204727,0.05383652,4.34405317,4.17931016,4.87882562
-5.21360680,12.98755953,0.56383444,2.52794676,0.03878896,1.11655623,0.05607767,4.39431703,4.19895198,4.94275578
-5.20760380,13.11565810,0.57236177,2.57672423,0.04009777,1.11087812,0.05818955,4.43815930,4.21154199,4.98833122
-5.20160080,13.22254717,0.58065214,2.62835306,0.04134951,1.10534987,0.06013387,4.47450176,4.21644611,5.01441375
-5.19559780,13.30681414,0.58864715,2.68267414,0.04251222,1.10032474,0.06187547,4.50247752,4.21322394,5.02026221
-5.18959480,13.36765043,0.59629153,2.73952993,0.04355770,1.09616351,0.06338324,4.52144921,4.20163901,5.00555939
-5.18359180,13.40486850,0.60353534,2.79876653,0.04446223,1.09322506,0.06463092,4.53102027,4.18166233,4.97042393
-5.17758879,13.41889706,0.61033661,2.86023455,0.04520708,1.09185672,0.06559774,4.53103937,4.15346928,4.91540701
-5.17158579,13.41075432,0.61666421,2.92378859,0.04577896,1.09238425,0.06626897,4.52159743,4.11743017,4.84147339
-5.16558279,13.38199993,0.62250065,2.98928511,0.04617022,1.09510186,0.06663620,4.50301747,4.07409479,4.74996813
-5.15957979,13.33466709,0.62784462,3.05657875,0.04637892,1.10026227,0.06669740,4.47583745,4.02417153,4.64257007
-5.15357679,13.27117720,0.63271305,3.12551727,0.04640869,1.10806703,0.06645686,4.44078643,3.96850194,4.52123447
-5.14757379,13.19424049,0.63714248,3.19593528,0.04626843,1.11865731,0.06592487,4.39875490,3.90803136,4.38812724
-5.14157079,13.10674656,0.64118942,3.26764726,0.04597179,1.13210547,0.06511721,4.35076022,3.84377698,4.24555391
-5.13556778,13.01164959,0.64492971,3.34044034,0.04553658,1.14840771,0.06405452,4.29790827,3.77679418,4.09588627
-5.12956478,12.91185334,0.64845678,3.41406769,0.04498389,1.16747809,0.06276153,4.24135302,3.70814257,3.94149008
-5.12356178,12.81010115,0.65187879,3.48824292,0.04433730,1.18914443,0.06126614,4.18225535,3.63885295,3.78465672
-5.11755878,12.70887612,0.65531466,3.56263665,0.04362186,1.21314639,0.05959853,4.12174301,3.56989646,3.62754163
-5.11155578,12.61031616,0.65888942,3.63687552,0.04286319,1.23913608,0.05779021,4.06087333,3.50215701,3.47211170
-5.10555278,12.51614773,0.66272868,3.71054439,0.04208642,1.26668169,0.05587306,4.00060026,3.43640822,3.32010338
-5.09954977,12.42764142,0.66695293,3.78319201,0.04131539,1.29527399,0.05387850,3.94174718,3.37329556,3.17299269
-5.09354677,12.34559093,0.67167156,3.85434021,0.04057176,1.32433619,0.05183672,3.88498659,3.31332431,3.03197746
-5.08754377,12.27031595,0.67697713,3.92349632,0.03987435,1.35323668,0.04977595,3.83082730,3.25685377,2.89797175
-5.08154077,12.20168789,0.68294012,3.99016854,0.03923854,1.38130474,0.04772198,3.77960957,3.20409756,2.77161153
-5.07553777,12.13917627,0.68960432,4.05388311,0.03867595,1.40784844,0.04569768,3.73150802,3.15512972,2.65327047
-5.06953477,12.08191210,0.69698320,4.11420262,0.03819416,1.43217440,0.04372279,3.68654174,3.10989602,2.54308401
-5.06353177,12.02876401,0.70505729,4.17074402,0.03779667,1.45360846,0.04181374,3.64459063,3.06822953,2.44097981
-5.05752876,11.97842194,0.71377274,4.22319514,0.03748303,1.47151653,0.03998357,3.60541682,3.02986931,2.34671239
-5.05152576,11.92948316,0.72304112,4.27132859,0.03724909,1.48532452,0.03824208,3.56868948,2.99448112,2.25989983
-5.04552276,11.88053533,0.73274036,4.31501179,0.03708741,1.49453668,0.03659591,3.53401154,2.96167864,2.18006050
-5.03951976,11.83023191,0.74271691,4.35421236,0.03698771,1.49875123,0.03504879,3.50094666,2.93104421,2.10664797
-5.03351676,11.77735587,0.75278892,4.38899829,0.03693753,1.49767269,0.03360179,3.46904490,2.90214784,2.03908275
-5.02751376,11.72086881,0.76275040,4.41953277,0.03692282,1.49112030,0.03225361,3.43786576,2.87456359,1.97677949
-5.02151076,11.65994385,0.77237618,4.44606380,0.03692857,1.47903214,0.03100089,3.40699768,2.84788279,1.91916919
-5.01550775,11.59398168,0.78142754,4.46890924,0.03693949,1.46146477,0.02983850,3.37607309,2.82172360,1.86571593
-5.00950475,11.52261070,0.78965838,4.48843830,0.03694062,1.43858862,0.02875987,3.34477898,2.79573698,1.81592833
-5.00350175,11.44567306,0.79682172,4.50505057,0.03691786,1.41067929,0.02775731,3.31286276,2.76960928,1.76936600
-4.99749875,11.36319944,0.80267641,4.51915418,0.03685845,1.37810541,0.02682223,3.28013394,2.74306191,1.72564171
-4.99149575,11.27537588,0.80699385,4.53114444,0.03675140,1.34131379,0.02594549,3.24646218,2.71584877,1.68442021
-4.98549275,11.18250648,0.80956458,4.54138443,0.03658771,1.30081261,0.02511763,3.21177252,2.68775227,1.64541440
-4.97948974,11.08497542,0.81020453,4.55018892,0.03636061,1.25715349,0.02432912,3.17603880,2.65857877,1.60838005
-4.97348674,10.98321192,0.80876075,4.55781257,0.03606562,1.21091358,0.02357063,3.13927601,2.62815422,1.57310970
-4.96748374,10.87766068,0.80511651,4.56444313,0.03570052,1.16267815,0.02283323,3.10153272,2.59632073,1.53942670
-4.96148074,10.76876010,0.79919549,4.57020008,0.03526527,1.11302472,0.02210863,3.06288402,2.56293462,1.50717989
-4.95547774,10.65692928,0.79096500,4.57513860,0.03476181,1.06250922,0.02138935,3.02342579,2.52786631,1.47623931
-4.94947474,10.54256425,0.78043801,4.57925852,0.03419381,1.01165453,0.02066894,2.98327054,2.49100222,1.44649315
-4.94347174,10.42604287,0.76767401,4.58251753,0.03356638,0.96094184,0.01994204,2.94254495,2.45224850,1.41784604
-4.93746873,10.30773729,0.75277847,4.58484767,0.03288574,0.91080471,0.01920460,2.90138916,2.41153648,1.39021852
-4.93146573,10.18803198,0.73590099,4.58617390,0.03215889,0.86162594,0.01845385,2.85995748,2.36882931,1.36354737
-4.92546273,10.06734550,0.71723224,4.58643367,0.03139327,0.81373676,0.01768841,2.81842016,2.32412925,1.33778661
-4.91945973,9.94615335,0.69699957,4.58559599,0.03059645,0.76741835,0.01690821,2.77696591,2.27748503,1.31290874
-4.91345673,9.82500991,0.67546167,4.58367906,0.02977585,0.72290485,0.01611450,2.73580449,2.22899862,1.28890591
