energy_ev,total_up,Cu_p_up,Cu_d_up,Sb_p_up,Sb_d_up,Se_s_up,Se_p_up
-6.00000000,1.77262999,0.84959433,1.07489445,0.35023418,0.00435154,0.00994863,0.38702680
-5.99399700,1.89526908,0.91208932,1.15167990,0.36335818,0.00457144,0.01063838,0.42420620
-5.98799400,2.02544224,0.97832303,1.23298010,0.37677727,0.00481101,0.01135930,0.46414420
-5.98199100,2.16220578,1.04779885,1.31824356,0.39055736,0.00507095,0.01210599,0.50637357
-5.97598799,2.30454136,1.11996885,1.40687303,0.40476019,0.00535184,0.01287199,0.55039995
-5.96998499,2.45136730,1.19423963,1.49823370,0.41944177,0.00565411,0.01364978,0.59570810
-5.96398199,2.60155588,1.26998143,1.59166504,0.43465132,0.00597802,0.01443087,0.64177000
-5.95797899,2.75395625,1.34654020,1.68649592,0.45043103,0.00632358,0.01520587,0.68805464
-5.95197599,2.90742192,1.42325227,1.78206237,0.46681633,0.00669055,0.01596470,0.73403913
-5.94597299,3.06084139,1.49946066,1.87772693,0.48383653,0.00707845,0.01669678,0.77922073
-5.93996998,3.21316998,1.57453240,1.97289865,0.50151569,0.00748651,0.01739131,0.82312920
-5.93396698,3.36346095,1.64787557,2.06705213,0.51987345,0.00791372,0.01803750,0.86533894
-5.92796398,3.51089360,1.71895518,2.15974455,0.53892544,0.00835881,0.01862494,0.90548023
-5.92196098,3.65479630,1.78730660,2.25062927,0.55868317,0.00882027,0.01914388,0.94324891
-5.91595798,3.79466265,1.85254583,2.33946486,0.57915314,0.00929635,0.01958549,0.97841406
-5.90995498,3.93015920,1.91437561,2.42611880,0.60033495,0.00978508,0.01994220,1.01082307
-5.90395198,4.06112381,1.97258696,2.51056519,0.62221851,0.01028423,0.02020789,1.04040387
-5.89794897,4.18755438,2.02705590,2.59287646,0.64478026,0.01079135,0.02037810,1.06716404
-5.89194597,4.30958831,2.07773551,2.67320923,0.66797871,0.01130370,0.02045012,1.09118688
-5.88594297,4.42747356,2.12464362,2.75178508,0.69174940,0.01181825,0.02042311,1.11262453
-5.87993997,4.54153323,2.16784706,2.82886731,0.71599983,0.01233167,0.02029809,1.13168847
-5.87393697,4.65212559,2.20744347,2.90473507,0.74060468,0.01284026,0.02007781,1.14863794
-5.86793397,4.75960230,2.24354172,2.97965650,0.76540175,0.01333999,0.01976673,1.16376680
-5.86193097,4.86426747,2.27624258,3.05386259,0.79018929,0.01382644,0.01937074,1.17738951
-5.85592796,4.96634042,2.30562071,3.12752349,0.81472494,0.01429484,0.01889703,1.18982703
-5.84992496,5.06592469,2.33170949,3.20072896,0.83872680,0.01474012,0.01835375,1.20139315
-5.84392196,5.16298541,2.35448962,3.27347414,0.86187682,0.01515692,0.01774981,1.21238213
-5.83791896,5.25733685,2.37388246,3.34565187,0.88382660,0.01553971,0.01709456,1.22305799
-5.83191596,5.34864085,2.38974857,3.41705182,0.90420567,0.01588289,0.01639752,1.23364604
-5.82591296,5.43641658,2.40189169,3.48736687,0.92263191,0.01618094,0.01566816,1.24432679
-5.81990995,5.52006088,2.41006777,3.55620608,0.93872380,0.01642854,0.01491564,1.25523250
