energy_ev,total_up,C_s_up,C_p_up,Co_p_up,Co_d_up,Sc_p_up,Sc_d_up,Te_p_up,Te_d_up
-6.00000000,1.14366531,0.02917054,0.01668859,0.52416862,0.34013729,0.32493220,0.03334245,0.70956909,0.00000000
-5.99399700,1.18153800,0.03090221,0.01712217,0.53322219,0.35629326,0.33389086,0.03499563,0.73114704,0.00000000
-5.98799400,1.21781240,0.03271510,0.01754743,0.54085578,0.37212191,0.34207568,0.03684621,0.75160384,0.00000000
-5.98199100,1.25238554,0.03459045,0.01796108,0.54709823,0.38750756,0.34954347,0.03889170,0.77090980,0.00000000
-5.97598799,1.28527441,0.03650805,0.01836146,0.55204752,0.40236054,0.35638548,0.04113185,0.78911542,0.00000000
-5.96998499,1.31661434,0.03844631,0.01874855,0.55586770,0.41661910,0.36272469,0.04356859,0.80634959,0.00000000
-5.96398199,1.34665266,0.04038256,0.01912380,0.55878313,0.43025040,0.36871176,0.04620567,0.82281477,0.00000000
-5.95797899,1.37573784,0.04229332,0.01949003,0.56107026,0.44325050,0.37451995,0.04904830,0.83877887,0.00000000
-5.95197599,1.40430438,0.04415474,0.01985114,0.56304721,0.45564338,0.38033902,0.05210257,0.85456457,0.00000000
-5.94597299,1.43285402,0.04594313,0.02021187,0.56506156,0.46747901,0.38636847,0.05537481,0.87053591,0.00000000
-5.93996998,1.46193375,0.04763550,0.02057743,0.56747689,0.47883039,0.39281021,0.05887074,0.88708308,0.00000000
-5.93396698,1.49211137,0.04921025,0.02095319,0.57065828,0.48978977,0.39986103,0.06259470,0.90460544,0.00000000
-5.92796398,1.52394948,0.05064778,0.02134430,0.57495762,0.50046400,0.40770491,0.06654869,0.92349370,0.00000000
-5.92196098,1.55797857,0.05193113,0.02175535,0.58069904,0.51096913,0.41650566,0.07073144,0.94411168,0.00000000
-5.91595798,1.59467029,0.05304652,0.02219001,0.58816499,0.52142456,0.42639985,0.07513754,0.96677831,0.00000000
-5.90995498,1.63441168,0.05398381,0.02265077,0.59758361,0.53194661,0.43749049,0.07975653,0.99175047,0.00000000
-5.90395198,1.67748130,0.05473684,0.02313867,0.60911762,0.54264199,0.44984145,0.08457214,1.01920740,0.00000000
-5.89794897,1.72402825,0.05530358,0.02365307,0.62285536,0.55360121,0.46347297,0.08956166,1.04923716,0.00000000
-5.89194597,1.77405471,0.05568608,0.02419158,0.63880412,0.56489220,0.47835826,0.09469542,1.08182568,0.00000000
-5.88594297,1.82740292,0.05589026,0.02474999,0.65688618,0.57655442,0.49442145,0.09993657,1.11684904,0.00000000
-5.87993997,1.88374725,0.05592554,0.02532228,0.67693763,0.58859376,0.51153694,0.10524106,1.15406920,0.00000000
-5.87393697,1.94259179,0.05580419,0.02590074,0.69871012,0.60097833,0.52953024,0.11055782,1.19313356,0.00000000
-5.86793397,2.00327395,0.05554072,0.02647617,0.72187557,0.61363562,0.54818031,0.11582938,1.23357860,0.00000000
-5.86193097,2.06497420,0.05515099,0.02703811,0.74603366,0.62645104,0.56722345,0.12099266,1.27483759,0.00000000
