energy_ev,total_up,C_s_up,C_p_up,Ca_p_up,Ca_d_up,Te_p_up,Te_d_up,Y_p_up,Y_d_up
-6.00000000,2.14602770,0.01590950,0.05105870,0.02709242,0.00000000,1.41764283,0.00000000,0.64512768,0.27742455
-5.99399700,2.08758758,0.01490368,0.04895577,0.02649472,0.00000000,1.37947125,0.00000000,0.63391015,0.26980908
-5.98799400,2.03122514,0.01390275,0.04688719,0.02592491,0.00000000,1.34260240,0.00000000,0.62366935,0.26249100
-5.98199100,1.97834640,0.01291970,0.04490069,0.02539977,0.00000000,1.30796041,0.00000000,0.61472930,0.25566890
-5.97598799,1.93015210,0.01196585,0.04304011,0.02493353,0.00000000,1.27633428,0.00000000,0.60734478,0.24951678
-5.96998499,1.88761285,0.01105075,0.04134452,0.02453752,0.00000000,1.24836130,0.00000000,0.60169645,0.24418044
-5.96398199,1.85145436,0.01018200,0.03984769,0.02422005,0.00000000,1.22451697,0.00000000,0.59788923,0.23977511
-5.95797899,1.82215245,0.00936533,0.03857768,0.02398628,0.00000000,1.20511149,0.00000000,0.59595366,0.23638428
-5.95197599,1.79993724,0.00860460,0.03755673,0.02383828,0.00000000,1.19029221,0.00000000,0.59585008,0.23405970
-5.94597299,1.78480566,0.00790191,0.03680133,0.02377521,0.00000000,1.18005165,0.00000000,0.59747522,0.23282239
-5.93996998,1.77654074,0.00725782,0.03632247,0.02379353,0.00000000,1.17423994,0.00000000,0.60067059,0.23266456
-5.93396698,1.77473624,0.00667149,0.03612610,0.02388728,0.00000000,1.17258086,0.00000000,0.60523226,0.23355231
-5.92796398,1.77882510,0.00614097,0.03621362,0.02404845,0.00000000,1.17469037,0.00000000,0.61092140,0.23542877
-5.92196098,1.78810987,0.00566338,0.03658254,0.02426737,0.00000000,1.18009651,0.00000000,0.61747495,0.23821763
-5.91595798,1.80179383,0.00523523,0.03722710,0.02453304,0.00000000,1.18825981,0.00000000,0.62461606,0.24182681
-5.90995498,1.81901137,0.00485257,0.03813901,0.02483354,0.00000000,1.19859330,0.00000000,0.63206370,0.24615221
-5.90395198,1.83885668,0.00451126,0.03930801,0.02515638,0.00000000,1.21048141,0.00000000,0.63954124,0.25108117
-5.89794897,1.86040987,0.00420714,0.04072254,0.02548880,0.00000000,1.22329732,0.00000000,0.64678366,0.25649586
-5.89194597,1.88276012,0.00393621,0.04237016,0.02581811,0.00000000,1.23641852,0.00000000,0.65354337,0.26227623
-5.88594297,1.90502558,0.00369470,0.04423803,0.02613191,0.00000000,1.24924029,0.00000000,0.65959452,0.26830270
-5.87993997,1.92637011,0.00347924,0.04631318,0.02641833,0.00000000,1.26118728,0.00000000,0.66473594,0.27445838
-5.87393697,1.94601699,0.00328686,0.04858266,0.02666622,0.00000000,1.27172321,0.00000000,0.66879282,0.28063102
-5.86793397,1.96325994,0.00311507,0.05103363,0.02686535,0.00000000,1.28035905,0.00000000,0.67161741,0.28671452
-5.86193097,1.97747188,0.00296182,0.05365329,0.02700650,0.00000000,1.28665971,0.00000000,0.67308882,0.29261018
