energy_ev,total_up,In_p_up,In_d_up,S_s_up,S_p_up,Ta_p_up,Ta_d_up
-1.83991996,0.45785057,0.11097670,0.00034248,0.00421862,0.04205396,0.19080809,0.42526349
-1.83391696,0.45945977,0.10353175,0.00035203,0.00382845,0.03929313,0.17295657,0.43651304
-1.82791396,0.46128485,0.09670705,0.00036050,0.00345476,0.03664213,0.15612499,0.44719167
-1.82191096,0.46302551,0.09050539,0.00036751,0.00310015,0.03410748,0.14035075,0.45694795
-1.81590795,0.46440498,0.08492121,0.00037272,0.00276668,0.03169390,0.12566110,0.46546587
-1.80990495,0.46517375,0.07994024,0.00037589,0.00245586,0.02940426,0.11207093,0.47247040
-1.80390195,0.46511343,0.07553973,0.00037682,0.00216866,0.02723973,0.09958180,0.47773230
-1.79789895,0.46404039,0.07168920,0.00037539,0.00190551,0.02520002,0.08818206,0.48107214
-1.79189595,0.46180910,0.06835164,0.00037155,0.00166640,0.02328372,0.07784779,0.48236327
-1.78589295,0.45831501,0.06548504,0.00036532,0.00145089,0.02148875,0.06854457,0.48153376
-1.77988994,0.45349677,0.06304423,0.00035679,0.00125821,0.01981274,0.06022965,0.47856713
-1.77388694,0.44733766,0.06098295,0.00034611,0.00108736,0.01825352,0.05285446,0.47350195
-1.76788394,0.43986639,0.05925589,0.00033347,0.00093714,0.01680945,0.04636733,0.46643034
-1.76188094,0.43115692,0.05782085,0.00031913,0.00080625,0.01547980,0.04071620,0.45749548
-1.75587794,0.42132771,0.05664070,0.00030335,0.00069337,0.01426498,0.03585119,0.44688820
-1.74987494,0.41054008,0.05568526,0.00028646,0.00059723,0.01316680,0.03172704,0.43484296
-1.74387194,0.39899607,0.05493284,0.00026876,0.00051666,0.01218856,0.02830537,0.42163319
-1.73786893,0.38693557,0.05437160,0.00025059,0.00045064,0.01133511,0.02555655,0.40756634
-1.73186593,0.37463311,0.05400045,0.00023227,0.00039839,0.01061283,0.02346147,0.39297862
-1.72586293,0.36239409,0.05382961,0.00021411,0.00035935,0.01002959,0.02201289,0.37822971
-1.71985993,0.35055066,0.05388083,0.00019641,0.00033325,0.00959461,0.02121660,0.36369739
-1.71385693,0.33945725,0.05418705,0.00017943,0.00032017,0.00931828,0.02109234,0.34977225
-1.70785393,0.32948569,0.05479176,0.00016341,0.00032048,0.00921193,0.02167441,0.33685238
-1.70185093,0.32102001,0.05574786,0.00014856,0.00033496,0.00928760,0.02301202,0.32533820
-1.69584792,0.31445080,0.05711618,0.00013505,0.00036474,0.00955770,0.02516940,0.31562720
-1.68984492,0.31016925,0.05896358,0.00012304,0.00041134,0.01003472,0.02822546,0.30810869
-1.68384192,0.30856065,0.06136076,0.00011261,0.00047665,0.01073083,0.03227318,0.30315840
-1.67783892,0.30999761,0.06437975,0.00010385,0.00056295,0.01165745,0.03741853,0.30113299
-1.67183592,0.31483273,0.06809126,0.00009680,0.00067285,0.01282484,0.04377879,0.30236430
-1.66583292,0.32339106,0.07256181,0.00009148,0.00080926,0.01424161,0.05148044,0.30715347
-1.65982991,0.33596222,0.07785082,0.00008789,0.00097538,0.01591424,0.06065625,0.31576484
-1.65382691,0.35279236,0.08400776,0.00008598,0.00117456,0.01784654,0.07144182,0.32841975
-1.64782391,0.37407618,0.09106938,0.00008572,0.00141025,0.02003919,0.08397126,0.34529040
-1.64182091,0.39994917,0.09905713,0.00008703,0.00168591,0.02248923,0.09837229,0.36649367
-1.63581791,0.43048019,0.10797490,0.00008986,0.00200481,0.02518960,0.11476061,0.39208542
-1.62981491,0.46566482,0.11780717,0.00009409,0.00236997,0.02812878,0.13323367,0.42205517
-1.62381191,0.50541966,0.12851755,0.00009965,0.00278393,0.03129045,0.15386407,0.45632152
-1.61780890,0.54957776,0.14004797,0.00010642,0.00324858,0.03465327,0.17669272,0.49472859
-1.61180590,0.59788566,0.15231834,0.00011430,0.00376504,0.03819081,0.20172196,0.53704358
-1.60580290,0.65000212,0.16522695,0.00012317,0.00433342,0.04187161,0.22890902,0.58295580
-1.59979990,0.70549882,0.17865150,0.00013293,0.00495266,0.04565933,0.25816018,0.63207737
-1.59379690,0.76386326,0.19245079,0.00014344,0.00562042,0.04951319,0.28932583,0.68394568
-1.58779390,0.82450394,0.20646709,0.00015461,0.00633293,0.05338843,0.32219693,0.73802787
-1.58179090,0.88675791,0.22052909,0.00016630,0.00708491,0.05723708,0.35650324,0.79372728
-1.57578789,0.94990065,0.23445552,0.00017841,0.00786957,0.06100876,0.39191346,0.85039200
-1.56978489,1.01315835,0.24805913,0.00019083,0.00867858,0.06465174,0.42803775,0.90732543
-1.56378189,1.07572216,0.26115122,0.00020344,0.00950219,0.06811401,0.46443263,0.96379861
-1.55777889,1.13676447,0.27354631,0.00021616,0.01032938,0.07134454,0.50060840,1.01906439
-1.55177589,1.19545661,0.28506716,0.00022887,0.01114803,0.07429456,0.53603902,1.07237279
-1.54577289,1.25098781,0.29554977,0.00024150,0.01194523,0.07691882,0.57017430,1.12298756
-1.53976988,1.30258477,0.30484830,0.00025395,0.01270757,0.07917695,0.60245395,1.17020330
-1.53376688,1.34953141,0.31283989,0.00026617,0.01342153,0.08103462,0.63232331,1.21336274
-1.52776388,1.39118823,0.31942911,0.00027808,0.01407382,0.08246475,0.65924989,1.25187374
-1.52176088,1.42701068,0.32455203,0.00028965,0.01465186,0.08344844,0.68274041,1.28522546
-1.51575788,1.45656601,0.32817975,0.00030084,0.01514412,0.08397586,0.70235739,1.31300311
-1.50975488,1.47954800,0.33032134,0.00031163,0.01554052,0.08404681,0.71773473,1.33490098
-1.50375188,1.49578905,0.33102608,0.00032203,0.01583281,0.08367116,0.72859158,1.35073304
-1.49774887,1.50526928,0.33038496,0.00033206,0.01601477,0.08286897,0.73474373,1.36044091
-1.49174587,1.50812211,0.32853136,0.00034178,0.01608254,0.08167036,0.73611211,1.36409880
-1.48574287,1.50463617,0.32564090,0.00035127,0.01603466,0.08011512,0.73272803,1.36191505
-1.47973987,1.49525322,0.32193034,0.00036064,0.01587220,0.07825203,0.72473459,1.35423030
-1.47373687,1.48056215,0.31765568,0.00037005,0.01559865,0.07613799,0.71238457,1.34151206
-1.46773387,1.46128889,0.31310922,0.00037968,0.01521988,0.07383683,0.69603449,1.32434576
-1.46173087,1.43828245,0.30861575,0.00038977,0.01474388,0.07141799,0.67613531,1.30342250
-1.45572786,1.41249738,0.30452774,0.00040060,0.01418050,0.06895493,0.65322007,1.27952348
-1.44972486,1.38497275,0.30121959,0.00041248,0.01354113,0.06652352,0.62788891,1.25350177
-1.44372186,1.35680824,0.29908093,0.00042578,0.01283834,0.06420018,0.60079223,1.22626147
-1.43771886,1.32913783,0.29850895,0.00044090,0.01208546,0.06206013,0.57261242,1.19873500
-1.43171586,1.30310147,0.29989991,0.00045827,0.01129619,0.06017544,0.54404519,1.17185898
-1.42571286,1.27981558,0.30363979,0.00047833,0.01048424,0.05861326,0.51578077,1.14654926
-1.41970985,1.26034303,0.31009418,0.00050156,0.00966296,0.05743409,0.48848593,1.12367590
-1.41370685,1.24566333,0.31959774,0.00052840,0.00884500,0.05669009,0.46278732,1.10403868
-1.40770385,1.23664387,0.33244315,0.00055931,0.00804211,0.05642368,0.43925651,1.08834398
-1.40170085,1.23401320,0.34887008,0.00059469,0.00726487,0.05666628,0.41839721,1.07718375
-1.39569785,1.23833701,0.36905433,0.00063486,0.00652263,0.05743731,0.40063497,1.07101734
-1.38969485,1.24999802,0.39309756,0.00068009,0.00582337,0.05874352,0.38630945,1.07015684
-1.38369185,1.26918033,0.42101807,0.00073055,0.00517373,0.06057858,0.37566944,1.07475669
-1.37768884,1.29585921,0.45274303,0.00078626,0.00457905,0.06292306,0.36887057,1.08480807
-1.37168584,1.32979701,0.48810265,0.00084712,0.00404347,0.06574480,0.36597569,1.10013848
-1.36568284,1.37054564,0.52682677,0.00091288,0.00357003,0.06899962,0.36695768,1.12041688
-1.35967984,1.41745601,0.56854427,0.00098311,0.00316089,0.07263242,0.37170466,1.14516436
-1.35367684,1.46969448,0.61278567,0.00105723,0.00281745,0.07657864,0.38002722,1.17377034
-1.34767384,1.52626622,0.65898917,0.00113448,0.00254056,0.08076611,0.39166754,1.20551387
-1.34167084,1.58604488,0.70651030,0.00121394,0.00233069,0.08511711,0.40630997,1.23958937
-1.33566783,1.64780783,0.75463503,0.00129457,0.00218809,0.08955073,0.42359291,1.27513614
-1.32966483,1.71027588,0.80259639,0.00137519,0.00211295,0.09398542,0.44312149,1.31127040
-1.32366183,1.77215613,0.84959391,0.00145453,0.00210549,0.09834158,0.46448073,1.34711874
-1.31765883,1.83218624,0.89481555,0.00153127,0.00216605,0.10254416,0.48724894,1.38185158
-1.31165583,1.88917851,0.93746138,0.00160407,0.00229518,0.10652523,0.51101066,1.41471516
-1.30565283,1.94206178,0.97676807,0.00167163,0.00249360,0.11022627,0.53536901,1.44506078
-1.29964982,1.98991945,1.01203321,0.00173270,0.00276226,0.11360027,0.55995687,1.47236966
-1.29364682,2.03202171,1.04263862,0.00178616,0.00310229,0.11661335,0.58444671,1.49627250
-1.28764382,2.06785071,1.06807140,0.00183103,0.00351492,0.11924608,0.60855844,1.51656256
-1.28164082,2.09711716,1.08794196,0.00186652,0.00400150,0.12149415,0.63206535,1.53320163
-1.27563782,2.11976772,1.10199801,0.00189209,0.00456337,0.12336864,0.65479764,1.54631855
-1.26963482,2.13598266,1.11013393,0.00190741,0.00520182,0.12489561,0.67664366,1.55620016
-1.26363182,2.14616376,1.11239496,0.00191241,0.00591806,0.12611528,0.69754869,1.56327517
-1.25762881,2.15091312,1.10897598,0.00190729,0.00671318,0.12708055,0.71751142,1.56809152
-1.25162581,2.15100364,1.10021485,0.00189252,0.00758814,0.12785518,0.73657835,1.57128836
-1.24562281,2.14734264,1.08658064,0.00186877,0.00854376,0.12851149,0.75483634,1.57356390
-1.23961981,2.14093017,1.06865709,0.00183696,0.00958074,0.12912774,0.77240367,1.57564054
-1.23361681,2.13281409,1.04712217,0.00179817,0.01069974,0.12978537,0.78942018,1.57822905
-1.22761381,2.12404371,1.02272452,0.00175363,0.01190140,0.13056603,0.80603667,1.58199330
-1.22161081,2.11562424,0.99625774,0.00170467,0.01318642,0.13154861,0.82240438,1.58751715
-1.21560780,2.10847397,0.96853378,0.00165265,0.01455558,0.13280633,0.83866466,1.59527500
-1.20960480,2.10338589,0.94035629,0.00159897,0.01600976,0.13440403,0.85493950,1.60560728
-1.20360180,2.10099537,0.91249512,0.00154494,0.01754996,0.13639568,0.87132318,1.61870180
-1.19759880,2.10175507,0.88566282,0.00149182,0.01917722,0.13882218,0.88787525,1.63458171
-1.19159580,2.10591786,0.86049410,0.00144072,0.02089250,0.14170963,0.90461519,1.65310056
-1.18559280,2.11352818,0.83752863,0.00139260,0.02269652,0.14506789,0.92151878,1.67394430
-1.17958979,2.12442197,0.81719798,0.00134823,0.02458948,0.14888976,0.93851621,1.69664027
-1.17358679,2.13823471,0.79981663,0.00130818,0.02657078,0.15315055,0.95549201,1.72057243
-1.16758379,2.15441697,0.78557742,0.00127280,0.02863862,0.15780817,0.97228654,1.74500217
-1.16158079,2.17225665,0.77455114,0.00124224,0.03078963,0.16280377,0.98869920,1.76909372
-1.15557779,2.19090656,0.76669019,0.00121643,0.03301838,0.16806286,1.00449285,1.79194308
-1.14957479,2.20941635,0.76183580,0.00119512,0.03531702,0.17349692,1.01939962,1.81260918
-1.14357179,2.22676711,0.75972843,0.00117789,0.03767484,0.17900546,1.03312769,1.83014617
-1.13756878,2.24190767,0.76002092,0.00116417,0.04007799,0.18447850,1.04536897,1.84363551
-1.13156578,2.25379083,0.76229357,0.00115327,0.04250925,0.18979940,1.05580745,1.85221673
-1.12556278,2.26140872,0.76607086,0.00114442,0.04494791,0.19484800,1.06412804,1.85511583
-1.11955978,2.26382577,0.77083899,0.00113682,0.04736995,0.19950393,1.07002576,1.85167036
-1.11355678,2.26020859,0.77606385,0.00112962,0.04974817,0.20365007,1.07321488,1.84135037
-1.10755378,2.24985178,0.78120879,0.00112201,0.05205276,0.20717595,1.07343806,1.82377474
-1.10155078,2.23219904,0.78575168,0.00111323,0.05425182,0.20998114,1.07047499,1.79872234
-1.09554777,2.20685921,0.78920083,0.00110256,0.05631226,0.21197826,1.06415038,1.76613793
-1.08954477,2.17361678,0.79110942,0.00108940,0.05820066,0.21309585,1.05434106,1.72613268
-1.08354177,2.13243689,0.79108791,0.00107326,0.05988439,0.21328056,1.04098182,1.67897961
-1.07753877,2.08346481,0.78881424,0.00105377,0.06133271,0.21249899,1.02406978,1.62510415
-1.07153577,2.02702016,0.78404163,0.00103068,0.06251786,0.21073877,1.00366708,1.56507040
-1.06553277,1.96358617,0.77660360,0.00100387,0.06341620,0.20800902,0.97990162,1.49956379
-1.05952976,1.89379461,0.76641632,0.00097338,0.06400908,0.20434006,0.95296579,1.42937077
-1.05352676,1.81840689,0.75347820,0.00093933,0.06428374,0.19978246,0.92311316,1.35535654
-1.04752376,1.73829225,0.73786672,0.00090200,0.06423383,0.19440537,0.89065303,1.27844150
-1.04152076,1.65440367,0.71973278,0.00086172,0.06385977,0.18829425,0.85594315,1.19957757
-1.03551776,1.56775263,0.69929279,0.00081893,0.06316883,0.18154808,0.81938071,1.11972501
-1.02951476,1.47938340,0.67681880,0.00077414,0.06217494,0.17427618,0.78139196,1.03983073
-1.02351176,1.39034793,0.65262715,0.00072790,0.06089816,0.16659473,0.74242086,0.96080877
-1.01750875,1.30168216,0.62706609,0.00068078,0.05936402,0.15862320,0.70291722,0.88352350
-1.01150575,1.21438445,0.60050290,0.00063338,0.05760255,0.15048074,0.66332473,0.80877604
-1.00550275,1.12939702,0.57331101,0.00058628,0.05564718,0.14228283,0.62406950,0.73729425
-0.99949975,1.04759068,0.54585778,0.00054006,0.05353354,0.13413814,0.58554953,0.66972624
-0.99349675,0.96975337,0.51849318,0.00049526,0.05129823,0.12614589,0.54812545,0.60663761
-0.98749375,0.89658266,0.49154015,0.00045240,0.04897757,0.11839363,0.51211310,0.54851187
-0.98149075,0.82868221,0.46528670,0.00041194,0.04660648,0.11095569,0.47777801,0.49575400
-0.97548774,0.76656194,0.43998014,0.00037428,0.04421742,0.10389219,0.44533206,0.44869642
-0.96948474,0.71064154,0.41582363,0.00033982,0.04183959,0.09724865,0.41493241,0.40760681
-0.96348174,0.66125675,0.39297493,0.00030885,0.03949827,0.09105621,0.38668251,0.37269709
-0.95747874,0.61866786,0.37154741,0.00028166,0.03721439,0.08533242,0.36063517,0.34413291
-0.95147574,0.58306934,0.35161306,0.00025848,0.03500440,0.08008239,0.33679737,0.32204277
-0.94547274,0.55460008,0.33320712,0.00023948,0.03288022,0.07530040,0.31513646,0.30652610
-0.93946973,0.53335318,0.31633417,0.00022482,0.03084953,0.07097172,0.29558740,0.29765985
-0.93346673,0.51938464,0.30097497,0.00021462,0.02891615,0.06707458,0.27806058,0.29550272
-0.92746373,0.51272006,0.28709390,0.00020895,0.02708056,0.06358219,0.26244985,0.30009696
-0.92146073,0.51335897,0.27464629,0.00020787,0.02534049,0.06046469,0.24864025,0.31146736
-0.91545773,0.52127631,0.26358536,0.00021141,0.02369165,0.05769093,0.23651518,0.32961724
-0.90945473,0.53642085,0.25386839,0.00021957,0.02212830,0.05523006,0.22596264,0.35452196
-0.90345173,0.55871067,0.24546169,0.00023230,0.02064397,0.05305283,0.21688026,0.38611976
-0.89744872,0.58802598,0.23834427,0.00024954,0.01923199,0.05113255,0.20917906,0.42430097
-0.89144572,0.62419973,0.23251003,0.00027118,0.01788594,0.04944576,0.20278580,0.46889577
-0.88544272,0.66700677,0.22796830,0.00029707,0.01660011,0.04797266,0.19764397,0.51966179
-0.87943972,0.71615243,0.22474300,0.00032701,0.01536971,0.04669708,0.19371345,0.57627204
-0.87343672,0.77126153,0.22287035,0.00036075,0.01419104,0.04560645,0.19096918,0.63830446
-0.86743372,0.83186882,0.22239536,0.00039799,0.01306159,0.04469139,0.18939878,0.70523390
-0.86143072,0.89741194,0.22336748,0.00043835,0.01197995,0.04394531,0.18899968,0.77642749
-0.85542771,0.96722781,0.22583553,0.00048142,0.01094575,0.04336391,0.18977586,0.85114420
-0.84942471,1.04055334,0.22984241,0.00052672,0.00995947,0.04294461,0.19173453,0.92853921
-0.84342171,1.11653098,0.23541971,0.00057369,0.00902228,0.04268620,0.19488303,1.00767344
-0.83741871,1.19421946,0.24258280,0.00062176,0.00813579,0.04258840,0.19922626,1.08752852
-0.83141571,1.27260990,0.25132651,0.00067030,0.00730187,0.04265161,0.20476478,1.16702684
-0.82541271,1.35064683,0.26162172,0.00071866,0.00652244,0.04287689,0.21149373,1.24505643
-0.81940970,1.42725370,0.27341310,0.00076615,0.00579933,0.04326590,0.21940274,1.32049975
-0.81340670,1.50136194,0.28661821,0.00081210,0.00513411,0.04382109,0.22847683,1.39226547
-0.80740370,1.57194249,0.30112786,0.00085586,0.00452801,0.04454598,0.23869822,1.45932197
-0.80140070,1.63803838,0.31680805,0.00089679,0.00398193,0.04544545,0.25004913,1.52073113
-0.79539770,1.69879706,0.33350319,0.00093431,0.00349631,0.04652613,0.26251507,1.57568090
-0.78939470,1.75350076,0.35104070,0.00096789,0.00307128,0.04779672,0.27608887,1.62351519
-0.78339170,1.80159361,0.36923653,0.00099711,0.00270660,0.04926830,0.29077468,1.66375945
-0.77738869,1.84270392,0.38790174,0.00102161,0.00240180,0.05095450,0.30659209,1.69614079
-0.77138569,1.87666055,0.40684942,0.00104113,0.00215619,0.05287157,0.32357967,1.72060150
-0.76538269,1.90350236,0.42590188,0.00105555,0.00196899,0.05503823,0.34179779,1.73730494
-0.75937969,1.92348006,0.44489764,0.00106482,0.00183937,0.05747536,0.36133035,1.74663361
-0.75337669,1.93705003,0.46369773,0.00106904,0.00176652,0.06020548,0.38228500,1.74917893
-0.74737369,1.94486023,0.48219104,0.00106840,0.00174965,0.06325197,0.40479167,1.74572311
-0.74137069,1.94772851,0.50029822,0.00106318,0.00178803,0.06663813,0.42899912,1.73721358
-0.73536768,1.94661381,0.51797389,0.00105377,0.00188096,0.07038602,0.45506949,1.72473084
-0.72936468,1.94258151,0.53520687,0.00104064,0.00202774,0.07451508,0.48317059,1.70945093
-0.72336168,1.93676392,0.55201823,0.00102432,0.00222757,0.07904073,0.51346636,1.69260388
-0.71735868,1.93031750,0.56845724,0.00100537,0.00247947,0.08397277,0.54610535,1.67542968
-0.71135568,1.92437835,0.58459520,0.00098441,0.00278218,0.08931382,0.58120786,1.65913352
-0.70535268,1.92001775,0.60051737,0.00096204,0.00313404,0.09505773,0.61885217,1.64484192
-0.69934967,1.91819941,0.61631342,0.00093887,0.00353281,0.10118822,0.65906030,1.63356158
-0.69334667,1.91974024,0.63206686,0.00091548,0.00397563,0.10767752,0.70178434,1.62614237
-0.68734367,1.92527616,0.64784398,0.00089240,0.00445883,0.11448548,0.74689390,1.62324606
-0.68134067,1.93523447,0.66368301,0.00087011,0.00497789,0.12155884,0.79416556,1.62532205
-0.67533767,1.94981403,0.67958412,0.00084904,0.00552737,0.12883104,0.84327527,1.63259090
-0.66933467,1.96897414,0.69550103,0.00082950,0.00610085,0.13622241,0.89379428,1.64503656
-0.66333167,1.99243273,0.71133482,0.00081176,0.00669102,0.14364096,0.94518935,1.66240755
-0.65732866,2.01967421,0.72693041,0.00079598,0.00728966,0.15098365,0.99682761,1.68422712
-0.65132566,2.04996670,0.74207623,0.00078224,0.00788782,0.15813826,1.04798642,1.70981197
-0.64532266,2.08238816,0.75650720,0.00077056,0.00847595,0.16498575,1.09786816,1.73829892
-0.63931966,2.11586042,0.76991113,0.00076086,0.00904409,0.17140314,1.14561963,1.76867835
-0.63331666,2.14918976,0.78193830,0.00075300,0.00958214,0.17726676,1.19035554,1.79983323
-0.62731366,2.18111240,0.79221395,0.00074679,0.01008009,0.18245580,1.23118532,1.83058185
-0.62131066,2.21034298,0.80035290,0.00074201,0.01052833,0.18685606,1.26724204,1.85972280
-0.61530765,2.23562388,0.80597592,0.00073839,0.01091793,0.19036363,1.29771239,1.88608000
-0.60930465,2.25577335,0.80872669,0.00073566,0.01124092,0.19288854,1.32186612,1.90854617
-0.60330165,2.26973025,0.80828862,0.00073353,0.01149053,0.19435806,1.33908383,1.92612259
-0.59729865,2.27659348,0.80440063,0.00073174,0.01166148,0.19471948,1.34888150,1.93795393
-0.59129565,2.27565443,0.79687100,0.00073004,0.01175006,0.19394239,1.35093067,1.94335631
-0.58529265,2.26642125,0.78558849,0.00072819,0.01175435,0.19202023,1.34507319,1.94183797
