energy_ev,total_up,C_s_up,C_p_up,Ca_p_up,Ca_d_up,S_s_up,S_p_up,Zn_p_up,Zn_d_up
-6.00000000,1.33786792,0.00093837,0.04739455,0.00778488,0.00000000,0.01956963,0.43535098,0.21042803,0.35732996
-5.99399700,1.46449417,0.00103809,0.05087250,0.00855695,0.00000000,0.02135550,0.47747945,0.22957151,0.39155313
-5.98799400,1.59746322,0.00114189,0.05446757,0.00937194,0.00000000,0.02320158,0.52173400,0.24959243,0.42755180
-5.98199100,1.73614319,0.00124909,0.05816488,0.01022642,0.00000000,0.02509726,0.56790694,0.27039349,0.46514533
-5.97598799,1.87971596,0.00135896,0.06194524,0.01111581,0.00000000,0.02703090,0.61573287,0.29185200,0.50409588
-5.96998499,2.02717275,0.00147073,0.06578476,0.01203432,0.00000000,0.02899003,0.66488793,0.31381940,0.54410658
-5.96398199,2.17731633,0.00158364,0.06965468,0.01297502,0.00000000,0.03096162,0.71499110,0.33612163,0.58482184
-5.95797899,2.32877064,0.00169699,0.07352148,0.01392983,0.00000000,0.03293237,0.76560773,0.35856059,0.62582992
-5.95197599,2.47999831,0.00181016,0.07734709,0.01488967,0.00000000,0.03488899,0.81625537,0.38091659,0.66666804
-5.94597299,2.62932622,0.00192267,0.08108944,0.01584459,0.00000000,0.03681848,0.86641195,0.40295198,0.70683011
-5.93996998,2.77497890,0.00203425,0.08470326,0.01678399,0.00000000,0.03870848,0.91552626,0.42441584,0.74577684
-5.93396698,2.91511884,0.00214487,0.08814108,0.01769688,0.00000000,0.04054747,0.96303035,0.44504958,0.78294820
-5.92796398,3.04789283,0.00225477,0.09135443,0.01857212,0.00000000,0.04232508,1.00835370,0.46459341,0.81777778
-5.92196098,3.17148245,0.00236455,0.09429524,0.01939877,0.00000000,0.04403227,1.05093842,0.48279339,0.84970859
-5.91595798,3.28415704,0.00247516,0.09691735,0.02016639,0.00000000,0.04566144,1.09025518,0.49940876,0.87820962
-5.90995498,3.38432679,0.00258796,0.09917799,0.02086541,0.00000000,0.04720664,1.12581904,0.51421940,0.90279258
-5.90395198,3.47059373,0.00270467,0.10103932,0.02148736,0.00000000,0.04866352,1.15720456,0.52703284,0.92302806
-5.89794897,3.54179825,0.00282742,0.10246981,0.02202523,0.00000000,0.05002936,1.18405951,0.53769082,0.93856031
-5.89194597,3.59705881,0.00295870,0.10344544,0.02247367,0.00000000,0.05130303,1.20611647,0.54607479,0.94911995
-5.88594297,3.63580304,0.00310130,0.10395071,0.02282918,0.00000000,0.05248484,1.22320180,0.55211022,0.95453404
-5.87993997,3.65778851,0.00325825,0.10397931,0.02309022,0.00000000,0.05357642,1.23524153,0.55576948,0.95473295
