energy_ev,total_up,C_s_up,C_p_up,Fe_p_up,Fe_d_up,Te_p_up,Te_d_up,W_p_up,W_d_up
-6.00000000,2.06915664,0.00831816,0.43264021,0.43268874,0.34888549,0.66099385,0.00000000,1.75718705,0.56651058
-5.99399700,2.08319534,0.00795592,0.43738592,0.44625049,0.33840079,0.67213839,0.00000000,1.79106451,0.57187414
-5.98799400,2.09615557,0.00764783,0.44100135,0.46092331,0.32827193,0.68487900,0.00000000,1.82047949,0.57613006
-5.98199100,2.10763720,0.00739010,0.44333593,0.47659703,0.31860410,0.69910675,0.00000000,1.84471537,0.57913624
-5.97598799,2.11730338,0.00717814,0.44427894,0.49314400,0.30948696,0.71468495,0.00000000,1.86321525,0.58078303
-5.96998499,2.12487863,0.00700681,0.44376153,0.51041632,0.30099146,0.73144556,0.00000000,1.87559514,0.58099347
-5.96398199,2.13014507,0.00687061,0.44175721,0.52824405,0.29316734,0.74918667,0.00000000,1.88165015,0.57972269
-5.95797899,2.13293730,0.00676389,0.43828090,0.54643433,0.28604165,0.76767157,0.00000000,1.88135351,0.57695650
-5.95197599,2.13313651,0.00668103,0.43338647,0.56477197,0.27961817,0.78662947,0.00000000,1.87484889,0.57270930
-5.94597299,2.13066471,0.00661655,0.42716321,0.58302140,0.27387798,0.80575838,0.00000000,1.86243651,0.56702166
-5.93996998,2.12547952,0.00656529,0.41973128,0.60093026,0.26878113,0.82473001,0.00000000,1.84455427,0.55995746
-5.93396698,2.11757016,0.00652249,0.41123646,0.61823454,0.26426929,0.84319687,0.00000000,1.82175476,0.55160103
-5.92796398,2.10695503,0.00648388,0.40184442,0.63466520,0.26026938,0.86080127,0.00000000,1.79467975,0.54205431
-5.92196098,2.09368116,0.00644576,0.39173494,0.64995607,0.25669789,0.87718612,0.00000000,1.76403350,0.53143417
-5.91595798,2.07782568,0.00640502,0.38109615,0.66385274,0.25346584,0.89200696,0.00000000,1.73055610,0.51987010
-5.90995498,2.05949906,0.00635917,0.37011918,0.67612205,0.25048406,0.90494490,0.00000000,1.69499845,0.50750225
-5.90395198,2.03885003,0.00630637,0.35899336,0.68656186,0.24766855,0.91571975,0.00000000,1.65809975,0.49447980
-5.89794897,2.01607161,0.00624540,0.34790204,0.69501042,0.24494567,0.92410275,0.00000000,1.62056843,0.48095987
-5.89194597,1.99140774,0.00617566,0.33701937,0.70135514,0.24225699,0.92992829,0.00000000,1.58306724,0.46710660
-5.88594297,1.96515987,0.00609712,0.32650775,0.70553999,0.23956345,0.93310406,0.00000000,1.54620265,0.45309065
-5.87993997,1.93769274,0.00601027,0.31651622,0.70757142,0.23684877,0.93361889,0.00000000,1.51051873,0.43908872
-5.87393697,1.90943875,0.00591609,0.30717956,0.70752219,0.23412184,0.93154800,0.00000000,1.47649508,0.42528319
-5.86793397,1.88090019,0.00581596,0.29861813,0.70553298,0.23141805,0.92705525,0.00000000,1.44454838,0.41186163
-5.86193097,1.85264886,0.00571161,0.29093816,0.70181157,0.22879952,0.92039221,0.00000000,1.41503686,0.39901606
-5.85592796,1.82532259,0.00560500,0.28423249,0.69662960,0.22635412,0.91189388,0.00000000,1.38826673,0.38694194
-5.84992496,1.79961851,0.00549827,0.27858157,0.69031684,0.22419346,0.90197136,0.00000000,1.36449975,0.37583667
-5.84392196,1.77628283,0.00539367,0.27405443,0.68325333,0.22244977,0.89110150,0.00000000,1.34396098,0.36589769
-5.83791896,1.75609750,0.00529343,0.27070974,0.67585948,0.22127198,0.87981406,0.00000000,1.32684584,0.35732002
-5.83191596,1.73986372,0.00519971,0.26859654,0.66858454,0.22082091,0.86867670,0.00000000,1.31332577,0.35029334
