energy_ev,total_up,Al_p_up,Al_d_up,Os_p_up,Os_d_up,S_s_up,S_p_up
-6.00000000,2.57628718,0.12487300,0.00000000,1.04993949,0.88646819,0.00605949,0.64778471
-5.99399700,2.51879601,0.12112780,0.00000000,1.02929326,0.86833089,0.00616146,0.62553857
-5.98799400,2.45481217,0.11678303,0.00000000,1.00543785,0.84840309,0.00626126,0.60065101
-5.98199100,2.38549465,0.11193111,0.00000000,0.97888674,0.82701208,0.00635593,0.57350477
-5.97598799,2.31208152,0.10667313,0.00000000,0.95019998,0.80450126,0.00644235,0.54451622
-5.96998499,2.23585992,0.10111586,0.00000000,0.91996959,0.78122235,0.00651733,0.51412453
-5.96398199,2.15813460,0.09536864,0.00000000,0.88880401,0.75752735,0.00657767,0.48278030
-5.95797899,2.08019572,0.08954025,0.00000000,0.85731205,0.73376048,0.00662032,0.45093410
-5.95197599,2.00328743,0.08373601,0.00000000,0.82608698,0.71025046,0.00664241,0.41902517
-5.94597299,1.92857798,0.07805506,0.00000000,0.79569123,0.68730338,0.00664140,0.38747106
-5.93996998,1.85713250,0.07258799,0.00000000,0.76664236,0.66519630,0.00661514,0.35665818
-5.93396698,1.78988940,0.06741492,0.00000000,0.73940066,0.64417185,0.00656199,0.32693388
-5.92796398,1.72764087,0.06260398,0.00000000,0.71435876,0.62443404,0.00648087,0.29860015
-5.92196098,1.67101837,0.05821030,0.00000000,0.69183369,0.60614519,0.00637133,0.27190910
-5.91595798,1.62048328,0.05427556,0.00000000,0.67206154,0.58942432,0.00623361,0.24706033
-5.90995498,1.57632311,0.05082793,0.00000000,0.65519486,0.57434686,0.00606864,0.22420016
-5.90395198,1.53865334,0.04788254,0.00000000,0.64130299,0.56094575,0.00587804,0.20342255
-5.89794897,1.50742482,0.04544235,0.00000000,0.63037520,0.54921393,0.00566413,0.18477171
-5.89194597,1.48243661,0.04349938,0.00000000,0.62232651,0.53910818,0.00542984,0.16824600
-5.88594297,1.46335376,0.04203626,0.00000000,0.61700620,0.53055422,0.00517871,0.15380310
-5.87993997,1.44972981,0.04102801,0.00000000,0.61420852,0.52345293,0.00491476,0.14136593
-5.87393697,1.44103309,0.04044400,0.00000000,0.61368541,0.51768763,0.00464242,0.13082924
-5.86793397,1.43667614,0.04025001,0.00000000,0.61516074,0.51313218,0.00436646,0.12206650
-5.86193097,1.43604730,0.04041027,0.00000000,0.61834552,0.50965963,0.00409183,0.11493684
-5.85592796,1.43854339,0.04088953,0.00000000,0.62295367,0.50715119,0.00382363,0.10929176
-5.84992496,1.44360210,0.04165491,0.00000000,0.62871749,0.50550520,0.00356694,0.10498147
-5.84392196,1.45073292,0.04267768,0.00000000,0.63540235,0.50464568,0.00332680,0.10186060
-5.83791896,1.45954520,0.04393467,0.00000000,0.64281986,0.50452999,0.00310808,0.09979306
