energy_ev,total_up,total_down,C_s_up,C_s_down,C_p_up,C_p_down,Ni_p_up,Ni_p_down,Ni_d_up,Ni_d_down,S_s_up,S_s_down,S_p_up,S_p_down
-6.00000000,2.52562734,-2.52562734,0.00839440,-0.00839440,0.61805341,-0.61805341,0.58497402,-0.58497402,0.69978854,-0.69978854,0.06431213,-0.06431213,0.52265161,-0.52265161
-5.99399700,2.51419922,-2.51419922,0.00716343,-0.00716343,0.61566668,-0.61566668,0.58082766,-0.58082766,0.69402213,-0.69402213,0.06297726,-0.06297726,0.52110731,-0.52110731
-5.98799400,2.49761171,-2.49761171,0.00607265,-0.00607265,0.61183793,-0.61183793,0.57532843,-0.57532843,0.68746356,-0.68746355,0.06171308,-0.06171308,0.51847906,-0.51847906
-5.98199100,2.47452737,-2.47452737,0.00511447,-0.00511447,0.60624862,-0.60624862,0.56818175,-0.56818175,0.67972179,-0.67972179,0.06048030,-0.06048030,0.51448587,-0.51448587
-5.97598799,2.44382409,-2.44382409,0.00427995,-0.00427995,0.59863551,-0.59863551,0.55914567,-0.55914567,0.67045660,-0.67045660,0.05924226,-0.05924226,0.50889139,-0.50889139
-5.96998499,2.40464266,-2.40464266,0.00355917,-0.00355917,0.58880177,-0.58880176,0.54804121,-0.54804121,0.65939311,-0.65939311,0.05796661,-0.05796661,0.50151384,-0.50151384
-5.96398199,2.35642050,-2.35642049,0.00294176,-0.00294176,0.57662481,-0.57662481,0.53475957,-0.53475956,0.64633254,-0.64633254,0.05662653,-0.05662653,0.49223308,-0.49223308
-5.95797899,2.29891057,-2.29891057,0.00241715,-0.00241715,0.56206039,-0.56206039,0.51926583,-0.51926583,0.63115891,-0.63115891,0.05520169,-0.05520169,0.48099467,-0.48099466
-5.95197599,2.23218535,-2.23218535,0.00197492,-0.00197492,0.54514314,-0.54514313,0.50159927,-0.50159927,0.61384148,-0.61384148,0.05367872,-0.05367872,0.46781070,-0.46781070
-5.94597299,2.15662620,-2.15662620,0.00160505,-0.00160505,0.52598346,-0.52598346,0.48187029,-0.48187029,0.59443318,-0.59443318,0.05205134,-0.05205134,0.45275778,-0.45275778
-5.93996998,2.07289968,-2.07289967,0.00129810,-0.00129810,0.50476142,-0.50476142,0.46025453,-0.46025453,0.57306519,-0.57306519,0.05032015,-0.05032015,0.43597209,-0.43597209
-5.93396698,1.98192256,-1.98192256,0.00104531,-0.00104531,0.48171779,-0.48171778,0.43698437,-0.43698437,0.54993835,-0.54993835,0.04849201,-0.04849201,0.41764224,-0.41764224
-5.92796398,1.88481804,-1.88481803,0.00083876,-0.00083876,0.45714307,-0.45714307,0.41233859,-0.41233859,0.52531197,-0.52531197,0.04657925,-0.04657925,0.39800015,-0.39800015
-5.92196098,1.78286570,-1.78286569,0.00067134,-0.00067134,0.43136505,-0.43136505,0.38663072,-0.38663072,0.49949078,-0.49949077,0.04459864,-0.04459864,0.37731070,-0.37731070
-5.91595798,1.67744827,-1.67744826,0.00053684,-0.00053684,0.40473560,-0.40473560,0.36019669,-0.36019668,0.47281083,-0.47281083,0.04257021,-0.04257020,0.35586061,-0.35586060
-5.90995498,1.56999787,-1.56999786,0.00042988,-0.00042988,0.37761744,-0.37761744,0.33338254,-0.33338254,0.44562522,-0.44562522,0.04051609,-0.04051609,0.33394723,-0.33394723
-5.90395198,1.46194454,-1.46194453,0.00034592,-0.00034592,0.35037146,-0.35037146,0.30653270,-0.30653270,0.41829028,-0.41829028,0.03845934,-0.03845934,0.31186783,-0.31186783
-5.89794897,1.35466929,-1.35466928,0.00028122,-0.00028122,0.32334524,-0.32334524,0.27997929,-0.27997929,0.39115303,-0.39115302,0.03642281,-0.03642281,0.28990972,-0.28990972
-5.89194597,1.24946379,-1.24946378,0.00023279,-0.00023279,0.29686317,-0.29686317,0.25403301,-0.25403301,0.36454044,-0.36454044,0.03442825,-0.03442825,0.26834185,-0.26834185
-5.88594297,1.14749804,-1.14749804,0.00019834,-0.00019834,0.27121853,-0.27121853,0.22897581,-0.22897580,0.33875095,-0.33875094,0.03249554,-0.03249554,0.24740803,-0.24740803
-5.87993997,1.04979709,-1.04979708,0.00017624,-0.00017624,0.24666776,-0.24666776,0.20505553,-0.20505553,0.31404848,-0.31404847,0.03064215,-0.03064215,0.22732207,-0.22732207
-5.87393697,0.95722710,-0.95722709,0.00016551,-0.00016551,0.22342707,-0.22342706,0.18248272,-0.18248272,0.29065924,-0.29065924,0.02888287,-0.02888287,0.20826488,-0.20826488
-5.86793397,0.87049085,-0.87049084,0.00016579,-0.00016579,0.20167119,-0.20167119,0.16142935,-0.16142935,0.26877116,-0.26877116,0.02722973,-0.02722973,0.19038358,-0.19038358
-5.86193097,0.79013198,-0.79013197,0.00017729,-0.00017729,0.18153437,-0.18153437,0.14202954,-0.14202953,0.24853594,-0.24853594,0.02569219,-0.02569219,0.17379245,-0.17379245
-5.85592796,0.71654712,-0.71654711,0.00020087,-0.00020087,0.16311317,-0.16311317,0.12438197,-0.12438197,0.23007335,-0.23007335,0.02427753,-0.02427753,0.15857559,-0.15857559
-5.84992496,0.65000471,-0.65000470,0.00023798,-0.00023798,0.14647085,-0.14647085,0.10855376,-0.10855376,0.21347755,-0.21347755,0.02299140,-0.02299140,0.14479093,-0.14479092
-5.84392196,0.59066899,-0.59066899,0.00029073,-0.00029073,0.13164309,-0.13164309,0.09458540,-0.09458540,0.19882489,-0.19882489,0.02183851,-0.02183851,0.13247541,-0.13247541
-5.83791896,0.53862768,-0.53862768,0.00036190,-0.00036190,0.11864445,-0.11864445,0.08249663,-0.08249663,0.18618284,-0.18618284,0.02082346,-0.02082346,0.12165095,-0.12165095
-5.83191596,0.49392164,-0.49392164,0.00045499,-0.00045499,0.10747548,-0.10747548,0.07229270,-0.07229270,0.17561936,-0.17561936,0.01995152,-0.01995152,0.11233078,-0.11233078
-5.82591296,0.45657503,-0.45657503,0.00057428,-0.00057428,0.09812976,-0.09812976,0.06397087,-0.06397087,0.16721248,-0.16721248,0.01922951,-0.01922951,0.10452592,-0.10452592
-5.81990995,0.42662440,-0.42662440,0.00072485,-0.00072485,0.09060092,-0.09060092,0.05752676,-0.05752676,0.16105929,-0.16105929,0.01866656,-0.01866656,0.09825140,-0.09825140
